score,score_type,horizon,ic_spearman,ic_pvalue,ic_significant,boot_ci_lo,boot_ci_hi,boot_mean,boot_std,fisher_ci_lo,fisher_ci_hi,power,n,n_boot_valid
ESG_composite,factor,1m,-0.00877705647721738,0.8860636633889414,False,-0.1374588925138253,0.11738952789263593,-0.005883732227662934,0.06389623930576929,-0.12824036864082755,0.11093732476176442,0.05235080690102724,269,1000
ESG_composite,factor,3m,0.024033488073880907,0.6947629903235657,False,-0.09168841556200215,0.1488879017692895,0.028990125377159365,0.062122210353085364,-0.09583991826890693,0.14321975196622938,0.06778662414628625,269,1000
ESG_composite,factor,6m,0.009054479769677017,0.8824879952747704,False,-0.10923868312301871,0.13877348240949186,0.015582712171495334,0.06330876299376834,-0.11066328553038678,0.12851324152067134,0.052501998518551016,269,1000
financial_score,factor,1m,0.07582780027988928,0.21510029341395073,False,-0.039675491841426234,0.1985275698949254,0.07690459562558778,0.060366490221059686,-0.04417070548411494,0.19366937058722317,0.2361836900574115,269,1000
financial_score,factor,3m,0.08220483702922808,0.17886523495031795,False,-0.04073631606222345,0.2012523632476116,0.08217777838808157,0.06311622960676655,-0.0377643728251516,0.19983805194182472,0.2693545872050515,269,1000
financial_score,factor,6m,0.07954835487987572,0.1933692308759166,False,-0.042387716631084316,0.210245040020216,0.08332899857311594,0.06639210662880969,-0.040434257664245785,0.1972694970571955,0.2552407157229651,269,1000
market_score,factor,1m,0.47139026059294603,2.7519036785091844e-16,True,0.3637212776967375,0.5651171923289866,0.46934900473282926,0.05169387566273482,0.3728103740180583,0.559448020821233,0.9999999999160528,269,1000
market_score,factor,3m,0.5070027803978866,5.645238151517453e-19,True,0.40545347589902936,0.5918887949731122,0.504295830296774,0.048584703996144944,0.41241206913220474,0.5907780085516033,0.9999999999995722,269,1000
market_score,factor,6m,0.48782728242307666,1.7291883996429182e-17,True,0.39003565867574624,0.5722722515015957,0.48505693645714965,0.047317246171841076,0.391044091245082,0.573939766980957,0.9999999999918792,269,1000
operational_score,factor,1m,0.044390192778363445,0.4684395365987548,False,-0.06969771715943197,0.16134743034702234,0.04529367876791905,0.058541479170566464,-0.07560914263451815,0.16312210991688722,0.11195393255405264,269,1000
operational_score,factor,3m,0.13436596447748864,0.02755918932156113,True,0.013299031650805433,0.2525045329447386,0.13800011335795825,0.06004334091158697,0.015009232855744584,0.24994726749244486,0.5967144157697838,269,1000
operational_score,factor,6m,0.06260950513849586,0.306263230255877,False,-0.06279799121932648,0.17879947335766577,0.06430011927576636,0.05999379668606315,-0.05741837008584888,0.18085321060337756,0.1756814672715985,269,1000
risk_adjusted_score,factor,1m,0.18161238417577538,0.0027925611195441682,True,0.06186286134863425,0.30413095582163757,0.1792386830735687,0.06032317232611685,0.06339134530963832,0.29480696812654206,0.8497288905333691,269,1000
risk_adjusted_score,factor,3m,0.27981961321028065,3.139693655221207e-06,True,0.16140774550100734,0.38937058926209545,0.277371681243733,0.057231468755898914,0.16576929454431621,0.38648354282152364,0.9968217042038378,269,1000
risk_adjusted_score,factor,6m,0.37272744086260146,2.72468588662988e-10,True,0.264102973466858,0.4712812607256073,0.37290494338781743,0.053465641589537524,0.26493985006427756,0.47131534263477814,0.9999952140415835,269,1000
growth_score,factor,1m,-0.004256289802536265,0.9446047073562596,False,-0.12728741346854106,0.11956297350065444,-0.004480980360030932,0.0635848080214631,-0.12379120305996184,0.1154003823630393,0.050552194047652765,269,1000
growth_score,factor,3m,0.08558878470103017,0.161575248263284,False,-0.0490879802187223,0.20961520985824125,0.08584465542307972,0.06514709555514762,-0.03436086981268401,0.20310765409317894,0.28791575924874924,269,1000
growth_score,factor,6m,0.17880794293711125,0.0032529656144064997,True,0.057928054580016444,0.30035007353069126,0.17995246538059315,0.06345550637796381,0.060503893954659514,0.2921580539140196,0.838423014256669,269,1000
value_score,factor,1m,0.04093843052396012,0.503754646879724,False,-0.08246936404294035,0.15778157169772275,0.04156096132308316,0.06207015732538248,-0.07904652157734773,0.15975417822529447,0.102489157300741,269,1000
value_score,factor,3m,-0.06306879481156794,0.30272163842315053,False,-0.18606345425286827,0.049479872310663545,-0.06108292170386866,0.05998019552258284,-0.18129920192599655,0.05695876767547346,0.17758687052622488,269,1000
value_score,factor,6m,-0.07248145887662061,0.23609362065372033,False,-0.19945056524438332,0.04151640610920724,-0.07277635610987394,0.06229662915349061,-0.19042863144392183,0.047528476367653345,0.21978093822377107,269,1000
stability_score,factor,1m,0.08568310862046644,0.16111195497901096,False,-0.03388962012503661,0.212272980691537,0.08768403735211647,0.06350950326340972,-0.03426596093550858,0.20319875322587477,0.2884421495465748,269,1000
stability_score,factor,3m,0.07542769424254193,0.21753750633168495,False,-0.03822138718303868,0.19440425994552418,0.07772530834137803,0.06229382309236947,-0.04457232084187286,0.19328202622013987,0.23418515229070724,269,1000
stability_score,factor,6m,0.13718211914405667,0.024441030933103396,True,0.022396764289181418,0.260638868838378,0.14157754282021573,0.06124920004747882,0.01787750154194434,0.2526351392553571,0.6147180866623303,269,1000
pref_balanced,preference_biased,1m,0.10127338852105587,0.09741110868187818,False,-0.013360540324123435,0.22059844774632287,0.10272384355806187,0.05993414492964538,-0.01854920948425029,0.21822811881628637,0.38126020706780606,269,1000
pref_balanced,preference_biased,3m,0.18602159370767107,0.002187225907098356,True,0.07410988574382373,0.30259368513273477,0.18839176947282144,0.05970851952971619,0.06793507103574188,0.2989681395169374,0.8664353798691029,269,1000
pref_balanced,preference_biased,6m,0.22668384019861315,0.00017718522469960596,True,0.11400035177327977,0.35257603026022033,0.23202989080105885,0.0602961066992279,0.11007001084400261,0.3371415517015844,0.9642658728183057,269,1000
pref_esg_first,preference_biased,1m,0.039562108842730564,0.5182157702522638,False,-0.08705650882326586,0.1660032002354937,0.04202336431160503,0.06315639318210389,-0.08041631301993409,0.15841051054181096,0.09894422431139216,269,1000
pref_esg_first,preference_biased,3m,0.09525515163574305,0.11909788986801648,False,-0.018844958969830357,0.2178336905095148,0.09954621145210361,0.061504009266129554,-0.024623293127120856,0.21243297580910359,0.34417883013738554,269,1000
pref_esg_first,preference_biased,6m,0.09358722089478692,0.12573011394800124,False,-0.022661498280756188,0.2232501584636405,0.09992563405309852,0.06325807554095936,-0.026305136588397986,0.21082541459543033,0.33415771712932185,269,1000
pref_financial_first,preference_biased,1m,0.1439053406920404,0.018199375475747213,True,0.0346659040566464,0.26807406615880214,0.1442693686400952,0.05875207079321233,0.024733088087701822,0.2590449040339623,0.6567052345048279,269,1000
pref_financial_first,preference_biased,3m,0.2336536391237211,0.00010971613154348626,True,0.11990678786466871,0.34700081594009907,0.23411208051788482,0.058636813132812174,0.11733456549822381,0.3436484854075896,0.9727300866241149,269,1000
pref_financial_first,preference_biased,6m,0.2886306214637228,1.4741498313609781e-06,True,0.17627834586759908,0.4074062885505861,0.29215908400013135,0.05882266630387274,0.1750762598347831,0.39460686892526997,0.9980437417168747,269,1000
