score,horizon,quintile,mean_fwd_return,median_fwd_return,std_fwd_return,n,jt_S,jt_z,jt_pvalue,jt_direction
ESG_composite,1m,Q1(Low),-2.1695607932802647,-5.385149982075571,14.248669401361722,54,,,,
ESG_composite,1m,Q2,-5.489280801773175,-4.483604428699217,7.525062725829203,54,,,,
ESG_composite,1m,Q3,-4.778145612476664,-3.5355383572672427,8.438078772028481,53,,,,
ESG_composite,1m,Q4,-5.005787807247339,-4.713790724858807,8.29951121224816,54,,,,
ESG_composite,1m,Q5(High),-4.346251945878358,-6.14279091983933,10.941441383510154,54,,,,
ESG_composite,1m,Q5-Q1_spread,-2.1766911525980936,,,269,0.0,0.0,1.0,flat
ESG_composite,3m,Q1(Low),0.8262660027031621,-4.970874263597813,31.5830919755289,54,,,,
ESG_composite,3m,Q2,-7.86318560528533,-9.937941551702997,18.17708396797085,54,,,,
ESG_composite,3m,Q3,-4.47298117573978,-3.0830602016516884,18.785073860132282,53,,,,
ESG_composite,3m,Q4,-6.064312037872343,-6.402544067680621,14.494187480903589,54,,,,
ESG_composite,3m,Q5(High),-1.6055654382502245,-4.8664601264943705,21.558244657918117,54,,,,
ESG_composite,3m,Q5-Q1_spread,-2.4318314409533865,,,269,0.0,0.0,1.0,flat
ESG_composite,6m,Q1(Low),6.06676038207349,-6.7215083596215806,47.456830557191225,54,,,,
ESG_composite,6m,Q2,-7.001269872937843,-7.87296416420476,29.907691000183767,54,,,,
ESG_composite,6m,Q3,-1.3640869808575826,-2.440875235769291,24.084517083966542,53,,,,
ESG_composite,6m,Q4,-2.9171471905995685,-2.4371191523588522,17.90463674428251,54,,,,
ESG_composite,6m,Q5(High),-3.4476835163474675,-6.164663841806444,24.614517347974576,54,,,,
ESG_composite,6m,Q5-Q1_spread,-9.514443898420957,,,269,-4.0,-0.9797958971132712,0.32718687779030575,decreasing
financial_score,1m,Q1(Low),-4.932301848849202,-4.873388577815058,11.916007908349453,54,,,,
financial_score,1m,Q2,-5.663490838946398,-5.510755163064202,10.201078897821128,54,,,,
financial_score,1m,Q3,-3.326243568496903,-5.130380569189663,12.21997071368748,53,,,,
financial_score,1m,Q4,-3.65882766974062,-4.134253173716434,7.3332726700897295,54,,,,
financial_score,1m,Q5(High),-4.181275959734164,-3.920009812317099,8.653697020344518,54,,,,
financial_score,1m,Q5-Q1_spread,0.7510258891150379,,,269,2.0,0.4898979485566356,0.624206114766406,increasing
financial_score,3m,Q1(Low),-3.7236575712972106,-4.660786474748119,30.116847231841625,54,,,,
financial_score,3m,Q2,-6.346510055564867,-10.584183454077923,18.663551312130245,54,,,,
financial_score,3m,Q3,-3.9034051827070604,-7.8197714666927265,21.663150718407454,53,,,,
financial_score,3m,Q4,-2.1949034935892247,-3.4340791904081125,19.11369389803324,54,,,,
financial_score,3m,Q5(High),-3.000754247711472,-4.408823263524214,17.52557288409392,54,,,,
financial_score,3m,Q5-Q1_spread,0.7229033235857387,,,269,4.0,0.9797958971132712,0.32718687779030575,increasing
financial_score,6m,Q1(Low),-1.4089151958899233,-9.718447913971618,44.121188568001664,54,,,,
financial_score,6m,Q2,-3.2854180821008296,-5.854468119115358,29.168593182594268,54,,,,
financial_score,6m,Q3,-2.235230551112581,-4.842985478843054,30.84511801967762,53,,,,
financial_score,6m,Q4,0.2885416217023695,-0.6350604868428589,24.393430420457126,54,,,,
financial_score,6m,Q5(High),-2.03853725960606,-4.63720027518314,20.098366286235727,54,,,,
financial_score,6m,Q5-Q1_spread,-0.6296220637161367,,,269,2.0,0.4898979485566356,0.624206114766406,increasing
market_score,1m,Q1(Low),-11.420099794186633,-10.880362403929748,9.25284393812117,54,,,,
market_score,1m,Q2,-6.039337610009922,-6.14279091983933,6.872578833423758,54,,,,
market_score,1m,Q3,-2.8898454486531198,-4.391426190917292,9.466391915774294,53,,,,
market_score,1m,Q4,-2.077621320471498,-3.2377998585184917,11.978809154207385,54,,,,
market_score,1m,Q5(High),0.6728457342176585,0.3966952117617994,8.584722060859876,54,,,,
market_score,1m,Q5-Q1_spread,12.092945528404291,,,269,10.0,2.449489742783178,0.014305878435429742,increasing
market_score,3m,Q1(Low),-20.352124607180183,-21.023869053068438,15.285468242521958,54,,,,
market_score,3m,Q2,-9.30455803936324,-10.97100089980307,15.498081350190208,54,,,,
market_score,3m,Q3,0.38659977553510516,-3.785989639876053,24.81553590187746,53,,,,
market_score,3m,Q4,1.3930691613961617,1.263294773348489,19.4554393124795,54,,,,
market_score,3m,Q5(High),8.787227695006068,4.515127207106506,20.619908211754478,54,,,,
market_score,3m,Q5-Q1_spread,29.139352302186253,,,269,10.0,2.449489742783178,0.014305878435429742,increasing
market_score,6m,Q1(Low),-23.113288500306684,-24.537502322714477,18.81510251571285,54,,,,
market_score,6m,Q2,-9.659890492987172,-9.183821799998732,22.47467070549306,54,,,,
market_score,6m,Q3,2.5088277879108314,-3.58783871162488,33.39703483463731,53,,,,
market_score,6m,Q4,9.499823644171205,2.4069267071585743,35.4159397766093,54,,,,
market_score,6m,Q5(High),12.172821026408924,8.530348313666657,25.611620409840153,54,,,,
market_score,6m,Q5-Q1_spread,35.286109526715606,,,269,10.0,2.449489742783178,0.014305878435429742,increasing
operational_score,1m,Q1(Low),-5.293572615370066,-5.306168261472677,9.524469355001667,54,,,,
operational_score,1m,Q2,-2.325747038320088,-3.5668811063629127,13.488878151566132,54,,,,
operational_score,1m,Q3,-6.378702980889638,-6.704392922133751,8.739316601585925,53,,,,
operational_score,1m,Q4,-3.689466042142107,-4.494775230548586,10.209551641492107,54,,,,
operational_score,1m,Q5(High),-4.131178235200809,-4.727646409476483,7.960401627034962,54,,,,
operational_score,1m,Q5-Q1_spread,1.162394380169257,,,269,0.0,0.0,1.0,flat
operational_score,3m,Q1(Low),-5.68194117330791,-12.04698562651253,28.63791940121349,54,,,,
operational_score,3m,Q2,-4.990527077674961,-7.078841851562734,21.614300102320776,54,,,,
operational_score,3m,Q3,-4.465478394205569,-4.351516655101717,17.925035344982266,53,,,,
operational_score,3m,Q4,-1.9942866967929416,-2.0366792453799465,22.485113103428915,54,,,,
operational_score,3m,Q5(High),-2.0474059720643507,-3.8933207386213144,16.67597975229277,54,,,,
operational_score,3m,Q5-Q1_spread,3.6345352012435597,,,269,8.0,1.9595917942265424,0.05004352124870515,increasing
operational_score,6m,Q1(Low),-1.328160318765245,-9.843693027551275,37.34149905741017,54,,,,
operational_score,6m,Q2,-0.12507335827288754,-1.4352385606521523,33.76088504468469,54,,,,
operational_score,6m,Q3,-6.4651450254165015,-6.120158036845281,25.147188962685462,53,,,,
operational_score,6m,Q4,-0.3637390865565544,-0.0853197578364384,32.389406935239286,54,,,,
operational_score,6m,Q5(High),-0.475773427519982,-4.330708622105201,22.463088505422405,54,,,,
operational_score,6m,Q5-Q1_spread,0.8523868912452631,,,269,0.0,0.0,1.0,flat
risk_adjusted_score,1m,Q1(Low),-5.920205151900718,-6.237520410004105,12.315481006630831,54,,,,
risk_adjusted_score,1m,Q2,-6.1320651454816115,-6.10635994558057,9.107262596702292,54,,,,
risk_adjusted_score,1m,Q3,-4.817345085244971,-4.792482420482802,9.04784449666241,53,,,,
risk_adjusted_score,1m,Q4,-3.153090890855324,-3.7847068487577515,6.8773869985336615,54,,,,
risk_adjusted_score,1m,Q5(High),-1.7670466033355556,-2.800930533527751,12.183593098168114,54,,,,
risk_adjusted_score,1m,Q5-Q1_spread,4.1531585485651625,,,269,8.0,1.9595917942265424,0.05004352124870515,increasing
risk_adjusted_score,3m,Q1(Low),-8.711447492905897,-10.757396064411648,28.633375969407464,54,,,,
risk_adjusted_score,3m,Q2,-9.883118490818008,-16.032647126769117,22.81064101888263,54,,,,
risk_adjusted_score,3m,Q3,-1.6287970187579273,-2.8566161533389867,17.80003165889716,53,,,,
risk_adjusted_score,3m,Q4,-1.847299428670993,-2.7389123274778324,15.092510856330934,54,,,,
risk_adjusted_score,3m,Q5(High),2.943554253689457,1.6331061129006175,20.052769771643575,54,,,,
risk_adjusted_score,3m,Q5-Q1_spread,11.655001746595353,,,269,6.0,1.4696938456699067,0.1416446902951367,increasing
risk_adjusted_score,6m,Q1(Low),-11.380977542310395,-11.41969818587566,35.259785120970186,54,,,,
risk_adjusted_score,6m,Q2,-11.420883143060488,-19.763803095727237,30.929666567704736,54,,,,
risk_adjusted_score,6m,Q3,-1.6331959837295311,-4.824163881753596,26.751935862292754,53,,,,
risk_adjusted_score,6m,Q4,6.0333038168674955,1.0718595305587275,27.160663916353926,54,,,,
risk_adjusted_score,6m,Q5(High),9.733342173510765,7.1166061609556746,26.671431074575786,54,,,,
risk_adjusted_score,6m,Q5-Q1_spread,21.11431971582116,,,269,8.0,1.9595917942265424,0.05004352124870515,increasing
growth_score,1m,Q1(Low),-3.195638443669756,-4.4537714105383435,8.852070896295787,54,,,,
growth_score,1m,Q2,-5.4476758411287625,-5.716960109011643,8.306660004739516,54,,,,
growth_score,1m,Q3,-3.7838656878979067,-4.754135388551184,9.389409087823312,53,,,,
growth_score,1m,Q4,-4.576336739628209,-2.6847988080757057,9.482585660962444,54,,,,
growth_score,1m,Q5(High),-4.767097657135266,-4.342642695975357,14.070602014697865,54,,,,
growth_score,1m,Q5-Q1_spread,-1.57145921346551,,,269,-4.0,-0.9797958971132712,0.32718687779030575,decreasing
growth_score,3m,Q1(Low),-4.537264558669513,-7.437214365370354,21.825718160417672,54,,,,
growth_score,3m,Q2,-5.957128275269122,-10.46817415837809,24.45048001077992,54,,,,
growth_score,3m,Q3,-3.477567309343279,-3.2642867116108865,20.51641162694058,53,,,,
growth_score,3m,Q4,-4.452239929631692,-1.913239155825969,18.21026006437869,54,,,,
growth_score,3m,Q5(High),-0.7371445914124559,-4.868615310178664,23.748592202455193,54,,,,
growth_score,3m,Q5-Q1_spread,3.800119967257057,,,269,6.0,1.4696938456699067,0.1416446902951367,increasing
growth_score,6m,Q1(Low),-5.611861275606385,-9.067505985479619,32.76428004661524,54,,,,
growth_score,6m,Q2,-6.063185110328782,-9.597050413097143,29.63377400534782,54,,,,
growth_score,6m,Q3,-0.8389735361857812,-4.357401896323165,30.967595124477967,53,,,,
growth_score,6m,Q4,-2.1415869743385745,0.4475426400661342,23.999691699802252,54,,,,
growth_score,6m,Q5(High),6.00190404084003,4.179334340057917,34.23610894835814,54,,,,
growth_score,6m,Q5-Q1_spread,11.613765316446415,,,269,6.0,1.4696938456699067,0.1416446902951367,increasing
value_score,1m,Q1(Low),-5.256149531976462,-4.846202022128521,7.755988786883526,54,,,,
value_score,1m,Q2,-3.6883448274330335,-5.252811748601766,14.192178390487523,54,,,,
value_score,1m,Q3,-5.247497187785946,-5.455305250619446,7.57394241433206,53,,,,
value_score,1m,Q4,-2.4800947991231057,-2.7331196843739356,10.607309557467223,54,,,,
value_score,1m,Q5(High),-5.1256323101763135,-4.578098621082372,9.394664073656209,54,,,,
value_score,1m,Q5-Q1_spread,0.13051722180014824,,,269,4.0,0.9797958971132712,0.32718687779030575,increasing
value_score,3m,Q1(Low),-3.666765899444216,-4.104815593661032,16.528881573657006,54,,,,
value_score,3m,Q2,-4.119175435673136,-7.078841851562734,21.936895211437697,54,,,,
value_score,3m,Q3,-3.004925272530091,-4.60866717709294,19.79183109381768,53,,,,
value_score,3m,Q4,0.015789476059382627,-0.020944601630457096,27.061102344250195,54,,,,
value_score,3m,Q5(High),-8.377514902426645,-10.051186667034376,22.139792375461347,54,,,,
value_score,3m,Q5-Q1_spread,-4.710749002982429,,,269,0.0,0.0,1.0,flat
value_score,6m,Q1(Low),-0.8047123883941217,-7.138339119935704,29.44459382356151,54,,,,
value_score,6m,Q2,0.5467533490753977,-0.5020129728021905,32.71838123371127,54,,,,
value_score,6m,Q3,-1.5181462650464692,-3.58783871162488,26.97491353597334,53,,,,
value_score,6m,Q4,3.9889555128837877,2.960787472489168,34.41485080761256,54,,,,
value_score,6m,Q5(High),-10.879130336894763,-8.720818224657046,27.86449458471373,54,,,,
value_score,6m,Q5-Q1_spread,-10.07441794850064,,,269,-2.0,-0.4898979485566356,0.624206114766406,decreasing
stability_score,1m,Q1(Low),-3.471302959032673,-4.419039143213937,15.28540669228483,54,,,,
stability_score,1m,Q2,-5.983330662854909,-5.316484138371014,9.097466000743424,54,,,,
stability_score,1m,Q3,-4.665467216387478,-5.90032338007862,9.312069090390452,53,,,,
stability_score,1m,Q4,-4.981572779414346,-5.064448719688846,7.621764484212101,54,,,,
stability_score,1m,Q5(High),-2.685266706001782,-2.8155081373703874,7.647366369703384,54,,,,
stability_score,1m,Q5-Q1_spread,0.7860362530308911,,,269,2.0,0.4898979485566356,0.624206114766406,increasing
stability_score,3m,Q1(Low),0.031104632964994314,-4.459644685872888,31.47912876432225,54,,,,
