ticker,cluster
ZS,5
OKTA,3
CRWD,3
FTNT,2
QLYS,4
VRNS,1
ESTC,5
DOCN,1
PAYC,4
MANH,4
WK,1
GLOB,1
HUBS,5
CDNS,2
NET,3
BILL,5
FROG,1
CFLT,3
SMCI,3
MARA,1
RBLX,3
TENB,5
CWAN,3
RPD,1
ILMN,2
ALGN,4
INCY,2
BMRN,3
ALKS,3
IONS,1
EXAS,3
TECH,4
DXCM,2
VEEV,2
TFX,1
STE,3
BIO,5
HOLX,2
NTRA,1
MEDP,4
HRMY,4
PEN,1
RVMD,1
PCVX,1
AZTA,1
NEOG,1
AVTR,3
ENSG,1
GMED,4
OMCL,1
GNRC,5
MTZ,1
AWI,4
GFF,5
WWD,4
FIX,4
ROAD,1
DY,1
EME,4
WSC,5
GGG,2
RBC,4
ITT,4
WTS,4
ALLE,2
SITE,5
TTC,3
AAON,1
ESAB,1
MWA,3
ZWS,3
SPXC,5
KMX,5
FIVE,3
DKS,4
ASO,5
BOOT,1
WSM,2
RH,5
POOL,4
DECK,2
YETI,5
GRMN,4
LULU,2
FOXF,1
CROX,5
SIG,5
SHAK,1
WING,5
TXRH,1
TROW,4
BEN,3
IVZ,3
SF,3
WBS,3
PB,4
FNB,3
EWBC,2
HBAN,2
ZION,3
CFR,4
IBKR,2
SEIC,4
ALLY,3
LPLA,5
HLNE,4
STEP,5
CBSH,4
PNFP,4
NOV,3
OII,1
HLX,1
TRGP,3
OVV,2
AR,2
RRC,3
SM,2
CTRA,2
PTEN,3
MTDR,2
CHRD,2
DINO,3
CLF,5
ATI,3
CMC,5
SON,3
SEE,4
HXL,1
WOR,1
SLVM,4
TROX,1
IOSP,4
CBT,4
NGVT,5
AVNT,4
KWR,5
STLD,3
RS,3
RPM,5
FMC,5
CELH,5
FLO,3
INGR,3
SPB,5
IPAR,4
ELF,1
FRPT,1
SJM,2
CASY,3
USFD,3
POST,3
HRL,3
NRG,3
OGE,3
PNW,3
ATO,3
EVRG,3
AES,3
MDU,3
AVA,5
CMS,2
DTE,2
WEC,2
INVH,2
ELS,3
AMH,3
SUI,4
KRC,5
HIW,4
NNN,2
STAG,2
CUBE,2
REXR,4
LAMR,4
IART,1
MTCH,2
MSGS,1
TTWO,3
EA,3
LYV,3
WMG,4
PAGEIND.NS,4
RELAXO.NS,1
ARVIND.NS,5
TRENT.NS,3
DIXON.NS,5
BATAINDIA.NS,4
VMART.NS,1
RAJESHEXPO.NS,5
JUBLFOOD.NS,4
DEVYANI.NS,1
SAPPHIRE.NS,1
LAURUSLABS.NS,3
AJANTPHARM.NS,4
GLENMARK.NS,4
TORNTPHARM.NS,3
ALKEM.NS,4
IPCALAB.NS,1
NATCOPHARM.NS,4
AUROPHARMA.NS,3
BIOCON.NS,3
SYNGENE.NS,1
LALPATHLAB.NS,1
METROPOLIS.NS,1
GRANULES.NS,3
PERSISTENT.NS,1
LTTS.NS,1
CYIENT.NS,1
MPHASIS.NS,1
COFORGE.NS,3
TATAELXSI.NS,1
ROUTE.NS,1
BSOFT.NS,1
HAPPSTMNDS.NS,1
MASTEK.NS,1
KPITTECH.NS,1
NEWGEN.NS,1
DABUR.NS,4
MARICO.NS,3
GODREJCP.NS,4
EMAMILTD.NS,4
COLPAL.NS,4
TATACONSUM.NS,1
ZYDUSWELL.NS,1
JYOTHYLAB.NS,1
BIKAJI.NS,1
HONASA.NS,5
SRF.NS,5
UPL.NS,5
AARTIIND.NS,1
PIDILITIND.NS,4
DEEPAKNTR.NS,1
NAVINFLUOR.NS,2
CLEAN.NS,4
ATUL.NS,1
FINEORG.NS,1
SUDARSCHEM.NS,5
ANANTRAJ.NS,1
GALAXYSURF.NS,1
ABB.NS,4
CUMMINSIND.NS,4
THERMAX.NS,1
SCHAEFFLER.NS,4
HONAUT.NS,1
GRINDWELL.NS,1
AIAENG.NS,4
ELGIEQUIP.NS,1
TIINDIA.NS,5
KAYNES.NS,1
MOTHERSON.NS,3
BALKRISIND.NS,4
ENDURANCE.NS,5
EXIDEIND.NS,3
SUNDRMFAST.NS,5
SUPRAJIT.NS,1
CRAFTSMAN.NS,1
GABRIEL.NS,1
CHOLAFIN.NS,1
MUTHOOTFIN.NS,4
MANAPPURAM.NS,3
IIFL.NS,1
CANFINHOME.NS,1
ABCAPITAL.NS,3
MASFIN.NS,1
POONAWALLA.NS,1
OBEROIRLTY.NS,4
GODREJPROP.NS,1
PRESTIGE.NS,5
BRIGADE.NS,1
