ticker,esg_data_quality_score,real_pct,proxy_pct,imputed_pct,missing_pct
ZS,48.90625,31.25,28.125,3.125,37.5
OKTA,48.90625,31.25,28.125,3.125,37.5
CRWD,48.90625,31.25,28.125,3.125,37.5
FTNT,48.90625,31.25,28.125,3.125,37.5
QLYS,51.25,34.375,28.125,0.0,37.5
VRNS,48.90625,31.25,28.125,3.125,37.5
ESTC,48.90625,31.25,28.125,3.125,37.5
DOCN,48.90625,31.25,28.125,3.125,37.5
PAYC,48.90625,31.25,28.125,3.125,37.5
MANH,48.90625,31.25,28.125,3.125,37.5
WK,48.90625,31.25,28.125,3.125,37.5
GLOB,48.90625,31.25,28.125,3.125,37.5
HUBS,48.90625,31.25,28.125,3.125,37.5
ANSS,28.28125,12.5,9.375,40.625,37.5
CDNS,48.90625,31.25,28.125,3.125,37.5
NET,48.90625,31.25,28.125,3.125,37.5
BILL,48.90625,31.25,28.125,3.125,37.5
FROG,48.90625,31.25,28.125,3.125,37.5
CFLT,48.90625,31.25,28.125,3.125,37.5
SMCI,48.90625,31.25,28.125,3.125,37.5
MARA,48.90625,31.25,28.125,3.125,37.5
RBLX,48.90625,31.25,28.125,3.125,37.5
SAMSN,23.59375,6.25,9.375,46.875,37.5
TENB,48.90625,31.25,28.125,3.125,37.5
CWAN,48.90625,31.25,28.125,3.125,37.5
RPD,48.90625,31.25,28.125,3.125,37.5
ILMN,51.25,34.375,28.125,0.0,37.5
ALGN,48.90625,31.25,28.125,3.125,37.5
INCY,48.90625,31.25,28.125,3.125,37.5
BMRN,48.90625,31.25,28.125,3.125,37.5
ALKS,48.90625,31.25,28.125,3.125,37.5
IONS,48.90625,31.25,28.125,3.125,37.5
EXAS,48.90625,31.25,28.125,3.125,37.5
TECH,51.25,34.375,28.125,0.0,37.5
DXCM,48.90625,31.25,28.125,3.125,37.5
VEEV,48.90625,31.25,28.125,3.125,37.5
TFX,48.90625,31.25,28.125,3.125,37.5
STE,48.90625,31.25,28.125,3.125,37.5
BIO,48.90625,31.25,28.125,3.125,37.5
HOLX,48.90625,31.25,28.125,3.125,37.5
NTRA,48.90625,31.25,28.125,3.125,37.5
MEDP,48.90625,31.25,28.125,3.125,37.5
HRMY,48.90625,31.25,28.125,3.125,37.5
PEN,48.90625,31.25,28.125,3.125,37.5
RVMD,46.71875,31.25,21.875,9.375,37.5
PCVX,46.71875,31.25,21.875,9.375,37.5
AZTA,48.90625,31.25,28.125,3.125,37.5
NEOG,48.90625,31.25,28.125,3.125,37.5
AVTR,48.90625,31.25,28.125,3.125,37.5
ENSG,48.90625,31.25,28.125,3.125,37.5
GMED,48.90625,31.25,28.125,3.125,37.5
OMCL,48.90625,31.25,28.125,3.125,37.5
GNRC,51.25,34.375,28.125,0.0,37.5
MTZ,48.90625,31.25,28.125,3.125,37.5
AWI,48.90625,31.25,28.125,3.125,37.5
GFF,48.90625,31.25,28.125,3.125,37.5
WWD,48.90625,31.25,28.125,3.125,37.5
