ticker,avg_daily_volume,avg_daily_volume_30d,avg_daily_volume_90d,price_volatility,price_volatility_30d,price_momentum_1m,price_momentum_3m,price_momentum_6m,price_momentum_12m,price_latest,max_drawdown_1y,sharpe_ratio_1y,sortino_ratio_1y,avg_daily_return,return_skewness,return_kurtosis,amihud_illiquidity
ZS,2050204.1832669324,3274893.3333333335,2531182.222222222,43.43205853869513,69.64019304642343,-14.448016908651995,-37.180943483887816,-54.9515561455299,-33.0757331666344,138.55999755859375,-60.40086596705023,-0.5750930851436781,-0.6835192781408763,-0.020941083949722536,-0.9274608444543545,7.818860868518289,4.4769640340812694e-05
OKTA,2901759.760956175,4005893.3333333335,3200943.3333333335,44.20858276678329,63.6216581522374,0.6779672381448609,-4.124817041389372,-15.518327024534473,-23.90396229697632,80.19000244140625,-45.39670033788688,-0.3819185124726939,-0.47623929789208824,-0.00967068559219968,0.4622057184684625,17.140905297826176,7.745801790331173e-05
CRWD,4097508.167330677,4794710.0,3426318.888888889,46.98682640499676,58.138139953593914,-6.345036679312866,-12.00670070710922,-19.66183475763035,7.4376175964743,399.1199951171875,-37.17827173511796,0.43698488327735663,0.6388779867645852,0.08786355406606072,0.028463406114508913,4.157207247829451,1.4969895436337642e-05
FTNT,5543724.302788844,6295820.0,6378827.777777778,40.51729401978549,33.747773592014866,-2.2388052957145077,5.970726360901124,-4.357401896323165,-15.85440738321262,82.52999877929688,-31.557643096243947,-0.15175491721784806,-0.16164067161961437,0.06161257867946886,0.6640047189326332,31.618385439112405,3.3108041080215024e-05
QLYS,415275.2988047809,757543.3333333334,592863.3333333334,39.80429845648888,52.93785834814692,-11.151328987634168,-32.55476351787722,-32.43615121952471,-31.535718052190596,88.36000061035156,-44.32380002970404,-0.7175730989355721,-0.986360797140244,-0.09524157006237945,2.287753835710815,28.285713880441097,0.0002931773187385205
VRNS,1794326.892430279,2319123.3333333335,2800155.5555555555,52.00712914736816,53.474472456542884,-5.455305250619446,-29.681647806299104,-62.10897908922273,-45.78922054337406,22.530000686645508,-66.70352319309978,-0.5061126881729204,-0.42499126098626505,-0.0785502635557185,-6.470135930462118,98.00151391878977,0.00023485912055479046
ESTC,1628797.609561753,2556340.0,2066857.7777777778,52.615843315467224,70.17158253621801,-4.432293980627932,-30.168136888334097,-42.14432848872308,-44.556298821154606,50.66999816894531,-48.639780003378995,-0.8847505145241302,-1.0596445710840463,-0.07424996547563623,-0.9779347374168919,11.707618888038207,0.00015905675564247196
DOCN,1924998.6055776891,4491413.333333333,3059567.777777778,62.64154506090054,85.24304838032525,67.21159032973215,83.80641186951165,132.52390665215813,155.78290891979023,90.01000213623047,-26.854217744749587,1.707635219985752,3.074381639899107,0.25491011247031065,1.0422175209141205,7.150509941087005,0.00045621309300176765
PAYC,847394.2231075697,2198133.3333333335,1533640.0,38.82464013034219,45.15136143833496,-9.339491395588851,-18.70297886250625,-38.33356509443288,-42.98589367626921,123.55999755859375,-56.76509728406995,-1.3031786859054744,-1.809630541834669,-0.062221045218215844,1.06217019943037,14.876879770445896,0.00011514368034919872
MANH,611224.3027888446,651316.6666666666,706392.2222222222,41.16094246653468,49.33890918534347,-8.462586694834185,-19.560020002076094,-33.17441539991918,-24.780592533011024,134.55999755859375,-44.10809855166688,-0.4509560837628212,-0.6205654504816882,-0.08199905255507645,-1.6723980953873947,19.94008103285379,0.0001409715214601007
WK,614648.6055776892,1002906.6666666666,847226.6666666666,44.23012055850404,35.336646517296785,-6.861220575253046,-27.684706379119017,-31.397209435081976,-22.199172895310603,60.0,-38.28099704276124,-0.21467218158054244,-0.37808106570273037,-0.02360429112594677,2.871625516873807,36.55172610233773,0.00041737536594775864
GLOB,974856.7729083665,1466676.6666666667,1328618.888888889,53.108418698288176,54.23626376404784,-10.056395135515327,-24.131918969950682,-19.512198721534226,-59.42508407504767,47.849998474121094,-70.39042377274971,-1.1981271326619647,-1.4257181413124456,-0.22468407690098174,-2.010917276901607,15.031071942359233,0.00022280905713134965
HUBS,831352.9880478088,1455670.0,1381101.111111111,47.79366485932906,65.08080832260794,-16.056541961695924,-35.988804872337234,-45.037740103296066,-58.739607379841054,244.6699981689453,-68.86082279067149,-1.2733694675535323,-1.585464100046428,-0.1416558781718551,-0.5293684839162666,3.5282335785352976,5.390892348962402e-05
CDNS,1956849.0039840636,2452013.3333333335,2222975.5555555555,38.25489005621059,32.45178146678774,-7.04375512778066,-10.206183408091896,-19.732747074270808,5.20117711644712,278.7200012207031,-28.08741904508758,0.38322489168951374,0.5539597067290658,0.007299189780854526,0.30655374211137454,5.703556711700511,2.7911575462235356e-05
