ticker,sbti_participant,ungc_signatory,cdp_reporter,re100_member,esg_commitment_score,n_esg_commitments
ZS,1,0,1,0,55,2
OKTA,0,0,0,0,0,0
CRWD,1,1,1,1,100,4
FTNT,1,0,1,0,55,2
QLYS,0,0,0,0,0,0
VRNS,0,0,0,0,0,0
ESTC,0,0,0,0,0,0
DOCN,0,0,0,0,0,0
PAYC,0,0,1,0,30,1
MANH,0,0,0,0,0,0
WK,0,0,0,0,0,0
GLOB,0,0,0,0,0,0
HUBS,1,1,1,1,100,4
ANSS,0,1,1,0,55,2
CDNS,0,1,1,0,55,2
NET,1,0,1,1,75,3
BILL,0,0,0,0,0,0
FROG,0,0,0,0,0,0
CFLT,0,0,0,0,0,0
SMCI,0,0,0,0,0,0
MARA,0,0,0,0,0,0
RBLX,0,0,0,0,0,0
SAMSN,0,0,0,0,0,0
TENB,0,0,0,0,0,0
CWAN,0,0,0,0,0,0
RPD,0,0,0,0,0,0
ILMN,1,0,1,0,55,2
ALGN,0,0,0,0,0,0
INCY,0,0,0,0,0,0
BMRN,0,0,0,0,0,0
ALKS,0,0,0,0,0,0
IONS,0,0,0,0,0,0
EXAS,0,0,0,0,0,0
TECH,0,0,0,0,0,0
DXCM,1,0,1,0,55,2
VEEV,1,1,0,0,50,2
TFX,0,0,0,0,0,0
STE,0,1,1,0,55,2
BIO,0,1,1,0,55,2
HOLX,1,0,1,0,55,2
NTRA,0,0,0,0,0,0
MEDP,0,0,0,0,0,0
HRMY,0,0,0,0,0,0
PEN,0,0,0,0,0,0
RVMD,0,0,0,0,0,0
PCVX,0,0,0,0,0,0
AZTA,0,0,0,0,0,0
NEOG,0,0,0,0,0,0
AVTR,0,0,0,0,0,0
ENSG,0,0,0,0,0,0
GMED,0,0,0,0,0,0
OMCL,0,0,0,0,0,0
GNRC,1,0,1,0,55,2
MTZ,0,0,0,0,0,0
AWI,0,0,0,0,0,0
GFF,0,0,0,0,0,0
WWD,0,0,0,0,0,0
