ticker,share_based_comp_sec,share_based_comp_expense_sec,stock_repurchase_sec,dividends_paid_sec,dividends_common_sec,goodwill_sec,long_term_debt_sec,lt_debt_noncurrent_sec,effective_tax_rate_sec,public_float_sec,shares_outstanding_sec,professional_fees_sec,operating_segments_sec,reportable_segments_sec,employees_sec
AAPL,12863000000.0,12863000000.0,90711000000.0,15421000000.0,3252000000.0,5717000000.0,90678000000.0,78328000000.0,0.156,3253431000000.0,14776353000.0,,,,
AMZN,19467000000.0,19467000000.0,0.0,,,23273000000.0,68836000000.0,65648000000.0,0.196,2118061430046.0,10734920870.0,,,,
GOOGL,24953000000.0,27100000000.0,45709000000.0,10049000000.0,,33380000000.0,49085000000.0,46547000000.0,0.168,1900000000000.0,,,,,
MSFT,11974000000.0,11974000000.0,18420000000.0,,24082000000.0,119509000000.0,43151000000.0,40152000000.0,0.176,3100000000000.0,7433166379.0,,,,
NVDA,6386000000.0,6386000000.0,40086000000.0,974000000.0,,20832000000.0,8468000000.0,7469000000.0,0.151,4000000000000.0,24300000000.0,,,,
META,20427000000.0,20427000000.0,26248000000.0,5324000000.0,1328000000.0,24534000000.0,58744000000.0,58744000000.0,0.296,1600000000000.0,,,,,
AVGO,921000000.0,920000000.0,0.0,1745000000.0,,24706000000.0,17548000000.0,17431000000.0,0.019,89200000000.0,,,,,
ADBE,1942000000.0,1942000000.0,11281000000.0,,,12857000000.0,6210000000.0,1000000000.0,,144940000000.0,410500000.0,,,,
CRM,3509000000.0,229300000.0,12596000000.0,1587000000.0,,57941000000.0,14439000000.0,10439000000.0,0.215,191800000000.0,923000000.0,,,,
CSCO,3641000000.0,3641000000.0,6000000000.0,6437000000.0,,59136000000.0,24611000000.0,22861000000.0,0.083,247500000000.0,3953196953.0,,,,
INTC,2434000000.0,,0.0,,0.0,23912000000.0,46585000000.0,44086000000.0,0.983,99300000000.0,4995000000.0,,,,
AMD,1638000000.0,1638000000.0,1316000000.0,,,25126000000.0,1000000.0,2348000000.0,0.19,232300000000.0,1630410843.0,,,,
ORCL,4674000000.0,,600000000.0,,4743000000.0,62207000000.0,0.0,,0.121,305793119000.0,2808833000.0,,,,
LLY,626000000.0,626000000.0,4108000000.0,5384000000.0,,5898000000.0,29474000000.0,40868000000.0,0.198,807887000000.0,943357420.0,,,,
ABBV,955000000.0,955000000.0,980000000.0,11657000000.0,,35640000000.0,64503000000.0,,0.358,325061294916.0,1768169012.0,,,,
MRK,820000000.0,498000000.0,5084000000.0,,8176000000.0,21579000000.0,,46750000000.0,0.133,198051000000.0,2472392003.0,,,,
PFE,799000000.0,799000000.0,0.0,,,71264000000.0,4000000000.0,61641000000.0,-0.035,138000000000.0,5686267431.0,,,,
TMO,310000000.0,,3000000000.0,,636000000.0,49362000000.0,39172000000.0,19107000000.0,0.075,154038987000.0,371484244.0,,,,
BAC,4001000000.0,4200000000.0,21433000000.0,1677000000.0,,69021000000.0,317816000000.0,,0.191,351903673230.0,7176682170.0,2580000000.0,,,
WFC,1476000000.0,,17516000000.0,,5434000000.0,24967000000.0,174712000000.0,,0.152,257300000000.0,3085635641.0,3198000000.0,4.0,,
GS,3445000000.0,,12360000000.0,5277000000.0,,5949000000.0,,236027000000.0,0.214,213200000000.0,296752922.0,1770000000.0,,,
MS,1926000000.0,1926000000.0,691000000.0,6593000000.0,,16726000000.0,341681000000.0,,0.225,217968854713.0,1587860206.0,2839000000.0,,,
BLK,630000000.0,,1884000000.0,3035000000.0,,15524000000.0,7918000000.0,,0.21,102000000000.0,148942491.0,,,,
WMT,,3603000000.0,8088000000.0,6048000000.0,7507000000.0,28735000000.0,38166000000.0,34624000000.0,0.244,391703475732.0,7972402501.0,,,,
HD,522000000.0,524000000.0,0.0,,9152000000.0,22344000000.0,49397000000.0,8707000000.0,0.239,371800000000.0,996011466.0,,3.0,1.0,
MCD,165000000.0,,2056000000.0,,5115000000.0,3354000000.0,39973000000.0,39973000000.0,0.214,208464334129.0,710398642.0,,,,
NKE,709000000.0,,2985000000.0,555000000.0,2300000000.0,240000000.0,7961000000.0,7961000000.0,0.171,98259025196.0,855351589.0,,,,
COST,860000000.0,,903000000.0,5748000000.0,2183000000.0,994000000.0,7531000000.0,5713000000.0,0.251,475200000000.0,443179176.0,,,,
RTX,519000000.0,240000000.0,50000000.0,,3574000000.0,53343000000.0,41078000000.0,,0.191,195405729090.0,1342287676.0,,,,
LMT,304000000.0,158000000.0,3000000000.0,,3131000000.0,11314000000.0,21700000000.0,20532000000.0,0.153,106500000000.0,230080240.0,,,,
GE,,,,3322000000.0,,25026000000.0,,,0.018,0.0,1000.0,,,,
DE,151000000.0,151000000.0,1138000000.0,,1720000000.0,4188000000.0,,32888000000.0,0.234,124313866554.0,270445437.0,,,4.0,
NFLX,368449000.0,73100000.0,9127167000.0,,,,21857087000.0,13463971000.0,0.137,565657747980.0,4222162150.0,,,,
DIS,1363000000.0,1363000000.0,3500000000.0,,1803000000.0,73294000000.0,42026000000.0,35315000000.0,-0.119,176600000000.0,1785288846.0,,3.0,3.0,
ANSS,7722000.0,7700000.0,0.0,,,71260000.0,143236000.0,135000000.0,0.34,1029000000.0,60547861.0,,,,
BILL,242532000.0,242532000.0,430002000.0,,,2396509000.0,1714470000.0,,,8400000000.0,101628611.0,,,,
CDNS,455175000.0,,925034000.0,,,2749143000.0,,,0.271,83968000000.0,272651000.0,,,,
CRWD,1096679000.0,1097668000.0,0.0,,,1363294000.0,,745471000.0,-0.269,109300000000.0,252098440.0,,,,
FFIV,231491000.0,231500000.0,502085000.0,,,2443882000.0,,0.0,0.192,15351963269.0,58089614.0,,,,
FTNT,279500000.0,282100000.0,2289800000.0,,,257400000.0,,496600000.0,0.192,56846175983.0,739923583.0,,,,
GLOB,,,,,,,,,,,43835604.0,,,,
HUBS,528153000.0,528153000.0,500019000.0,,,291452000.0,,,0.34,28297314702.0,52740536.0,,,,
JKHY,715762.0,4008000.0,0.0,,,103222000.0,38663000.0,36746000.0,,562900000.0,73368777.0,1196000.0,,,
MANH,111263000.0,,315162000.0,,,62244000.0,,,0.231,11791338195.0,59847548.0,,,,
NET,451454000.0,451454000.0,0.0,,,226563000.0,,,-0.103,35700000000.0,,,,,
PAYC,118700000.0,118700000.0,325500000.0,84800000.0,,51900000.0,29000000.0,29000000.0,0.268,11900000000.0,54275097.0,,,,
PCTY,142820000.0,142820000.0,149638000.0,,,343100000.0,162500000.0,938000.0,0.265,9000000000.0,55161627.0,,,,
SSNC,257700000.0,257700000.0,1036000000.0,,253800000.0,9991300000.0,782000000.0,7408400000.0,0.181,17502751030.0,241505294.0,0.0,,,
TENB,544000000.0,544000000.0,73000000.0,,,5487000000.0,,,0.079,16400000000.0,,,,,
VEEV,,,,,,,,,,,,,,,
WEX,100300000.0,100300000.0,799800000.0,,,3015300000.0,2874113000.0,3532000000.0,0.276,5000000000.0,34310618.0,,,,
ZS,661350000.0,661350000.0,0.0,,,417730000.0,1142275000.0,,-0.974,17900000000.0,158300823.0,,,,
ALGN,185870000.0,185870000.0,465939000.0,,,491833000.0,,,0.299,11100000000.0,71282132.0,,,,
BIO,58000000.0,58000000.0,295500000.0,,,579800000.0,1203000000.0,1201700000.0,0.237,6181361340.0,,,,,
DXCM,159600000.0,159600000.0,500000000.0,,,24200000.0,4600000.0,,0.232,34200000000.0,384864842.0,139000000.0,,1.0,
ENSG,675100000.0,,,,144410000.0,230783000.0,,,0.193,10400000000.0,,103044000.0,,,
HOLX,84300000.0,,752900000.0,,,3640600000.0,2507900000.0,2505000000.0,0.17,13566017923.0,223244905.0,,,,
