ticker,r_d_expenditure,sec_revenue
AAPL,34550000000.0,62900000000.0
AMZN,,716924000000.0
GOOGL,61087000000.0,402836000000.0
MSFT,32488000000.0,16039000000.0
NVDA,18497000000.0,215938000000.0
META,57372000000.0,40653000000.0
AVGO,3292000000.0,4844000000.0
ADBE,,23769000000.0
CRM,5993000000.0,2293988000.0
CSCO,9300000000.0,12844000000.0
INTC,13774000000.0,52853000000.0
AMD,8091000000.0,34639000000.0
ORCL,9860000000.0,57399000000.0
LLY,7190800000.0,65179000000.0
ABBV,,16618000000.0
MRK,15789000000.0,65011000000.0
PFE,,62579000000.0
TMO,1397000000.0,6047000000.0
BAC,,113097000000.0
WFC,,85063000000.0
GS,,
MS,,7764000000.0
BLK,,11012000000.0
WMT,,713163000000.0
HD,,66176000000.0
MCD,,26885000000.0
NKE,,46309000000.0
COST,,275235000000.0
RTX,2807000000.0,80738000000.0
LMT,2000000000.0,75048000000.0
GE,,11512000000.0
DE,2311000000.0,45684000000.0
NFLX,3391390000.0,45183036000.0
DIS,,94425000000.0
ANSS,89233000.0,375401000.0
BILL,340059000.0,1462570000.0
CDNS,,5296759000.0
CRWD,1384770000.0,
FFIV,539815000.0,3088072000.0
FTNT,815500000.0,6799600000.0
GLOB,,
HUBS,905943000.0,144022000.0
JKHY,2900000.0,302548000.0
MANH,145062000.0,131300000.0
NET,512489000.0,2167937000.0
PAYC,283400000.0,150332000.0
PCTY,205851000.0,1595221000.0
SSNC,507500000.0,438365000.0
TENB,639000000.0,2919000000.0
WEX,,2660800000.0
ZS,672485000.0,2673115000.0
ALGN,369911000.0,387126000.0
BIO,275600000.0,2583200000.0
DXCM,599100000.0,221000000.0
ENSG,,3880084000.0
HOLX,248200000.0,4100500000.0
ILMN,967000000.0,4343000000.0
ITCI,236121000.0,87869000.0
LNTH,,1255034000.0
MEDP,,2530234000.0
TECH,15547000.0,134332000.0
BWXT,54000000.0,2265100000.0
EXPO,,763923000.0
GNRC,243470000.0,4209147000.0
POOL,,5289396000.0
OVV,,8908000000.0
TRGP,,17028300000.0
CLF,,18610000000.0
RPM,,8086400000.0
STLD,10700000.0,389400000.0
EWBC,,
IBKR,,2580000000.0
WBS,,2899413000.0
OKTA,639000000.0,2919000000.0
QLYS,117284000.0,94801000.0
VRNS,237814000.0,270288000.0
ESTC,365758000.0,1483296000.0
DOCN,161621000.0,901427000.0
WK,214844000.0,884568000.0
CFLT,53759000.0,2436000.0
RPD,190660000.0,685083000.0
INCY,2050152000.0,3394635000.0
BMRN,921930000.0,1313646000.0
IONS,848329000.0,4769507000.0
EXAS,522996000.0,1036000.0
NTRA,624110000.0,53765000.0
RVMD,13300000.0,310943000.0
STE,107648000.0,5459515000.0
EME,,16986422000.0
GGG,302000000.0,3580000000.0
ITT,302000000.0,3580000000.0
ALLE,132000000.0,2408200000.0
AAON,58200000.0,
KMX,,26353420000.0
DKS,,17215120000.0
WSM,,1379100000.0
DECK,56676000.0,4985612000.0
GRMN,1126231000.0,7245519000.0
LULU,,11102600000.0
CROX,29600000.0,4040647000.0
TROW,,5266292000.0
BEN,,5774500000.0
ALLY,,7914000000.0
LPLA,,11102600000.0
SEIC,,2297381000.0
HBAN,,1562000000.0
ZION,,662000000.0
NOV,,8744000000.0
AR,,21876000000.0
CTRA,,7645000000.0
SEE,81900000.0,5359800000.0
FMC,9400000000.0,184992000000.0
