ticker,esgScore,environmentScore,socialScore,governanceScore,totalEsg,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,heldPercentInstitutions,heldPercentInsiders,numberOfAnalystOpinions,recommendationMean,targetMeanPrice,payoutRatio,profitMargins,returnOnEquity
ZS,,,,,,7923.0,1.0,8.0,6.0,8.0,6.0,0.58011,0.35191002,46.0,1.53061,233.7011,0.0,-0.02253,-0.03556
OKTA,,,,,,6366.0,1.0,8.0,4.0,10.0,8.0,0.92300004,0.00641,42.0,1.76087,100.925,0.0,0.08051,0.03506
CRWD,,,,,,10698.0,10.0,9.0,10.0,10.0,10.0,0.7537,0.03095,50.0,1.69643,489.8584,0.0,-0.033770002,-0.04137
FTNT,,,,,,15109.0,1.0,7.0,7.0,5.0,5.0,0.71747,0.17433001,34.0,2.72093,89.11765,0.0,0.27257,1.3571601
QLYS,,,,,,2625.0,1.0,3.0,3.0,8.0,4.0,1.03806,0.0077100005,19.0,2.66667,135.91316,0.0,0.29639,0.38202
VRNS,,,,,,2658.0,1.0,6.0,4.0,8.0,5.0,1.01013,0.0296,21.0,1.72727,33.90476,0.0,-0.20741,-0.24531999
ESTC,,,,,,3921.0,1.0,5.0,7.0,2.0,3.0,0.91822,0.12399,24.0,,82.125,0.0,-0.05039,-0.10244001
DOCN,,,,,,1462.0,9.0,9.0,7.0,8.0,8.0,0.68728995,0.22874,12.0,1.78571,81.08333,0.0,0.28761,
PAYC,,,,,,5770.0,1.0,8.0,4.0,5.0,5.0,0.98413,0.12476,17.0,2.42857,153.58824,0.1856,0.22099,0.27417
MANH,,,,,,4370.0,1.0,5.0,4.0,5.0,4.0,1.06136,0.01418,11.0,,208.54546,0.0,0.20339,0.71656996
WK,,,,,,2860.0,1.0,7.0,3.0,10.0,8.0,0.96830004,0.03582,11.0,1.16667,89.45455,0.0,-0.029579999,
GLOB,,,,,,28773.0,1.0,7.0,6.0,4.0,6.0,1.14254,0.027090002,22.0,2.17391,72.45455,0.0,0.04192,0.04956
HUBS,,,,,,8882.0,1.0,2.0,3.0,2.0,1.0,0.93046,0.0342,34.0,1.37838,365.45264,0.0,0.01466,0.0231
ANSS,,,,,,,,,,,,,,,,,,,
CDNS,,,,,,13800.0,3.0,5.0,9.0,1.0,4.0,0.90143996,0.0034999999,27.0,1.42308,371.67776,0.0,0.20934999,0.21855
NET,,,,,,5156.0,1.0,8.0,8.0,10.0,9.0,0.8958,0.00719,31.0,1.97143,233.46774,0.0,-0.04717,-0.08164
BILL,,,,,,2364.0,1.0,7.0,9.0,8.0,7.0,1.12186,0.12362,22.0,,57.86364,0.0,-0.0156,-0.00636
FROG,,,,,,1800.0,1.0,8.0,10.0,3.0,7.0,0.86679,0.119049996,20.0,1.33333,69.65,0.0,-0.13504,-0.08648
CFLT,,,,,,3241.0,2.0,8.0,7.0,10.0,9.0,0.90148,0.00981,8.0,2.85714,31.0,0.0,-0.25308,-0.27721
SMCI,,,,,,6238.0,10.0,10.0,9.0,9.0,10.0,0.56293,0.13854,15.0,2.88889,34.53333,0.0,0.03111,0.13193
MARA,,,,,,266.0,8.0,7.0,10.0,4.0,9.0,0.69391996,0.012359999,11.0,2.14286,16.56818,0.0,-1.44581,-0.34464002
RBLX,,,,,,3065.0,5.0,7.0,6.0,10.0,9.0,0.8268,0.04459,35.0,1.72222,105.16971,0.0,-0.21778,-3.67223
SAMSN,,,,,,,,,,,,,,,,,,,
TENB,,,,,,1995.0,1.0,7.0,7.0,8.0,6.0,1.01465,0.02173,20.0,2.125,30.05,0.0,-0.036140002,-0.09945
CWAN,,,,,,3000.0,7.0,6.0,5.0,8.0,6.0,1.07997,0.011569999,7.0,,24.47143,0.0,-0.053060003,-0.026300002
RPD,,,,,,2613.0,6.0,3.0,5.0,4.0,4.0,0.99491996,0.02491,22.0,2.84615,9.75727,0.0,0.027190002,0.27118
ILMN,,,,,,8600.0,4.0,2.0,7.0,2.0,3.0,1.06819,0.00229,18.0,2.31579,136.11111,0.0,0.19572,0.33359
ALGN,,,,,,20290.0,1.0,5.0,9.0,5.0,7.0,0.9629,0.06825,13.0,2.0,201.6923,0.0,0.1017,0.103870004
INCY,,,,,,2844.0,8.0,3.0,8.0,6.0,6.0,1.0521901,0.01871,22.0,2.32,107.13636,0.0,0.25026,0.2987
BMRN,,,,,,3221.0,3.0,1.0,4.0,3.0,2.0,1.01182,0.00437,23.0,,88.86957,0.0,0.10831001,0.05941
ALKS,,,,,,2050.0,3.0,5.0,2.0,2.0,3.0,1.10281,0.01601,17.0,1.5,43.70588,0.0,0.16374001,0.14716
IONS,,,,,,1402.0,6.0,3.0,3.0,5.0,4.0,1.05755,0.00714,22.0,1.81818,96.80727,0.0,-0.40414003,-0.70795
EXAS,,,,,,7100.0,1.0,2.0,3.0,4.0,2.0,0.86478996,0.0123000005,10.0,2.94444,106.3,0.0,-0.06404,-0.08659001
TECH,,,,,,3100.0,7.0,1.0,10.0,1.0,8.0,1.13843,0.00287,11.0,1.64286,74.90909,0.6038,0.06672,0.03966
DXCM,,,,,,11000.0,2.0,6.0,3.0,6.0,4.0,1.01246,0.00387,24.0,1.40741,87.125,0.0,0.17939,0.34497002
VEEV,,,,,,7928.0,1.0,4.0,10.0,3.0,7.0,0.88889,0.0856,29.0,1.90625,270.93103,0.0,0.28445,0.13933
TFX,,,,,,15500.0,4.0,5.0,4.0,1.0,2.0,1.08493,0.00348,9.0,2.90909,130.22221,1.0382,-0.45448002,0.01581
STE,,,,,,17787.0,8.0,4.0,6.0,8.0,7.0,0.98455,0.00302,7.0,2.125,279.2857,0.33470002,0.12144,0.10468
BIO,,,,,,7450.0,4.0,9.0,6.0,10.0,9.0,0.90345,0.16203,4.0,2.5,321.25,0.0,0.29417,0.108380005
HOLX,,,,,,7070.0,7.0,5.0,6.0,7.0,6.0,0.96516997,0.00836,9.0,3.0,76.66667,0.0,0.13178,0.108559996
NTRA,,,,,,6135.0,1.0,8.0,5.0,8.0,6.0,0.94491,0.03147,19.0,1.47368,259.10526,0.0,-0.09026,-0.14317
MEDP,,,,,,6200.0,6.0,9.0,4.0,7.0,7.0,0.86052,0.19389,12.0,2.61538,500.08334,0.0,0.17829001,0.70235
HRMY,,,,,,293.0,9.0,9.0,10.0,8.0,10.0,0.91136,0.12085,11.0,,42.0,0.0,0.18271999,0.20752001
PEN,,,,,,4700.0,7.0,5.0,7.0,4.0,5.0,0.95267,0.029979998,14.0,2.64706,366.85715,0.0,0.12659,0.13781999
RVMD,,,,,,883.0,5.0,7.0,8.0,8.0,7.0,1.02112,0.01933,20.0,1.2,133.7,0.0,0.0,-0.58068
PCVX,,,,,,507.0,2.0,5.0,10.0,8.0,9.0,1.0438501,0.0058600004,9.0,1.27273,109.0,0.0,0.0,-0.25591
AZTA,,,,,,3000.0,10.0,2.0,2.0,6.0,5.0,1.16151,0.0092400005,6.0,2.14286,37.83333,0.0,-0.10118,0.01534
NEOG,,,,,,2974.0,10.0,3.0,8.0,5.0,6.0,1.04071,0.009380001,3.0,,11.66667,0.0,-0.68468004,-0.25253
AVTR,,,,,,13500.0,2.0,3.0,3.0,1.0,1.0,1.04058,0.01455,13.0,2.82353,10.88462,0.0,-0.08092,-0.09204
ENSG,,,,,,46000.0,7.0,5.0,7.0,2.0,4.0,0.95881,0.035469998,5.0,,220.4,0.0432,0.06801,0.16895
GMED,,,,,,6000.0,7.0,9.0,6.0,10.0,10.0,1.0248799,0.00672,12.0,1.85714,110.08333,0.0,0.18301001,0.122930005
OMCL,,,,,,3580.0,1.0,4.0,2.0,7.0,4.0,1.0565699,0.01993,7.0,1.375,57.42857,0.0,0.0017299999,0.00166
GNRC,,,,,,9400.0,5.0,9.0,8.0,9.0,9.0,0.97435,0.017339999,17.0,1.85714,245.41176,0.0,0.03791,0.06283
MTZ,,,,,,36000.0,8.0,7.0,7.0,6.0,6.0,0.76805,0.21488,18.0,1.42105,341.27777,0.0,0.02791,0.13351
