ticker,company_name,market_cap,total_revenue,ebitda,net_income,gross_profit,total_debt,total_cash,total_assets,roa,roe,debt_to_equity,current_ratio,quick_ratio,free_cashflow,operating_cashflow,trailing_pe,forward_pe,price_to_book,price_to_sales,enterprise_to_revenue,enterprise_to_ebitda,dividend_yield,payout_ratio,revenue_growth,earnings_growth,earnings_quarterly_growth,profit_margins,gross_margins,operating_margins,currency,sector,industry,country,price,beta,employees,52_week_high,52_week_low,50d_avg,200d_avg,avg_volume,avg_volume_10d
ZS,"Zscaler, Inc.",22279159808.0,3001123072.0,-68018000.0,-67630000.0,2299827968.0,1866436992.0,3512751104.0,,-0.014090001,-0.03556,84.995,1.901,1.746,1020966656.0,1114038016.0,,30.196573,10.131618,7.4236073,6.875,-303.344,,0.0,0.259,,,-0.02253,0.76632005,-0.061979998,USD,Technology,Software - Infrastructure,United States,138.56,1.115,7923.0,336.99,128.0,165.4546,250.97252,2727304.0,2851290.0
OKTA,"Okta, Inc.",14212091904.0,2919000064.0,249000000.0,235000000.0,2257999872.0,451000000.0,2552999936.0,,0.00999,0.03506,6.444,1.427,1.278,836124992.0,884000000.0,61.213745,18.956596,2.03203,4.868822,4.139,48.525,,0.0,0.116,1.708,1.739,0.08051,0.77355003,0.0657,USD,Technology,Software - Infrastructure,United States,80.19,0.762,6366.0,127.567,68.77,80.8154,88.35632,3314165.0,3966990.0
CRWD,"CrowdStrike Holdings, Inc.",101222457344.0,4812004864.0,-46664000.0,-162502000.0,3599789056.0,820076992.0,5230125056.0,,-0.015700001,-0.04137,18.336,1.773,1.592,1604615040.0,1612349056.0,,64.661835,22.835564,21.035402,20.128,-2075.618,,0.0,0.233,,,-0.033770002,0.74808997,0.0100300005,USD,Technology,Software - Infrastructure,United States,399.12,1.072,10698.0,566.9,298.0,413.469,463.91104,3936745.0,3943780.0
FTNT,"Fortinet, Inc.",61373280256.0,6799600128.0,2226299904.0,1853400064.0,5470700032.0,1061800000.0,3582500096.0,,0.12866001,1.3571601,85.802,1.172,1.048,1746974976.0,2590599936.0,34.103306,24.943481,49.537815,9.026013,8.61,26.297,,0.0,0.148,-0.011,-0.038,0.27257,0.80456,0.32766,USD,Technology,Software - Infrastructure,United States,82.53,0.998,15109.0,109.33,70.12,81.6516,85.1846,6775583.0,6920090.0
QLYS,"Qualys, Inc.",3168440064.0,669124992.0,236443008.0,198320000.0,554356992.0,52274000.0,445939008.0,,0.13412,0.38202,9.315,1.407,1.32,259132000.0,309400000.0,16.242647,11.070684,5.6262336,4.735199,4.123,11.667,,0.0,0.101,0.236,0.209,0.29639,0.82848,0.33566,USD,Technology,Software - Infrastructure,United States,88.36,0.612,2625.0,155.47,82.06,104.1826,128.389,684522.0,810490.0
VRNS,"Varonis Systems, Inc.",2656226560.0,623532032.0,-134205000.0,-129324000.0,491558016.0,521747008.0,920966016.0,,-0.052989997,-0.24531999,87.153,1.971,1.837,215746880.0,147431008.0,,54.311405,4.423719,4.2599683,3.603,-16.742,,0.0,0.094,,,-0.20741,0.78834,-0.17073,USD,Technology,Software - Infrastructure,United States,22.53,0.675,2658.0,63.9,20.06,25.1147,41.927925,3156909.0,2425390.0
ESTC,Elastic N.V.,5339239424.0,1677081984.0,-16481000.0,-84515000.0,1275694976.0,591676032.0,1248045952.0,,-0.0071799997,-0.10244001,74.802,1.818,1.633,387170752.0,261163008.0,,17.905098,6.6714945,3.1836483,2.736,-278.383,,0.0,0.177,,,-0.05039,0.76066,0.00233,USD,Technology,Software - Application,Netherlands,50.67,1.029,3921.0,96.07,47.49,57.6878,76.0265,2149272.0,2142590.0
DOCN,"DigitalOcean Holdings, Inc.",9356012544.0,901427008.0,284300000.0,259262000.0,539592000.0,1701208064.0,254475008.0,,0.05644,,,0.689,0.603,112400376.0,309604000.0,35.718254,51.589645,-288.4936,10.379113,10.791,34.215,,0.0,0.183,0.901,0.405,0.28761,0.59860003,0.16006,USD,Technology,Software - Infrastructure,United States,90.01,1.434,1462.0,91.53,25.45,66.8374,45.61065,3755550.0,5407730.0
PAYC,"Paycom Software, Inc.",6784200192.0,2051699968.0,634499968.0,453400000.0,1788700032.0,90300000.0,370000000.0,,0.05268,0.27417,5.215,1.088,0.092,260975008.0,678899968.0,15.292079,10.730799,3.8178225,3.306624,3.065,9.912,1.21,0.1856,0.102,0.021,0.002,0.22099,0.87181,0.28863,USD,Technology,Software - Application,United States,123.56,0.796,5770.0,267.76,104.9,128.0706,181.22185,1891831.0,2420110.0
MANH,"Manhattan Associates, Inc.",8108349952.0,1081392000.0,289054016.0,219948000.0,609052992.0,61063000.0,328747008.0,,0.22131,0.71656996,19.4,1.279,1.207,312002624.0,389470016.0,37.27424,22.873928,25.581747,7.4980674,7.199,26.934,,0.0,0.057,0.101,0.082,0.20339,0.56321,0.24784,USD,Technology,Software - Application,United States,134.56,1.047,4370.0,247.22,126.0,143.4982,181.8606,798573.0,556430.0
