Ticker,Sector,Category,Profiles,N_Profiles,ESG_Composite,Financial_Score,Rank_ESG_First,Rank_Balanced,Rank_Financial_First,Max_Rank_Swing
GOOGL,Communication Services,Consensus,ESG-First+Balanced+Financial-First,3,55.55,60.37,1,1,1,0
TCS.NS,Technology,Consensus,ESG-First+Balanced+Financial-First,3,58.9,71.74,2,2,2,0
META,Communication Services,Consensus,ESG-First+Balanced+Financial-First,3,57.26,64.86,3,3,3,0
BHARTIARTL.NS,Communication Services,Consensus,ESG-First+Balanced+Financial-First,3,51.95,70.19,7,4,4,3
NVDA,Technology,Consensus,ESG-First+Balanced+Financial-First,3,59.87,58.57,4,5,8,4
JNJ,Healthcare,Consensus,ESG-First+Balanced+Financial-First,3,47.43,54.62,11,6,7,5
ITC.NS,Consumer Defensive,Consensus,ESG-First+Balanced+Financial-First,3,48.02,55.64,13,7,6,7
PFE,Healthcare,Consensus,ESG-First+Balanced+Financial-First,3,51.16,53.56,12,9,11,3
PM,Consumer Defensive,Consensus,ESG-First+Balanced+Financial-First,3,50.14,52.92,8,10,10,2
V,Financial Services,Consensus,ESG-First+Balanced+Financial-First,3,55.54,54.4,5,11,12,7
MSFT,Technology,Consensus,ESG-First+Balanced+Financial-First,3,57.02,60.68,6,12,14,8
SBIN.NS,Financial Services,Consensus,ESG-First+Balanced+Financial-First,3,50.21,53.86,17,13,13,4
INFY.NS,Technology,Consensus,ESG-First+Balanced+Financial-First,3,53.81,57.52,9,14,9,5
AAPL,Technology,Consensus,ESG-First+Balanced+Financial-First,3,55.67,58.11,10,15,15,5
AMZN,Consumer Cyclical,Consensus,ESG-First+Balanced+Financial-First,3,48.67,49.07,18,16,19,3
SUNPHARMA.NS,Healthcare,Consensus,ESG-First+Balanced+Financial-First,3,54.6,50.62,16,18,20,4
PG,Consumer Defensive,Consensus,ESG-First+Balanced+Financial-First,3,49.32,48.23,19,19,17,2
CSCO,Technology,Consensus,ESG-First+Balanced+Financial-First,3,52.58,46.85,15,20,18,5
RELIANCE.NS,Energy,Two-Profile,Balanced+Financial-First,2,42.0,72.13,33,8,5,28
MARUTI.NS,Consumer Cyclical,Two-Profile,Balanced+Financial-First,2,45.54,52.64,22,17,16,6
WIPRO.NS,Technology,Profile-Specific,ESG-First,1,58.91,52.56,14,21,21,7
ABBV,Healthcare,Profile-Specific,ESG-First,1,50.63,47.17,20,24,24,4
