,n,esg_mean,esg_std,esg_median,fin_mean,fin_std,fin_median,mkt_mean,mkt_std,pearson_r,pearson_p,spearman_r,spearman_p
US,40.0,49.76,4.86,50.34,48.61,5.85,47.24,49.94,11.11,0.5264,0.000485,0.3929,0.012153
India,20.0,50.48,5.04,50.26,52.87,9.33,52.06,50.11,5.26,0.0568,0.811981,0.0256,0.914804
mw_ESG_composite_U,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0
mw_ESG_composite_p,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335,0.621335
cohens_d_ESG_composite,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146,-0.146
mw_financial_score_U,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0
mw_financial_score_p,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943,0.060943
cohens_d_financial_score,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547,-0.547
mw_market_score_U,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0
mw_market_score_p,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893,0.465893
cohens_d_market_score,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
