,India,US
E_score,50.7398,49.6301
S_score,50.1087,49.9457
G_score,50.6142,49.6929
profitability_score,-0.1343,0.0671
growth_score,55.5494,47.0637
efficiency_score,-0.143,0.0817
stability_score,48.264,50.868
valuation_score,-0.0082,0.0041
market_score,50.1134,49.9433
financial_score,52.8652,48.6084
ESG_composite,50.4812,49.7594
financial_score,52.8652,48.6084
market_score,50.1134,49.9433
operational_score,47.6578,51.0149
risk_adjusted_score,50.4196,49.9551
value_score,50.0298,50.3626
pref_esg_first,52.4846,51.6489
pref_balanced,52.7259,51.0333
pref_financial_first,52.3309,50.617
