ticker,company_name,sector,country,ESG_composite,financial_score,value_score
WIPRO.NS,WIPRO.NS,Technology,India,58.90977819789852,52.56320841138678,55.61815430264436
TCS.NS,TCS.NS,Technology,India,58.89928750107118,71.73667715850664,51.48503785509156
ADBE,ADBE,Technology,US,57.15186576434425,51.7598404960786,52.87787870761046
MSFT,MSFT,Technology,US,57.018935496578855,60.68155229914041,51.95827165439608
KOTAKBANK.NS,KOTAKBANK.NS,Financial Services,India,56.47253696445252,45.29110858451055,55.18644510913468
WFC,WFC,Financial Services,US,54.55791564191147,42.69652925615671,57.01307584885997
INFY.NS,INFY.NS,Technology,India,53.80794015483204,57.52080007092789,52.65657934082691
AXISBANK.NS,AXISBANK.NS,Financial Services,India,53.270432946887965,46.62848783866424,56.60278100667283
CSCO,CSCO,Technology,US,52.58247925865193,46.84809998701622,51.50393025191468
CRM,CRM,Technology,US,52.04301446121109,47.23033778148015,53.53715732619524
TMO,TMO,Healthcare,US,51.94616392435058,45.09957836885221,52.24448154637292
BAC,BAC,Financial Services,US,51.63318212218937,42.98706513396399,57.26478856423093
PFE,PFE,Healthcare,US,51.16496535880584,53.56473248477988,56.89385296257501
JPM,JPM,Financial Services,US,50.74769022773617,43.95512000386982,56.59561634376609
