,E_score_pearson,S_score_pearson,G_score_pearson,ESG_composite_pearson,financial_score_pearson,market_score_pearson,operational_score_pearson,risk_adjusted_score_pearson,value_score_pearson,pref_balanced_pearson,E_score_spearman,S_score_spearman,G_score_spearman,ESG_composite_spearman,financial_score_spearman,market_score_spearman,operational_score_spearman,risk_adjusted_score_spearman,value_score_spearman,pref_balanced_spearman
E_score,1.0,0.23235014249749608,-0.1432593711391589,0.7957689568709985,0.2750812688254149,-0.15178664092641905,0.11468173435445236,-0.10579556068568817,-0.09089595848772067,0.40403376635873095,1.0,0.24990275076410115,-0.09247013059183107,0.7793831619894415,0.39855515420950266,-0.21094748541261463,0.05190330647402056,-0.06268407891080856,-0.07691025284801334,0.39872186718532926
S_score,0.23235014249749608,1.0,-0.10927260229187817,0.6048143288316621,0.24428478812599655,-0.06547016340233067,0.22996528638439284,-0.2431338610992496,-0.07620990953051833,0.2864033176023889,0.24990275076410115,1.0,-0.07885523756599055,0.5662128368991387,0.2479021950541817,-0.08491247568769103,0.14976382328424562,-0.25768268963601,-0.06424006668519033,0.26985273687135314
G_score,-0.1432593711391589,-0.10927260229187817,1.0,0.27126399601203516,-0.013363682222450251,-0.08426131181707618,-0.1121859796732312,-0.17675381388457612,0.04866280316086937,-0.02245189606662501,-0.09247013059183107,-0.07885523756599055,1.0,0.30141706029452625,-0.02567379827729925,-0.03751041956098916,-0.08141150319533204,-0.1647679911086413,0.03728813559322034,-0.042456237843845515
ESG_composite,0.7957689568709985,0.6048143288316621,0.27126399601203516,1.0,0.31641101922113857,-0.18086865151878084,0.1473203474100438,-0.2713652947623379,-0.08334852148386486,0.4288837355378566,0.7793831619894415,0.5662128368991387,0.30141706029452625,1.0,0.29391497638232844,-0.23717699360933592,0.09224784662406224,-0.2395665462628508,-0.09430397332592387,0.3402611836621284
financial_score,0.2750812688254149,0.24428478812599655,-0.013363682222450251,0.31641101922113857,1.0,0.017765817606377608,0.16280508699076432,-0.04024532781163321,0.18763787920507063,0.8322845257090677,0.39855515420950266,0.2479021950541817,-0.02567379827729925,0.29391497638232844,1.0,0.025562656293414837,0.17799388719088635,-0.02100583495415393,0.0784106696304529,0.8226173937204779
market_score,-0.15178664092641905,-0.06547016340233067,-0.08426131181707618,-0.18086865151878084,0.017765817606377608,1.0,0.039811367252017976,0.6257581241528659,-0.17272042485260503,0.3916687643580123,-0.21094748541261463,-0.08491247568769103,-0.03751041956098916,-0.23717699360933592,0.025562656293414837,1.0,0.010113920533481523,0.576271186440678,-0.1280911364267852,0.3197554876354543
operational_score,0.11468173435445236,0.22996528638439284,-0.1121859796732312,0.1473203474100438,0.16280508699076432,0.039811367252017976,1.0,-0.07750358993842964,-0.21495511925169195,0.2891067581880414,0.05190330647402056,0.14976382328424562,-0.08141150319533204,0.09224784662406224,0.17799388719088635,0.010113920533481523,1.0,-0.08685746040566825,-0.36065573770491804,0.16376771325368158
risk_adjusted_score,-0.10579556068568817,-0.2431338610992496,-0.17675381388457612,-0.2713652947623379,-0.04024532781163321,0.6257581241528659,-0.07750358993842964,1.0,-0.014631342735710302,0.237624711321691,-0.06268407891080856,-0.25768268963601,-0.1647679911086413,-0.2395665462628508,-0.02100583495415393,0.576271186440678,-0.08685746040566825,1.0,-0.0765768268963601,0.2676298971936649
value_score,-0.09089595848772067,-0.07620990953051833,0.04866280316086937,-0.08334852148386486,0.18763787920507063,-0.17272042485260503,-0.21495511925169195,-0.014631342735710302,1.0,0.1293912717994573,-0.07691025284801334,-0.06424006668519033,0.03728813559322034,-0.09430397332592387,0.0784106696304529,-0.1280911364267852,-0.36065573770491804,-0.0765768268963601,1.0,0.04451236454570714
pref_balanced,0.40403376635873095,0.2864033176023889,-0.02245189606662501,0.4288837355378566,0.8322845257090677,0.3916687643580123,0.2891067581880414,0.237624711321691,0.1293912717994573,1.0,0.39872186718532926,0.26985273687135314,-0.042456237843845515,0.3402611836621284,0.8226173937204779,0.3197554876354543,0.16376771325368158,0.2676298971936649,0.04451236454570714,1.0
