ticker,company_name,sector,country,ESG_composite,financial_score,market_score,E_score,S_score,G_score,esg_rank,fin_rank,rank_diff
NVDA,NVDA,Technology,US,59.867036186360366,58.56542652804883,58.52158514866783,68.35200276486397,55.194736037904526,55.41892535130464,1,7,-6
WIPRO.NS,WIPRO.NS,Technology,India,58.90977819789852,52.56320841138678,41.69335468243037,63.96824905921811,53.84686054977314,58.9149661158386,2,19,-17
TCS.NS,TCS.NS,Technology,India,58.89928750107118,71.73667715850664,44.233112374837205,62.46046816205544,53.90471883370869,60.57157350851245,3,2,1
META,META,Communication Services,US,57.257675944020185,64.8578736781173,49.442774321628896,63.25944554828344,61.56982976658102,45.22476527939209,4,4,0
ADBE,ADBE,Technology,US,57.15186576434425,51.7598404960786,27.34565839024519,59.685508311266005,58.95809394265245,52.08868325157596,5,20,-15
MSFT,MSFT,Technology,US,57.018935496578855,60.68155229914041,31.38031609704086,59.72526436404361,57.938427784793134,52.78881081495332,6,5,1
KOTAKBANK.NS,KOTAKBANK.NS,Financial Services,India,56.47253696445252,45.29110858451055,44.049918943062345,58.18725663094376,60.22989715842793,50.08844379390808,7,45,-38
AAPL,AAPL,Technology,US,55.66927930958653,58.11307999455258,52.67543103078964,58.42324670023004,62.46365338965365,44.52954759375747,8,8,0
GOOGL,GOOGL,Communication Services,US,55.549652351045935,60.3730357116393,73.22218919158787,65.38934302655385,48.69524254726639,52.06682466736286,9,6,3
V,V,Financial Services,US,55.54276972480995,54.40014815916928,47.47348143034286,55.699162893174105,53.53193060905496,57.70628999676594,10,12,-2
SUNPHARMA.NS,SUNPHARMA.NS,Healthcare,India,54.60011607658423,50.61734612764765,45.78426904555074,52.2315397330651,59.78634226291362,51.31285792663893,11,23,-12
WFC,WFC,Financial Services,US,54.55791564191147,42.69652925615671,40.4365440612105,63.03245201030434,51.89136157650536,47.78193628842691,12,56,-44
INFY.NS,INFY.NS,Technology,India,53.80794015483204,57.52080007092789,53.0158478550794,60.095744119473295,56.32715180043003,43.533088609552905,13,9,4
AXISBANK.NS,AXISBANK.NS,Financial Services,India,53.270432946887965,46.62848783866424,47.87296192547184,53.54598567437585,52.0366264592881,54.38839566701859,14,39,-25
BAJFINANCE.NS,BAJFINANCE.NS,Financial Services,India,53.12305723444511,45.95306041508002,47.11986389722484,56.81466318953305,50.46720082374759,51.914682765989646,15,44,-29
AVGO,AVGO,Technology,US,52.77180362463578,47.70356998343117,44.48947655518177,43.107815533198746,54.57981518687816,61.93710957536286,16,31,-15
CSCO,CSCO,Technology,US,52.58247925865193,46.84809998701622,60.99745845673301,54.618497867711206,45.61852464706345,58.33173792826932,17,38,-21
TSLA,TSLA,Consumer Cyclical,US,52.25602212269639,35.850122526003545,58.3474280482796,49.92108445846473,54.67166814512519,52.16186237146638,18,60,-42
CRM,CRM,Technology,US,52.04301446121109,47.23033778148015,29.025617801024502,51.04536943754374,49.02349119939262,56.72971079427787,19,35,-16
BHARTIARTL.NS,BHARTIARTL.NS,Communication Services,India,51.95468790585241,70.18831781505558,43.4511218000366,64.41107779981407,43.628602248574914,47.135999629720885,20,3,17
TMO,TMO,Healthcare,US,51.94616392435058,45.09957836885221,50.43768751414334,52.66476414271169,48.580176533195925,55.03478229260971,21,46,-25
TITAN.NS,TITAN.NS,Consumer Cyclical,India,51.84080434234404,38.50071032527067,52.65025986722433,50.039291845206,57.87045998070879,46.90797067757956,22,59,-37
BAC,BAC,Financial Services,US,51.63318212218937,42.98706513396399,58.87673663094505,45.22687585377199,45.372501235940206,66.41133380263365,23,54,-31
PFE,PFE,Healthcare,US,51.16496535880584,53.56473248477988,56.373284976125845,54.80250917228989,58.9786297701276,37.805222429865736,24,15,9
NFLX,NFLX,Communication Services,US,51.08204470955788,48.65431267125648,50.98940880176622,48.82589111726207,59.66465389548136,43.7011798503256,25,28,-3
COST,COST,Consumer Defensive,US,50.87501822420669,42.72618247949616,58.539132356804416,52.93392824362114,51.68126171438919,47.53233912967693,26,55,-29
JPM,JPM,Financial Services,US,50.74769022773617,43.95512000386982,50.5125768917792,60.18997951876344,43.71784730207293,47.9331694681448,27,52,-25
ABBV,ABBV,Healthcare,US,50.63044462557042,47.171453614480086,55.36866841269319,54.99466206642766,46.30926850773864,50.58022974870739,28,37,-9
TXN,TXN,Technology,US,50.54764377133043,47.50718295266115,45.00310938347874,54.43416930299259,48.65067580753585,48.22649327548491,29,32,-3
HINDUNILVR.NS,HINDUNILVR.NS,Consumer Defensive,India,50.31573993228089,51.56002986646767,48.978467166082616,56.78304652074561,49.811128414399576,43.3592623499336,30,21,9
