ticker,sector,pref_esg_first,pref_balanced,pref_financial_first,rank_ESG-First,rank_Balanced,rank_Financial-First,ESG_composite,financial_score,market_score
GOOGL,Communication Services,60.81564920537821,61.41264108681656,60.92839944909015,1.0,1.0,1.0,55.549652351045935,60.3730357116393,73.22218919158787
TCS.NS,Technology,59.98183420892485,60.8060977122737,60.01738305908577,2.0,2.0,2.0,58.89928750107118,71.73667715850664,44.233112374837205
META,Communication Services,58.79828121218371,59.00482508869285,58.51142782969396,3.0,3.0,3.0,57.257675944020185,64.8578736781173,49.442774321628896
BHARTIARTL.NS,Communication Services,55.88139574447343,58.132029260154894,58.338092680240266,7.0,4.0,4.0,51.95468790585241,70.18831781505558,43.4511218000366
NVDA,Technology,58.76713191594775,57.13639254505146,55.93827880297725,4.0,5.0,8.0,59.867036186360366,58.56542652804883,58.52158514866783
JNJ,Healthcare,55.48599209839163,56.49160444107599,55.96607634324551,11.0,6.0,7.0,47.42620592855354,54.62151771297942,61.34976405821706
ITC.NS,Consumer Defensive,55.30219508598109,56.34944265601069,55.992226010891386,13.0,7.0,6.0,48.02439826049203,55.64428164867523,54.41783048518311
RELIANCE.NS,Energy,50.81151978902079,56.10177191197354,57.33954346089557,33.0,8.0,5.0,41.99993708713396,72.12976061071343,55.03295099123307
PFE,Healthcare,55.37850225784847,55.67553683070889,54.94893095200622,12.0,9.0,11.0,51.16496535880584,53.56473248477988,56.373284976125845
PM,Consumer Defensive,55.75504719002237,55.67165306267606,55.05838852310166,8.0,10.0,10.0,50.13777950799656,52.92221656935613,59.38777295079946
V,Financial Services,57.127135041796976,55.57983909647293,54.761734785568855,5.0,11.0,12.0,55.54276972480995,54.40014815916928,47.47348143034286
MSFT,Technology,55.99952292759093,55.34710619973502,54.28029621568147,6.0,12.0,14.0,57.018935496578855,60.68155229914041,31.38031609704086
SBIN.NS,Financial Services,54.52889291209124,55.323530742377805,54.75190643750995,17.0,13.0,13.0,50.20907162076963,53.86430505952168,56.69981311529819
INFY.NS,Technology,55.62020941832869,55.17737158729763,55.09475553575509,9.0,14.0,9.0,53.80794015483204,57.52080007092789,53.0158478550794
AAPL,Technology,55.560247619526045,55.06352445728135,54.24544667098626,10.0,15.0,15.0,55.66927930958653,58.11307999455258,52.67543103078964
AMZN,Consumer Cyclical,54.13058636620247,54.12977555745374,53.14384553130576,18.0,16.0,19.0,48.66535970534439,49.07489012642559,53.439858618058906
MARUTI.NS,Consumer Cyclical,52.465122432589226,53.93503874264301,53.81113388000456,22.0,17.0,16.0,45.54178565824342,52.638154401247,57.10342832735032
SUNPHARMA.NS,Healthcare,54.76543891742328,53.604302243532665,52.44624344430956,16.0,18.0,20.0,54.60011607658423,50.61734612764765,45.78426904555074
PG,Consumer Defensive,53.8966962408799,53.47817510479848,53.30669193606679,19.0,19.0,17.0,49.32094505176655,48.22791605519221,59.9051856658489
CSCO,Technology,54.78452244451304,53.4583356343106,53.23715846757448,15.0,20.0,18.0,52.58247925865193,46.84809998701622,60.99745845673301
WIPRO.NS,Technology,54.96165062951546,53.386485030683495,52.34936457718843,14.0,21.0,21.0,58.90977819789852,52.56320841138678,41.69335468243037
LT.NS,Industrials,51.04734983770496,52.32986227617628,51.7468714762557,30.0,22.0,25.0,47.10382949615398,53.39167849909421,46.523307072484
HDFCBANK.NS,Financial Services,51.47737708397845,52.32984436845466,51.90373388148595,29.0,23.0,22.0,49.72228185579695,53.98587820703472,48.38572478512402
ABBV,Healthcare,53.64988557179427,52.32103881211601,51.82392782270877,20.0,24.0,24.0,50.63044462557042,47.171453614480086,55.36866841269319
HINDUNILVR.NS,Consumer Defensive,52.37532350131153,52.27136262422383,51.84508337996794,23.0,25.0,23.0,50.31573993228089,51.56002986646767,48.978467166082616
COST,Consumer Defensive,53.06835577503986,51.41626546259326,50.99060989561743,21.0,26.0,28.0,50.87501822420669,42.72618247949616,58.539132356804416
LIN,Basic Materials,49.95622686164824,51.26875023866799,51.73626604561693,43.0,27.0,26.0,38.46842712098534,47.25743248204313,57.13696653017638
NFLX,Communication Services,52.29363565835058,51.21518034817997,51.118594108487926,25.0,28.0,27.0,51.08204470955788,48.65431267125648,50.98940880176622
BAJFINANCE.NS,Financial Services,52.37213748613039,51.00807282780072,50.45671829561523,24.0,29.0,30.0,53.12305723444511,45.95306041508002,47.11986389722484
ICICIBANK.NS,Financial Services,50.77002499542397,50.93098414475746,50.29765946176264,34.0,30.0,32.0,49.858308785613126,50.59801184755528,46.77779374130348
XOM,Energy,49.73549376429723,50.62279780910696,50.44777049636932,46.0,31.0,31.0,46.64133434099944,47.177940134028745,61.88869012949555
NEE,Utilities,50.76944423431195,50.438831563073535,50.07192896825949,35.0,32.0,34.0,46.58106073263807,46.56709315931946,45.15318036714049
ULTRACEMCO.NS,Basic Materials,48.92818446823638,50.33342075524367,50.59412193098494,51.0,33.0,29.0,46.4378773517287,49.1934966104998,55.516486466693536
WMT,Consumer Defensive,51.043648282205694,50.28250476054131,49.76855053004175,31.0,34.0,39.0,48.97362243702784,44.04985951266031,60.29225849641773
TMO,Healthcare,51.90388665214881,50.17824868890639,49.848936968020325,26.0,35.0,38.0,51.94616392435058,45.09957836885221,50.43768751414334
VZ,Communication Services,49.748837013255006,50.12939865736061,50.09608326477531,45.0,36.0,33.0,44.42203751754632,46.18394388281675,50.845416330783344
KOTAKBANK.NS,Financial Services,51.83453211772813,49.87859969339288,48.845996837124666,27.0,37.0,44.0,56.47253696445252,45.29110858451055,44.049918943062345
DHR,Healthcare,50.13918811106316,49.829673129338936,49.62846854916339,40.0,38.0,40.0,44.65077767617383,44.80831682193902,58.1253525986272
BAC,Financial Services,50.643136653526895,49.66677999211228,49.10117163870721,36.0,39.0,42.0,51.63318212218937,42.98706513396399,58.87673663094505
