ticker,sector,rank_ESG-First,rank_Balanced,rank_Financial-First,rank_diff_ESG_vs_Fin,rank_diff_ESG_vs_Bal,rank_diff_Bal_vs_Fin,max_rank_swing,ESG_composite,financial_score
RELIANCE.NS,Energy,33.0,8.0,5.0,28.0,25.0,3.0,28.0,41.99993708713396,72.12976061071343
ULTRACEMCO.NS,Basic Materials,51.0,33.0,29.0,22.0,18.0,4.0,22.0,46.4378773517287,49.1934966104998
TSLA,Consumer Cyclical,37.0,55.0,56.0,19.0,18.0,1.0,19.0,52.25602212269639,35.850122526003545
CVX,Energy,55.0,47.0,36.0,19.0,8.0,11.0,19.0,43.29746810373573,48.9523630659217
ASIANPAINT.NS,Basic Materials,54.0,44.0,35.0,19.0,10.0,9.0,19.0,39.5388066729437,44.83521758097338
LIN,Basic Materials,43.0,27.0,26.0,17.0,16.0,1.0,17.0,38.46842712098534,47.25743248204313
ADBE,Technology,28.0,45.0,45.0,17.0,17.0,0.0,17.0,57.15186576434425,51.7598404960786
KOTAKBANK.NS,Financial Services,27.0,37.0,44.0,17.0,10.0,7.0,17.0,56.47253696445252,45.29110858451055
XOM,Energy,46.0,31.0,31.0,15.0,15.0,0.0,15.0,46.64133434099944,47.177940134028745
AVGO,Technology,32.0,42.0,47.0,15.0,10.0,5.0,15.0,52.77180362463578,47.70356998343117
WFC,Financial Services,38.0,50.0,52.0,14.0,12.0,2.0,14.0,54.55791564191147,42.69652925615671
TMO,Healthcare,26.0,35.0,38.0,12.0,9.0,3.0,12.0,51.94616392435058,45.09957836885221
VZ,Communication Services,45.0,36.0,33.0,12.0,9.0,3.0,12.0,44.42203751754632,46.18394388281675
AXISBANK.NS,Financial Services,39.0,46.0,49.0,10.0,7.0,3.0,10.0,53.270432946887965,46.62848783866424
ACN,Technology,47.0,40.0,37.0,10.0,7.0,3.0,10.0,46.71385112961024,47.71131638834347
MSFT,Technology,6.0,12.0,14.0,8.0,6.0,2.0,8.0,57.018935496578855,60.68155229914041
LT.NS,Industrials,30.0,22.0,25.0,5.0,8.0,3.0,8.0,47.10382949615398,53.39167849909421
TITAN.NS,Consumer Cyclical,49.0,56.0,57.0,8.0,7.0,1.0,8.0,51.84080434234404,38.50071032527067
WMT,Consumer Defensive,31.0,34.0,39.0,8.0,3.0,5.0,8.0,48.97362243702784,44.04985951266031
TXN,Technology,41.0,49.0,48.0,7.0,8.0,1.0,8.0,50.54764377133043,47.50718295266115
CMCSA,Communication Services,53.0,48.0,46.0,7.0,5.0,2.0,7.0,46.13964050276128,47.40165522779081
HDFCBANK.NS,Financial Services,29.0,23.0,22.0,7.0,6.0,1.0,7.0,49.72228185579695,53.98587820703472
WIPRO.NS,Technology,14.0,21.0,21.0,7.0,7.0,0.0,7.0,58.90977819789852,52.56320841138678
COST,Consumer Defensive,21.0,26.0,28.0,7.0,5.0,2.0,7.0,50.87501822420669,42.72618247949616
V,Financial Services,5.0,11.0,12.0,7.0,6.0,1.0,7.0,55.54276972480995,54.40014815916928
ITC.NS,Consumer Defensive,13.0,7.0,6.0,7.0,6.0,1.0,7.0,48.02439826049203,55.64428164867523
BAC,Financial Services,36.0,39.0,42.0,6.0,3.0,3.0,6.0,51.63318212218937,42.98706513396399
CRM,Technology,48.0,52.0,54.0,6.0,4.0,2.0,6.0,52.04301446121109,47.23033778148015
BAJFINANCE.NS,Financial Services,24.0,29.0,30.0,6.0,5.0,1.0,6.0,53.12305723444511,45.95306041508002
MARUTI.NS,Consumer Cyclical,22.0,17.0,16.0,6.0,5.0,1.0,6.0,45.54178565824342,52.638154401247
AAPL,Technology,10.0,15.0,15.0,5.0,5.0,0.0,5.0,55.66927930958653,58.11307999455258
RTX,Industrials,56.0,53.0,51.0,5.0,3.0,2.0,5.0,39.875059374577845,43.512324969355134
INFY.NS,Technology,9.0,14.0,9.0,0.0,5.0,5.0,5.0,53.80794015483204,57.52080007092789
JNJ,Healthcare,11.0,6.0,7.0,4.0,5.0,1.0,5.0,47.42620592855354,54.62151771297942
CSCO,Technology,15.0,20.0,18.0,3.0,5.0,2.0,5.0,52.58247925865193,46.84809998701622
ABBV,Healthcare,20.0,24.0,24.0,4.0,4.0,0.0,4.0,50.63044462557042,47.171453614480086
SUNPHARMA.NS,Healthcare,16.0,18.0,20.0,4.0,2.0,2.0,4.0,54.60011607658423,50.61734612764765
NESTLEIND.NS,Consumer Defensive,50.0,54.0,53.0,3.0,4.0,1.0,4.0,47.99405763821885,40.4639508446126
