Factor,N,Mean,Std,Min,Q1,Median,Q3,Max,Range,CV(%),Skewness,Kurtosis
E_score,60,50.0,10.421469364544004,22.355349409008017,43.56257131432536,51.87190917542889,57.15781154988573,68.35200276486397,45.996653355855955,20.842938729088008,-0.6996635094640857,0.05098238551230461
S_score,60,50.0,6.6815511062488815,33.74297374180639,44.491723474412694,50.11193474641074,54.80243511832002,62.46365338965365,28.720679647847263,13.363102212497763,-0.10865421005816604,-0.72901487236228
G_score,60,50.00000000000001,7.013106411516096,36.34703987221761,45.79915316991773,49.420278545193554,54.54286167569334,66.41133380263365,30.064293930416042,14.026212823032191,0.18704943215243286,-0.36086671334375264
ESG_composite,60,50.0,4.887683859501959,38.46842712098534,47.00633490451804,50.262405776525256,52.85961702708811,59.867036186360366,21.398609065375027,9.775367719003919,-0.2109154870179378,-0.2167816448907205
financial_score,60,50.02731145258953,7.397400890359037,35.850122526003545,45.24322603059596,47.70744318588732,53.43494199551563,72.12976061071343,36.27963808470989,14.786724842028526,1.186988290756016,1.6204662717194935
market_score,60,50.0,9.512004806118103,22.782844192195437,45.115662621225056,50.68541662609439,57.11181287805684,73.22218919158787,50.43934499939243,19.024009612236206,-0.7334928453461127,0.8525660065266303
operational_score,60,49.895857534353446,4.215382186712443,42.60591254852849,46.89242896786914,49.72405372649761,51.41485482119125,61.6356068432418,19.029694294713316,8.448361036404956,0.6026892799188024,0.09355923047080372
risk_adjusted_score,60,50.109953157149334,6.682963031969781,36.53925087068873,45.66210067309416,50.2861559019596,54.831309060745454,63.60171857372427,27.062467703035537,13.336598042730962,-0.025337354495150857,-0.477248216403404
value_score,60,50.251660801904535,7.329465014329371,25.869807785958308,48.29395191423646,52.01703983624009,55.21799267222746,60.69048886831095,34.82068108235264,14.58551796570987,-1.5171863857210623,1.9826750839477976
pref_balanced,60,51.59748716923938,3.8624430496724034,43.84693091743608,49.155411499555676,50.77689097693221,54.36321278241064,61.41264108681656,17.56571016938048,7.48571928901037,0.44424775617811274,-0.2227878540709054
