sector,E_score,S_score,G_score,profitability_score,growth_score,efficiency_score,stability_score,valuation_score,market_score,financial_score,mean_cv
Basic Materials,0.218,0.2873,0.1953,0.803,0.1145,0.7554,0.0478,2.1756,0.0344,0.0464,0.46776999999999996
Communication Services,0.1957,0.1386,0.0777,2.4217,0.1625,2.4465,0.1239,1.3436,0.2005,0.183,0.72937
Consumer Cyclical,0.2007,0.1272,0.1218,1.2149,0.1266,0.0,0.2807,1.45,0.1652,0.1442,0.38313
Consumer Defensive,0.0845,0.0799,0.0563,3.4861,0.0975,0.0,0.0555,3.9655,0.0753,0.1191,0.8019700000000001
Energy,0.1685,0.2112,0.1452,0.0852,0.1202,0.0,0.0195,0.1019,0.0599,0.2482,0.11598000000000001
Financial Services,0.0886,0.1093,0.1552,12.5123,0.0995,0.0,0.1979,2.4331,0.1068,0.0946,1.57973
Healthcare,0.0913,0.144,0.149,1.9564,0.109,3.2199,0.0511,3.8165,0.3005,0.0832,0.9920899999999999
Industrials,0.0232,0.0843,0.2213,0.0902,0.1838,0.0,0.0824,0.7383,0.0312,0.1442,0.15989
Technology,0.1139,0.0954,0.1498,1.1848,0.1668,12.3117,0.0979,5.8012,0.2483,0.1407,2.03105
Utilities,,,,,,,,,,,
