sector,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,overall_avg
Communication Services,50.6754,54.8769,51.103,51.5024,51.8858,53.123,52.19441666666666
Energy,43.9796,56.0867,58.954,48.4283,49.3996,55.0326,51.980133333333335
Consumer Defensive,49.3774,47.9421,56.4347,48.9656,54.742,47.337,50.7998
Basic Materials,41.4817,47.0954,57.3641,49.7414,60.4802,47.9555,50.68638333333333
Utilities,46.5811,46.5671,45.1532,54.9685,54.706,53.9326,50.318083333333334
Technology,54.6652,53.9951,45.0304,50.504,47.3137,48.8009,50.05155
Financial Services,52.1483,48.303,48.7012,47.2767,50.6304,53.2158,50.045899999999996
Healthcare,49.5617,48.3671,47.3726,52.9053,47.0263,52.1722,49.56753333333333
Industrials,43.4894,48.452,45.5201,50.8921,46.8045,51.2705,47.738099999999996
Consumer Cyclical,47.2633,43.7796,51.1716,48.3132,46.89,43.0132,46.73848333333333
