Profile,Sector,Count,Weight_Pct
ESG-First,Technology,7.0,35.0
ESG-First,Healthcare,4.0,20.0
ESG-First,Communication Services,3.0,15.0
ESG-First,Consumer Defensive,3.0,15.0
ESG-First,Financial Services,2.0,10.0
ESG-First,Consumer Cyclical,1.0,5.0
ESG-First,_HHI,0.22,4.55
Balanced,Technology,6.0,30.0
Balanced,Communication Services,3.0,15.0
Balanced,Healthcare,3.0,15.0
Balanced,Consumer Defensive,3.0,15.0
Balanced,Financial Services,2.0,10.0
Balanced,Consumer Cyclical,2.0,10.0
Balanced,Energy,1.0,5.0
Balanced,_HHI,0.18,5.56
Financial-First,Technology,6.0,30.0
Financial-First,Communication Services,3.0,15.0
Financial-First,Consumer Defensive,3.0,15.0
Financial-First,Healthcare,3.0,15.0
Financial-First,Financial Services,2.0,10.0
Financial-First,Consumer Cyclical,2.0,10.0
Financial-First,Energy,1.0,5.0
Financial-First,_HHI,0.18,5.56
