sector,n,pearson_r,pearson_p,spearman_r,spearman_p,esg_mean,fin_mean,direction,sig_005
Communication Services,7,0.7639,0.0456,0.8571,0.0137,50.68,54.88,Positive,Yes
Basic Materials,3,0.7571,0.4532,0.5,0.6667,41.48,47.1,Positive,No
Technology,12,0.683,0.0144,0.7273,0.0074,54.67,54.0,Positive,Yes
Healthcare,8,0.2492,0.5518,0.2857,0.4927,49.56,48.37,Positive,No
Consumer Defensive,7,0.022,0.9626,0.0714,0.879,49.38,47.94,Positive,No
Financial Services,11,-0.3403,0.3058,-0.3455,0.2981,52.15,48.3,Negative,No
Consumer Cyclical,6,-0.5,0.3125,-0.5429,0.2657,47.26,43.78,Negative,No
Energy,3,-0.759,0.4514,-1.0,0.0,43.98,56.09,Negative,No
Industrials,2,,,,,43.49,48.45,N/A (n<3),N/A
Utilities,1,,,,,46.58,46.57,N/A (n<3),N/A
