sector,E_score,S_score,G_score,profitability_score,growth_score,efficiency_score,stability_score,valuation_score,market_score,financial_score
Basic Materials,31.8312,44.192,49.5786,-0.3047,48.6309,-0.1043,55.8853,-0.2045,57.3641,47.0954
Communication Services,53.4813,51.5227,46.4132,0.2393,52.4329,0.4636,51.2886,0.3123,51.103,54.8769
Consumer Cyclical,46.1496,48.58,47.0263,-0.3883,48.1268,-0.1498,47.9006,-0.7872,51.1716,43.7796
Consumer Defensive,49.6959,50.0098,48.268,-0.1091,49.3214,-0.1498,57.0398,-0.2983,56.4347,47.9421
Energy,27.5917,50.0808,55.9807,-0.5104,54.9681,-0.1498,57.4537,0.5033,58.954,56.0867
Financial Services,55.9551,49.1445,51.2114,-0.0709,51.5075,-0.1498,34.2769,0.3012,48.7012,48.303
Healthcare,50.3601,49.0163,49.2665,-0.2066,46.758,0.2029,54.6072,0.1508,47.3726,48.3671
Industrials,37.2418,40.2758,54.5277,-0.6572,50.6104,-0.1498,50.6677,0.1271,45.5201,48.452
Technology,57.5908,53.6372,52.4515,0.635,49.8168,0.0291,54.5739,-0.1199,45.0304,53.9951
Utilities,38.6335,58.0561,42.4657,-0.0087,42.0287,-0.1498,44.1545,0.3933,45.1532,46.5671
