sector,n_companies,mean_ESG,mean_Financial,mean_Value,n_esg_opp,n_fin_opp,n_dual_opp
Energy,3,43.9796,56.0867,55.0326,0,0,0
Utilities,1,46.5811,46.5671,53.9326,0,0,0
Financial Services,11,52.1483,48.303,53.2158,5,3,0
Communication Services,7,50.6754,54.8769,53.123,0,0,0
Healthcare,8,49.5617,48.3671,52.1722,2,2,1
Industrials,2,43.4894,48.452,51.2705,0,1,0
Technology,12,54.6652,53.9951,48.8009,7,6,5
Basic Materials,3,41.4817,47.0954,47.9555,0,1,0
Consumer Defensive,7,49.3774,47.9421,47.337,0,3,0
Consumer Cyclical,6,47.2633,43.7796,43.0132,0,2,0
