sector,E_score,S_score,G_score,profitability_score,growth_score,efficiency_score,stability_score,valuation_score,market_score,financial_score,mean_dispersion
Communication Services,10.4666,7.1433,3.6086,0.5795,8.5188,1.1342,6.3522,0.4196,10.2478,10.0413,5.851190000000001
Consumer Cyclical,9.261,6.1799,5.7284,0.4718,6.0947,0.0,13.448,1.1414,8.4515,6.3133,5.708999999999999
Technology,6.5598,5.1172,7.8574,0.7523,8.3115,0.3586,5.3412,0.6956,11.1796,7.5966,5.3769800000000005
Energy,4.6484,10.5771,8.1285,0.0435,6.6052,0.0,1.1184,0.0513,3.5327,13.922,4.86271
Healthcare,4.5996,7.0572,7.3396,0.4042,5.0956,0.6533,2.7896,0.5757,14.2376,4.0242,4.67766
Basic Materials,6.9393,12.6966,9.6809,0.2447,5.5689,0.0788,2.6699,0.4448,1.971,2.1837,4.24786
Financial Services,4.9578,5.3718,7.947,0.8868,5.1259,0.0,6.7834,0.7329,5.2025,4.5693,4.1577399999999995
Industrials,0.8646,3.3953,12.0685,0.0593,9.301,0.0,4.1737,0.0938,1.4187,6.9858,3.8360700000000003
Consumer Defensive,4.1973,3.9958,2.719,0.3802,4.8093,0.0,3.1674,1.1829,4.247,5.7093,3.04082
Utilities,,,,,,,,,,,
