Rank,ticker,company_name,sector,E_score,S_score,G_score,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,pref_balanced,Category
1,GOOGL,GOOGL,Communication Services,65.38934302655385,48.69524254726639,52.06682466736286,55.549652351045935,60.3730357116393,73.22218919158787,56.6627417752868,57.62004625911791,49.31262972430896,61.41264108681656,Top 10
2,TCS.NS,TCS.NS,Technology,62.46046816205544,53.90471883370869,60.57157350851245,58.89928750107118,71.73667715850664,44.233112374837205,44.45139874695829,44.34821517124018,51.48503785509156,60.8060977122737,Top 10
3,META,META,Communication Services,63.25944554828344,61.56982976658102,45.22476527939209,57.257675944020185,64.8578736781173,49.442774321628896,57.63527563505952,48.62542913885948,51.14515800670176,59.00482508869285,Top 10
4,BHARTIARTL.NS,BHARTIARTL.NS,Communication Services,64.41107779981407,43.628602248574914,47.135999629720885,51.95468790585241,70.18831781505558,43.4511218000366,51.2687829008967,51.09569627997831,50.2746352467279,58.132029260154894,Top 10
5,NVDA,NVDA,Technology,68.35200276486397,55.194736037904526,55.41892535130464,59.867036186360366,58.56542652804883,58.52158514866783,53.36858572032291,45.34500250533969,35.72100679768831,57.13639254505146,Top 10
6,JNJ,JNJ,Healthcare,51.28655462064878,45.34653059959941,45.34875367155559,47.42620592855354,54.62151771297942,61.34976405821706,57.78977780096978,50.25955428069579,53.5652055684555,56.49160444107599,Top 10
7,ITC.NS,ITC.NS,Consumer Defensive,48.92600903116901,44.02782382053844,51.63518920798142,48.02439826049203,55.64428164867523,54.41783048518311,49.58257222174298,54.83698655930744,54.45048375089792,56.34944265601069,Top 10
8,RELIANCE.NS,RELIANCE.NS,Energy,22.355349409008017,56.951439757999054,47.47520292893827,41.99993708713396,72.12976061071343,55.03295099123307,45.19763093793297,49.861823500676046,54.99370317430446,56.10177191197354,Top 10
9,PFE,PFE,Healthcare,54.80250917228989,58.9786297701276,37.805222429865736,51.16496535880584,53.56473248477988,56.373284976125845,61.6356068432418,46.691389383708994,56.89385296257501,55.67553683070889,Top 10
10,PM,PM,Consumer Defensive,48.12639303319797,54.29104354821353,47.6389223483418,50.13777950799656,52.92221656935613,59.38777295079946,49.388738304127855,52.21558407262541,60.69048886831095,55.67165306267606,Top 10
51,NKE,NKE,Consumer Cyclical,38.847964915180754,46.70649444809796,45.94928633603845,43.72884667795908,42.41627846484064,34.96317480520925,43.14262486295196,39.79023834755993,50.49984447554115,43.84693091743608,Bottom 10
52,UNH,UNH,Healthcare,47.20069551208244,39.395836067914125,61.77848613897513,48.84233189469133,44.73293062071186,28.759133201505023,45.9543552867078,36.53925087068873,56.63222051646862,45.26856067414166,Bottom 10
53,HD,HD,Consumer Cyclical,30.964194757040183,43.17625260918561,51.99215437471005,41.54680289059205,44.1977116813256,50.52541692140543,50.21960093069246,50.96122659769447,42.75451536856848,45.38519284472266,Bottom 10
54,ABT,ABT,Healthcare,48.49044198540996,44.56386837241271,48.87832481573159,47.23250606995741,46.32111371010331,22.782844192195437,50.58297453094036,37.22600273987423,53.10508565885243,45.5597864523496,Bottom 10
55,TITAN.NS,TITAN.NS,Consumer Cyclical,50.039291845206,57.87045998070879,46.90797067757956,51.84080434234404,38.50071032527067,52.65025986722433,50.44139250768071,44.98648307498868,30.964725839318117,46.818592461774166,Bottom 10
56,TSLA,TSLA,Consumer Cyclical,49.92108445846473,54.67166814512519,52.16186237146638,52.25602212269639,35.850122526003545,58.3474280482796,50.20918052071944,39.84050896419775,30.775391984483814,47.31812316567886,Bottom 10
57,NESTLEIND.NS,NESTLEIND.NS,Consumer Defensive,48.916926442759205,45.52464468360145,49.79835914664206,47.99405763821885,40.4639508446126,53.52207892624902,51.40747289403382,54.96289610392163,25.869807785958308,47.4839358084087,Bottom 10
58,RTX,RTX,Industrials,36.63040641302405,37.87492511521434,45.99397779898136,39.875059374577845,43.512324969355134,44.516951948684735,51.43700060266352,48.55990146278716,50.60724109722391,47.498881427524296,Bottom 10
59,CRM,CRM,Technology,51.04536943754374,49.02349119939262,56.72971079427787,52.04301446121109,47.23033778148015,29.025617801024502,53.4838668351174,41.71096187971109,53.53715732619524,47.66074909909508,Bottom 10
60,JPM,JPM,Financial Services,60.18997951876344,43.71784730207293,47.9331694681448,50.74769022773617,43.95512000386982,50.5125768917792,44.437708342775046,51.90850302185629,56.59561634376609,47.88311648741076,Bottom 10
