ticker,profile1,profile2,rank_pref_esg_first,rank_pref_balanced,rank_change,abs_change,rank_pref_financial_first
FMC,pref_esg_first,pref_financial_first,62.0,,-182,182,244.0
WSC,pref_esg_first,pref_financial_first,48.0,,-174,174,222.0
FIX,pref_esg_first,pref_financial_first,229.0,,152,152,77.0
CROX,pref_esg_first,pref_financial_first,72.0,,-142,142,214.0
AVA,pref_esg_first,pref_financial_first,44.0,,-141,141,185.0
CLF,pref_esg_first,pref_financial_first,67.0,,-130,130,197.0
KRC,pref_esg_first,pref_financial_first,45.0,,-128,128,173.0
FMC,pref_esg_first,pref_balanced,62.0,188.0,-126,126,
GFF,pref_esg_first,pref_financial_first,60.0,,-123,123,183.0
NGVT,pref_esg_first,pref_financial_first,52.0,,-123,123,175.0
DOCN,pref_esg_first,pref_financial_first,215.0,,121,121,94.0
WSC,pref_esg_first,pref_balanced,48.0,151.0,-103,103,
KMX,pref_esg_first,pref_balanced,149.0,244.0,-95,95,
CROX,pref_esg_first,pref_balanced,72.0,162.0,-90,90,
FLO,pref_esg_first,pref_balanced,93.0,178.0,-85,85,
AVA,pref_esg_first,pref_balanced,44.0,125.0,-81,81,
FIX,pref_balanced,pref_financial_first,,153.0,76,76,77.0
SJM,pref_esg_first,pref_balanced,97.0,173.0,-76,76,
FIX,pref_esg_first,pref_balanced,229.0,153.0,76,76,
ESAB,pref_esg_first,pref_balanced,161.0,236.0,-75,75,
CLF,pref_esg_first,pref_balanced,67.0,142.0,-75,75,
WSC,pref_balanced,pref_financial_first,,151.0,-71,71,222.0
TRENT.NS,pref_balanced,pref_financial_first,,100.0,-68,68,168.0
AVA,pref_balanced,pref_financial_first,,125.0,-60,60,185.0
UPL.NS,pref_balanced,pref_financial_first,,79.0,-60,60,139.0
LPLA,pref_balanced,pref_financial_first,,103.0,-59,59,162.0
NGVT,pref_balanced,pref_financial_first,,116.0,-59,59,175.0
DOCN,pref_balanced,pref_financial_first,,152.0,58,58,94.0
FMC,pref_balanced,pref_financial_first,,188.0,-56,56,244.0
CLF,pref_balanced,pref_financial_first,,142.0,-55,55,197.0
