ticker,original_rank,bootstrap_mean_rank,bootstrap_std_rank,ci_lower_5,ci_upper_95,p_top_n,ci_width_sampling,ci_width_weights,ci_width,consensus_rank,rank_std,ci_lower,ci_upper,rank_stable,rank_stable_relaxed,rank_stable_strict,rank_stable_moderate
CTRA,1.0,1.509,0.5098225181374398,1.0,2.0,1.0,1.0,1.0,1.0,1.509,0.5098225181374398,1.0,2.0,True,True,True,True
INCY,2.0,1.518,0.5492503982702243,1.0,2.0,1.0,1.0,1.0,1.0,1.518,0.5492503982702243,1.0,2.0,True,True,True,True
GGG,3.0,3.723,1.0021332246762402,3.0,6.0,1.0,1.0,3.0,3.0,3.723,1.0021332246762402,3.0,6.0,True,True,True,True
DECK,4.0,5.644,2.1930034199699735,3.0,11.0,1.0,3.0,7.024999999999977,8.0,5.644,2.1930034199699735,3.0,11.0,True,True,True,True
STLD,5.0,5.612,2.0058554284893013,3.0,10.0,1.0,3.0,7.0,7.0,5.612,2.0058554284893013,3.0,10.0,True,True,True,True
NAVINFLUOR.NS,6.0,5.071,1.6388895630883735,3.0,8.0,0.999,3.0,5.0,5.0,5.071,1.6388895630883735,3.0,8.0,True,True,True,True
STAG,7.0,5.892,1.0140690311808165,4.0,8.0,1.0,3.0,3.0,4.0,5.892,1.0140690311808165,4.0,8.0,True,True,True,True
NNN,8.0,11.547,5.110361141837238,6.0,27.0,0.927,3.0,20.0,21.0,11.547,5.110361141837238,6.0,27.0,False,True,True,True
EWBC,9.0,10.77,3.6765608930085736,6.0,21.0,0.961,3.0,13.0,15.0,10.77,3.6765608930085736,6.0,21.0,True,True,True,True
PIDILITIND.NS,10.0,9.736,2.347403672145036,6.0,16.0,0.998,3.0,9.0,10.0,9.736,2.347403672145036,6.0,16.0,True,True,True,True
MUTHOOTFIN.NS,11.0,11.14,3.0070583632513683,7.0,19.0,0.986,3.0,10.0,12.0,11.14,3.0070583632513683,7.0,19.0,True,True,True,True
MTCH,12.0,17.384,5.644337339316282,9.0,30.0,0.681,8.0,20.0,21.0,17.384,5.644337339316282,9.0,30.0,False,True,True,True
CDNS,13.0,14.841,4.246377161769783,9.0,25.0,0.867,5.0,16.024999999999977,16.0,14.841,4.246377161769783,9.0,25.0,True,True,True,True
IBKR,14.0,16.023,6.414239705530188,8.0,31.0,0.762,5.0,23.0,23.0,16.023,6.414239705530188,8.0,31.0,False,True,True,True
ITT,15.0,15.933,3.744130206069228,10.0,25.0,0.842,6.0,13.0,15.0,15.933,3.744130206069228,10.0,25.0,True,True,True,True
VEEV,16.0,16.825,5.92337530467216,9.0,31.0,0.733,7.0,21.0,22.0,16.825,5.92337530467216,9.0,31.0,False,True,True,True
RPM,17.0,19.735,4.798205393686269,11.0,29.0,0.523,9.0,17.0,18.0,19.735,4.798205393686269,11.0,29.0,True,True,True,True
INVH,18.0,22.359,7.640688385217657,11.0,39.0,0.422,8.0,26.024999999999977,28.0,22.359,7.640688385217657,11.0,39.0,False,True,True,True
ATO,19.0,18.548,7.173820181744173,9.0,34.0,0.598,9.0,25.0,25.0,18.548,7.173820181744173,9.0,34.0,False,True,True,True
ILMN,20.0,18.997,6.204110814613162,11.0,33.0,0.616,7.0,22.0,22.0,18.997,6.204110814613162,11.0,33.0,False,True,True,True
MARICO.NS,21.0,23.113,6.306205753065785,12.0,37.02499999999998,0.289,8.0,24.0,25.024999999999977,23.113,6.306205753065785,12.0,37.02499999999998,False,True,True,True
WEC,22.0,24.748,6.187123402680764,15.0,38.0,0.2,9.0,23.0,23.0,24.748,6.187123402680764,15.0,38.0,False,True,True,True
WSM,23.0,22.586,5.5278028184804135,14.0,35.0,0.318,8.0,21.0,21.0,22.586,5.5278028184804135,14.0,35.0,False,True,True,True
WTS,24.0,21.102,5.050108513685622,11.975000000000001,32.0,0.384,9.0,19.0,20.025,21.102,5.050108513685622,11.975000000000001,32.0,False,True,True,True
CMS,25.0,27.813,5.764722976865411,17.0,40.0,0.069,8.0,21.0,23.0,27.813,5.764722976865411,17.0,40.0,False,True,True,True
GRMN,26.0,23.332,6.062489257722441,13.0,36.0,0.29,10.0,20.0,23.0,23.332,6.062489257722441,13.0,36.0,False,True,True,True
TORNTPHARM.NS,27.0,29.257,7.084980663346936,17.0,45.0,0.092,8.0,26.024999999999977,28.0,29.257,7.084980663346936,17.0,45.0,False,True,True,True
WBS,28.0,24.803,3.6894702871821585,18.0,32.0,0.087,9.0,11.0,14.0,24.803,3.6894702871821585,18.0,32.0,True,True,True,True
EMAMILTD.NS,29.0,30.239,5.45782731496701,19.0,40.0,0.036,7.0,20.0,21.0,30.239,5.45782731496701,19.0,40.0,False,True,True,True
HOLX,30.0,27.91,6.281074748798966,17.0,43.0,0.072,7.0,25.0,26.0,27.91,6.281074748798966,17.0,43.0,False,True,True,True
YETI,31.0,28.985,6.021027736192551,17.975,41.0,0.068,8.0,22.0,23.025,28.985,6.021027736192551,17.975,41.0,False,True,True,True
SCHAEFFLER.NS,32.0,30.467,9.621169939253749,14.0,52.02499999999998,0.145,9.0,38.0,38.02499999999998,30.467,9.621169939253749,14.0,52.02499999999998,False,True,True,True
ALLE,33.0,31.095,3.9509460892297685,22.0,38.0,0.002,6.0,14.0,16.0,31.095,3.9509460892297685,22.0,38.0,True,True,True,True
TROW,34.0,35.624,8.49933079718633,20.0,55.0,0.02,5.0,33.02499999999998,35.0,35.624,8.49933079718633,20.0,55.0,False,True,True,True
AIAENG.NS,35.0,35.757,7.2131789801723345,24.0,53.0,0.003,4.0,29.0,29.0,35.757,7.2131789801723345,24.0,53.0,False,True,True,True
FTNT,36.0,38.788,6.236590093953587,28.0,53.0,0.0,5.0,23.049999999999976,25.0,38.788,6.236590093953587,28.0,53.0,False,True,True,True
MTDR,37.0,43.672,10.012413095752692,26.0,67.0,0.0,12.0,37.02499999999998,41.0,43.672,10.012413095752692,26.0,67.0,False,True,True,True
DXCM,38.0,42.771,12.36780332152804,23.0,72.0,0.008,9.0,49.02499999999998,49.0,42.771,12.36780332152804,23.0,72.0,False,True,True,True
RRC,39.0,40.82,7.40226992212524,27.0,56.0,0.0,8.0,27.0,29.0,40.82,7.40226992212524,27.0,56.0,False,True,True,True
LULU,40.0,44.044,11.894455178779733,26.0,75.0,0.0,9.0,46.0,49.0,44.044,11.894455178779733,26.0,75.0,False,True,True,True
WING,41.0,46.05,9.491759583975988,32.0,69.0,0.0,13.0,35.0,37.0,46.05,9.491759583975988,32.0,69.0,False,True,True,True
CBT,42.0,43.103,6.516931102904189,32.0,58.0,0.0,9.0,24.0,26.0,43.103,6.516931102904189,32.0,58.0,False,True,True,True
PAGEIND.NS,43.0,46.693,10.443502812753966,31.975,70.0,0.0,12.0,38.0,38.025,46.693,10.443502812753966,31.975,70.0,False,True,True,True
LAMR,44.0,48.825,10.670256557365432,31.0,70.0,0.0,15.0,37.0,39.0,48.825,10.670256557365432,31.0,70.0,False,True,True,True
MWA,45.0,49.001,7.868735540097913,35.0,65.0,0.0,11.0,28.025,30.0,49.001,7.868735540097913,35.0,65.0,False,True,True,True
OVV,46.0,53.628,9.650161449426637,37.0,75.02499999999998,0.0,14.0,34.02499999999998,38.02499999999998,53.628,9.650161449426637,37.0,75.02499999999998,False,True,True,True
FIVE,47.0,44.799,8.063535142851427,31.0,63.0,0.0,11.0,28.0,32.0,44.799,8.063535142851427,31.0,63.0,False,True,True,True
PERSISTENT.NS,48.0,50.271,11.899393219824278,31.0,72.0,0.0,16.024999999999977,41.025,41.0,50.271,11.899393219824278,31.0,72.0,False,True,True,True
QLYS,49.0,49.158,8.073353454420287,35.975,66.0,0.0,15.0,30.0,30.025,49.158,8.073353454420287,35.975,66.0,False,True,True,True
GMED,50.0,50.109,11.026201476483187,30.0,73.0,0.002,15.0,40.0,43.0,50.109,11.026201476483187,30.0,73.0,False,True,True,True
CANFINHOME.NS,51.0,50.945,11.60301577177244,31.0,73.0,0.0,15.0,42.0,42.0,50.945,11.60301577177244,31.0,73.0,False,True,True,True
DTE,52.0,56.506,13.244167168984237,34.975,84.0,0.0,16.0,49.0,49.025,56.506,13.244167168984237,34.975,84.0,False,True,True,True
IPAR,53.0,54.344,11.52491492376408,37.0,83.0,0.0,14.0,45.0,46.0,54.344,11.52491492376408,37.0,83.0,False,True,True,True
BMRN,54.0,56.395,10.796155565755804,39.0,82.02499999999998,0.0,14.0,41.0,43.02499999999998,56.395,10.796155565755804,39.0,82.02499999999998,False,True,True,True
GODREJCP.NS,55.0,53.684,9.689899070681799,38.0,74.0,0.0,15.0,34.0,36.0,53.684,9.689899070681799,38.0,74.0,False,True,True,True
COLPAL.NS,56.0,57.055,12.07691910215515,39.0,87.02499999999998,0.0,15.0,47.0,48.02499999999998,57.055,12.07691910215515,39.0,87.02499999999998,False,True,True,True
EME,57.0,57.777,10.192706755322652,39.0,79.0,0.0,14.0,39.0,40.0,57.777,10.192706755322652,39.0,79.0,False,True,True,True
CUBE,58.0,58.37,12.953111595288602,38.0,90.0,0.0,16.0,49.02499999999998,52.0,58.37,12.953111595288602,38.0,90.0,False,True,True,True
CELH,59.0,57.398,10.594413433503528,40.0,80.0,0.0,15.0,39.02499999999998,40.0,57.398,10.594413433503528,40.0,80.0,False,True,True,True
CHRD,60.0,59.576,13.099855877069793,38.0,89.0,0.0,11.0,49.02499999999998,51.0,59.576,13.099855877069793,38.0,89.0,False,True,True,True
REXR,61.0,62.275,12.112529669726305,42.975,91.0,0.0,12.0,48.02499999999998,48.025,62.275,12.112529669726305,42.975,91.0,False,True,True,True
AJANTPHARM.NS,62.0,57.699,7.967458754207643,41.0,72.0,0.0,12.0,29.0,31.0,57.699,7.967458754207643,41.0,72.0,False,True,True,True
HRMY,63.0,65.329,13.938032823895917,44.0,101.0,0.0,11.0,53.02499999999998,57.0,65.329,13.938032823895917,44.0,101.0,False,True,False,True
FNB,64.0,59.487,9.28794008378607,43.0,79.0,0.0,13.0,33.02499999999998,36.0,59.487,9.28794008378607,43.0,79.0,False,True,True,True
ELS,65.0,69.258,13.315984229489008,43.0,96.02499999999998,0.0,10.0,52.025,53.02499999999998,69.258,13.315984229489008,43.0,96.02499999999998,False,True,True,True
SEE,66.0,66.723,10.533008639510367,44.0,86.0,0.0,12.0,39.0,42.0,66.723,10.533008639510367,44.0,86.0,False,True,True,True
IIFL.NS,67.0,69.637,14.655075264221608,40.0,98.0,0.0,12.0,55.0,58.0,69.637,14.655075264221608,40.0,98.0,False,True,False,True
MEDP,68.0,67.248,13.095590708326219,45.0,95.02499999999998,0.0,9.0,49.0,50.02499999999998,67.248,13.095590708326219,45.0,95.02499999999998,False,True,True,True
OBEROIRLTY.NS,69.0,74.155,13.880452982521861,45.0,101.02499999999998,0.0,14.025000000000006,53.049999999999976,56.02499999999998,74.155,13.880452982521861,45.0,101.02499999999998,False,True,False,True
INGR,70.0,70.35,10.966289253890762,51.0,94.0,0.0,10.0,40.0,43.0,70.35,10.966289253890762,51.0,94.0,False,True,True,True
DABUR.NS,71.0,70.601,8.90493116200232,54.975,90.0,0.0,11.0,34.0,35.025,70.601,8.90493116200232,54.975,90.0,False,True,True,True
SM,72.0,82.907,19.851054153369287,50.975,127.02499999999998,0.0,21.025000000000006,72.0,76.04999999999998,82.907,19.851054153369287,50.975,127.02499999999998,False,True,False,True
