ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,value_score
PIDILITIND.NS,PIDILITE INDUSTRIES LTD,Basic Materials,India,58.749490668935096,63.95132729799879,46.07228692305523,49.19094681413352,63.58346246528842,18.18829283604324,59.590186280373445,18.18829283604324
ABB.NS,ABB INDIA LIMITED,Industrials,India,42.50967662430857,58.80653103435894,47.4985880538358,40.35562524022409,58.07996279838111,18.636205180561912,34.52773532203153,18.636205180561912
TRENT.NS,TRENT LTD,Consumer Cyclical,India,59.30519822124892,41.74843602726025,46.543563203444535,47.82087062113095,49.36685066336377,20.48210367242878,52.83065871444177,20.48210367242878
CUMMINSIND.NS,CUMMINS INDIA LTD,Industrials,India,45.90767543958329,65.47710574112537,48.06322408616795,41.083764414376375,65.438864054707,21.03269772652089,28.203129943085337,21.03269772652089
POONAWALLA.NS,POONAWALLA FINCORP LTD,Financial Services,India,41.76173801657089,43.73791034452356,45.963083405218086,34.22406886357621,47.1033241894726,21.390610885858088,80.4003926180074,21.390610885858088
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Basic Materials,India,62.25925166284423,62.10823035494417,45.014044237173536,62.11674621508987,70.511526551853,21.622198513494897,75.56430916178657,21.622198513494897
TRGP,"Targa Resources, Inc.",Energy,US,45.56062084450097,61.06426723917235,58.63282216711822,47.82873064269448,46.00112254869346,21.72163888456255,63.62762240179907,21.72163888456255
TORNTPHARM.NS,TORRENT PHARMACEUTICALS L,Healthcare,India,56.07656306770875,55.56561844054384,48.31300184524385,45.98687738664916,69.18812984590775,21.980169755342683,57.381944147649534,21.980169755342683
PAGEIND.NS,PAGE INDUSTRIES LTD,Consumer Cyclical,India,58.64639180245466,63.47600461639354,48.18237068183859,39.40518215450907,55.40928355854123,22.66805837565241,32.3545501025896,22.66805837565241
PEN,"Penumbra, Inc.",Healthcare,US,40.79559188223057,44.374731650544426,48.472695279190056,39.05094356807985,52.70462122754878,23.648362258914087,67.74872832947581,23.648362258914087
LAURUSLABS.NS,LAURUS LABS LIMITED,Healthcare,India,50.896035872283086,42.14491143651285,52.64516195801052,36.08106375302631,63.196262029890505,24.38468840921809,73.38564971175293,24.38468840921809
MARICO.NS,MARICO LIMITED,Consumer Defensive,India,61.781877321008366,57.70575499947592,55.22289646184961,52.41380147308378,65.06947197364133,24.72701967308529,50.65236846667688,24.72701967308529
CDNS,"Cadence Design Systems, Inc.",Technology,US,57.22893206747578,69.87144290405946,51.557521174508544,68.42127478050425,58.18642551380641,24.79595500947108,42.59245423785926,24.79595500947108
JUBLFOOD.NS,JUBILANT FOODWORKS LTD,Consumer Cyclical,India,47.15929089602918,51.66237100523237,49.346177224754015,43.425853628930135,51.06956702098479,24.82083014581774,50.13747463440905,24.82083014581774
SCHAEFFLER.NS,SCHAEFFLER INDIA LIMITED,Consumer Cyclical,India,47.21691844201226,59.15899110836407,41.60417265462007,45.53597537301788,65.56106462317335,26.741516218411743,68.08965247381896,26.741516218411743
RBC,RBC Bearings Incorporated,Industrials,US,44.69451896411234,44.94510725973585,47.38507795897056,47.277953606767255,66.16656077467042,26.9750387846468,53.58329972272279,26.9750387846468
TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,Consumer Defensive,India,38.89103126638339,44.25385611852336,50.08102379886069,37.28047850534861,60.2639236525809,27.41542417486884,58.9265639511616,27.41542417486884
CHOLAFIN.NS,CHOLAMANDALAM IN & FIN CO,Financial Services,India,50.22796199804068,59.51655469902639,45.895346545079,32.92892828279921,58.99494673673441,27.49146787541253,61.10502994566974,27.49146787541253
NET,"Cloudflare, Inc.",Technology,US,36.59080027778313,35.57949856804467,52.144597534333535,49.53471987318555,57.58243424304489,28.4045928537059,51.73042581518003,28.4045928537059
