ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,growth_score
CROX,"Crocs, Inc.",Consumer Cyclical,US,59.596937199379965,50.10779579642149,57.0458993877792,72.38057950158118,43.53206330954051,63.46859797653104,16.435491642283413,16.435491642283413
AVTR,"Avantor, Inc.",Healthcare,US,44.482031599003626,35.55536327952008,34.49902134688575,50.00609597546821,33.40974238897141,65.94682000421277,19.506379430064804,19.506379430064804
TATAELXSI.NS,TATA ELXSI LIMITED,Technology,India,49.77278953642956,55.3897898210746,45.82665959339232,20.37377881987416,47.5206242686572,41.595594862644624,19.58625392909772,19.58625392909772
MANAPPURAM.NS,MANAPPURAM FINANCE LTD,Financial Services,India,45.888572563963486,47.3051050894627,36.10331843825701,29.777553991730574,47.19722743413422,41.38009729502011,20.41367300247092,20.41367300247092
KMX,CarMax Inc,Consumer Cyclical,US,36.58376310345979,33.345549452879496,56.5039071271808,62.43730581014091,35.77053928098913,64.00734189559226,20.429044331251426,20.429044331251426
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,US,33.14314751225029,33.2593128157423,49.89160154788032,21.44131381358803,64.0138628293289,38.90187526733841,23.387217801733303,23.387217801733303
CHRD,Chord Energy Corporation,Energy,US,59.64021538291719,50.0646774778529,58.56347771745472,68.63576314885778,56.14453985593652,59.15864662404111,23.414888114417053,23.414888114417053
CYIENT.NS,CYIENT LIMITED,Industrials,India,45.45579072859122,42.23870265765258,34.36894320434213,25.819497731709035,33.19414449928943,67.02430784233526,23.97696791023674,23.97696791023674
SYNGENE.NS,SYNGENE INTERNATIONAL LTD,Healthcare,India,46.42954985817882,45.58037234671883,34.412302585190005,35.35335563989422,33.366622811035015,49.03026094568975,24.16437836085148,24.16437836085148
HRL,Hormel Foods Corporation,Consumer Defensive,US,43.29188155172989,43.3166606218675,50.43359380847872,41.942806179433305,36.84852872939904,63.14535162509431,24.516419588443963,24.516419588443963
AVNT,Avient Corporation,Basic Materials,US,58.42842624387485,52.47930331769432,58.238282361095685,57.7976057874684,50.43119577936396,60.8826271650371,24.65971809498979,24.65971809498979
GLOB,Globant S.A.,Technology,US,39.39684503337951,40.6217657113302,45.089550118978494,31.674631638850133,34.26135405321524,66.70106149089851,24.668368865137484,24.668368865137484
MARA,"MARA Holdings, Inc.",Financial Services,US,33.229703879324745,33.17307617860511,35.88652153401765,37.17677844307481,38.249915012331925,62.49885892222079,25.056906854237237,25.056906854237237
NEWGEN.NS,NEWGEN SOFTWARE TECH LTD,Technology,India,42.20992696329923,50.66833393781325,34.54238072773362,25.0303838876085,35.12374561194318,56.35717824492265,25.438998453611248,25.438998453611248
ALKS,Alkermes plc,Healthcare,US,50.11901500472737,53.018282299801776,58.34668081321536,51.73481148443041,46.119237985724304,53.44796108199195,25.84070108298477,25.84070108298477
WSC,WillScot Holdings Corporation,Industrials,US,66.59718338652635,45.795963939561815,35.71308401062617,69.9810059878785,33.452861966907804,64.11509067940456,26.066073403235603,26.066073403235603
EA,Electronic Arts Inc.,Communication Services,US,50.46524047302518,50.53897898210746,61.42519685341428,55.170062810922985,63.04367232575997,43.85831932270183,26.123248297687407,26.123248297687407
KRC,Kilroy Realty Corporation,Real Estate,US,41.9935360456131,45.14918916103287,39.05175633591232,53.91761795492029,43.96325908890447,62.9298540574698,26.46917878925085,26.46917878925085
GNRC,Generac Holdlings Inc.,Industrials,US,35.93459035040139,33.69049600142827,55.85351641446272,49.19558463097915,48.38301582738513,55.495187974424674,27.237600670449687,27.237600670449687
NGVT,Ingevity Corporation,Basic Materials,US,58.94776444632157,55.49758561749609,61.33847809171854,71.72342431862404,64.98405333289782,39.00962405115065,27.76698240512462,27.76698240512462
