ticker,company_name,sector,price,avg_daily_volume,market_cap_M,daily_dollar_vol_M,liquidity_weight,max_exec_5d_M,max_position_10pct_5d_M
CTRA,Coterra Energy Inc.,Energy,34.56,7388139.0,26243.2,255.33,0.083426,76.6,383.0
INCY,Incyte Corporation,Healthcare,95.93,2152196.0,19091.5,206.46,0.067457,61.94,309.69
GGG,Graco Inc.,Industrials,84.62,819854.0,14029.2,69.38,0.022667,20.81,104.06
DECK,Deckers Outdoor Corporation,Consumer Cyclical,98.31,2815658.0,14328.2,276.81,0.090442,83.04,415.21
STLD,"Steel Dynamics, Inc.",Basic Materials,180.2,1402514.0,26107.8,252.73,0.082576,75.82,379.1
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Basic Materials,63.16,215192.0,3241.9,13.59,0.004441,4.08,20.39
STAG,"Stag Industrial, Inc.",Real Estate,36.55,1303328.0,7133.4,47.64,0.015564,14.29,71.45
NNN,"NNN REIT, Inc.",Real Estate,42.77,1242597.0,8137.2,53.15,0.017364,15.94,79.72
EWBC,"East West Bancorp, Inc.",Financial Services,108.99,918227.0,14999.5,100.08,0.032699,30.02,150.12
PIDILITIND.NS,PIDILITE INDUSTRIES LTD,Basic Materials,13.67,681620.0,13914.0,9.32,0.003045,2.8,13.98
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,Financial Services,34.19,699010.0,13735.5,23.9,0.007809,7.17,35.85
MTCH,"Match Group, Inc.",Communication Services,31.44,4686344.0,7422.0,147.34,0.04814,44.2,221.01
CDNS,"Cadence Design Systems, Inc.",Technology,278.72,1956849.0,76952.4,545.41,0.178204,163.62,818.12
IBKR,"Interactive Brokers Group, Inc.",Financial Services,67.74,5332994.0,115170.9,361.26,0.118034,108.38,541.89
ITT,ITT Inc.,Industrials,193.2,541996.0,17357.1,104.71,0.034213,31.41,157.07
VEEV,Veeva Systems Inc.,Healthcare,173.98,1312465.0,28599.2,228.34,0.074607,68.5,342.51
RPM,RPM International Inc.,Basic Materials,97.97,776638.0,12561.6,76.09,0.02486,22.83,114.13
INVH,Invitation Homes Inc.,Real Estate,25.55,4097814.0,15662.7,104.7,0.034209,31.41,157.05
ATO,Atmos Energy Corporation,Utilities,188.97,975701.0,31263.0,184.38,0.060242,55.31,276.57
MAX_AUM_LARGEST_POS_10PCT_ADV_5D,,,,,,4590.18,,,
TOTAL_EXEC_CAPACITY_5D_5PCT_ADV,,,,,,918.17,,,
MAX_FEASIBLE_AUM_90PCT_PASS,,,,,,500.0,,,
