,ESG_composite,E_score,S_score,G_score,financial_score,market_score,operational_score,pref_balanced,pref_esg_first,pref_financial_first,risk_adjusted_score,value_score,growth_score,stability_score,roa,roe,market_cap,total_revenue,debt_to_equity,net_margin,current_ratio,revenue_growth,dividend_yield
ESG_composite,1.0,0.819499236773829,0.6891429827124013,0.3906972401039615,0.5700537163604563,0.21214112513085293,0.570743187671578,0.7527524001557482,0.9491800197691532,0.5653103756291774,-0.003507400468961735,0.0474025191817347,-0.049201942254721236,0.09459840890471069,0.32535341852630156,0.1477849974006328,0.06347470301700768,0.04117935223411795,0.03698220778920372,0.3052590310940301,-0.1108592411044029,-0.1271315023099126,0.2557910272370229
E_score,0.819499236773829,1.0,0.4094437104334773,0.019614142158205,0.5374373896882575,0.053897007172980835,0.45269743990577144,0.6358431881550175,0.7920102093551803,0.4841163327378919,0.011662064204047954,-0.06286037880639404,-0.05084974480020104,0.08547181718047757,0.3415641680888501,0.2078958486209536,0.142865995973347,-0.10417505499624867,0.016667356544155364,0.3016094493436635,-0.019155842342441987,-0.1092755284302529,0.09023969831821983
S_score,0.6891429827124013,0.4094437104334773,1.0,0.11763324062172963,0.49961873299087883,0.39221940642498493,0.5962902489043245,0.6421816608609232,0.7174713453201708,0.5422580925209375,-0.014627101673156073,0.12998563947363043,0.023024283235174428,0.11602374888235796,0.2369687845611902,0.13725127104086832,0.2483899159438708,0.2560999304798291,0.06799716988323824,0.2381847027320169,-0.10295492709654179,-0.09787797201295687,0.4381882847228367
G_score,0.3906972401039615,0.019614142158205,0.11763324062172963,1.0,0.09568092873182026,0.12792621426680437,0.09102514164251693,0.21291862074199674,0.32188168363846825,0.12338351907190152,0.025711369206249175,0.047122876919802895,0.006618428581479466,0.03533591172838676,0.09964378166748757,-0.0019449235386958246,-0.23493351513799174,0.029208675960033573,0.0035054012821746595,0.12115681440360888,-0.13238824612742045,-0.12520428512388188,0.1352433002183269
financial_score,0.5700537163604563,0.5374373896882575,0.49961873299087883,0.09568092873182026,1.0,0.21844797891840823,0.3444160511540674,0.7820429738038859,0.6885223356819445,0.7979895256570673,0.16558856950940257,-0.17377138896785033,0.002758246604432367,0.41503382308576464,0.522800767574243,0.5255352915852899,0.21380196692063935,-0.11201877567887601,-0.09572281065597352,0.7247721892359908,-0.010801177626204656,-0.13416704454393694,0.27655838310508574
market_score,0.21214112513085293,0.053897007172980835,0.39221940642498493,0.12792621426680437,0.21844797891840823,1.0,0.3226733835165308,0.31827585485833093,0.2668309176410055,0.3336116735936427,0.2675650316556346,-0.06825404392437114,0.05680784059809609,0.13151938284596096,-0.10647551339861995,0.02725103939927766,0.47561384675113505,0.21235681586527072,0.05195835039990245,0.08788650264324935,-0.12788300294946314,-0.0977329056688638,0.2915436193556061
operational_score,0.570743187671578,0.45269743990577144,0.5962902489043245,0.09102514164251693,0.3444160511540674,0.3226733835165308,1.0,0.5728917964873199,0.6327517344587378,0.49974878894407765,-0.045628401789956356,0.1308634784600827,0.079532424873793,0.11049760735506986,0.277076738774301,0.16457987435087995,0.35650709737303604,0.2659791407210439,0.045039987856525555,0.13473368726366822,-0.04549146644397641,-0.00722687172930616,0.2042665951925335
pref_balanced,0.7527524001557482,0.6358431881550175,0.6421816608609232,0.21291862074199674,0.7820429738038859,0.31827585485833093,0.5728917964873199,1.0,0.9080521448083312,0.9629167341579745,0.4173660333436585,-0.17683503960211744,0.3280341941876499,0.4220851850296841,0.4872350307845686,0.4068618305307434,0.26633677075781953,0.07583193333556504,-0.07470195564782622,0.5833248893528376,0.023440383086107002,0.027783604925641803,0.11865431540859843
pref_esg_first,0.9491800197691532,0.7920102093551803,0.7174713453201708,0.32188168363846825,0.6885223356819445,0.2668309176410055,0.6327517344587378,0.9080521448083312,1.0,0.7687412714889617,0.16272211975587692,-0.025157967595809187,0.08770306811969843,0.25862689570695135,0.4197211153347009,0.2626268764583512,0.1628730885533766,0.07206896619318008,-0.01573751337309221,0.4312753741050165,-0.0313241760931263,-0.07709395077604485,0.20555087791161006
pref_financial_first,0.5653103756291774,0.4841163327378919,0.5422580925209375,0.12338351907190152,0.7979895256570673,0.3336116735936427,0.49974878894407765,0.9629167341579745,0.7687412714889617,1.0,0.5212532595732768,-0.19797600954524794,0.4013476043286573,0.4754541580582702,0.4876451022035783,0.4687740572434362,0.305440469841193,0.0699229732406512,-0.10095457329743383,0.6393684723840369,0.0430174339793851,0.06436383725464559,0.09618765330658503
risk_adjusted_score,-0.003507400468961735,0.011662064204047954,-0.014627101673156073,0.025711369206249175,0.16558856950940257,0.2675650316556346,-0.045628401789956356,0.4173660333436585,0.16272211975587692,0.5212532595732768,1.0,-0.46838670185851433,0.30340878330939935,0.21607296987656227,0.11279364869849387,0.15588076703921627,0.22020551614296968,-0.019464589790750796,-0.07205035310783074,0.24024884418923353,-0.028059633582523627,0.12129412435888842,-0.20953549970151453
value_score,0.0474025191817347,-0.06286037880639404,0.12998563947363043,0.047122876919802895,-0.17377138896785033,-0.06825404392437114,0.1308634784600827,-0.17683503960211744,-0.025157967595809187,-0.19797600954524794,-0.46838670185851433,1.0,-0.26830966370833337,-0.1989209244173404,-0.10261366126638981,-0.13963903742405542,-0.26882482561782595,0.236492374564158,0.02979913901946039,-0.16151620837260564,0.016462289649949006,-0.14942275045076397,0.3256420305285799
growth_score,-0.049201942254721236,-0.05084974480020104,0.023024283235174428,0.006618428581479466,0.002758246604432367,0.05680784059809609,0.079532424873793,0.3280341941876499,0.08770306811969843,0.4013476043286573,0.30340878330939935,-0.26830966370833337,1.0,0.04213351211668773,0.1367496097601616,0.2463329917592444,0.14105227758304487,0.1546858269361513,0.01584505389763564,0.21590503728752644,0.015728974304988246,0.4949125115847945,-0.2343084581550613
stability_score,0.09459840890471069,0.08547181718047757,0.11602374888235796,0.03533591172838676,0.41503382308576464,0.13151938284596096,0.11049760735506986,0.4220851850296841,0.25862689570695135,0.4754541580582702,0.21607296987656227,-0.1989209244173404,0.04213351211668773,1.0,0.22004441839792324,0.1548237864207038,0.11161757544401274,-0.1179038145194772,-0.4330269407537613,0.3251159213998717,0.4504106554315206,-0.07868857613265716,-0.03803994822628887
roa,0.32535341852630156,0.3415641680888501,0.2369687845611902,0.09964378166748757,0.522800767574243,-0.10647551339861995,0.277076738774301,0.4872350307845686,0.4197211153347009,0.4876451022035783,0.11279364869849387,-0.10261366126638981,0.1367496097601616,0.22004441839792324,1.0,0.6811286776784599,-0.016842910106306355,0.0432551752912794,-0.19672526055978462,0.36393145376090114,-0.014928696120848803,-0.08592789732305388,-0.14327911934706916
roe,0.1477849974006328,0.2078958486209536,0.13725127104086832,-0.0019449235386958246,0.5255352915852899,0.02725103939927766,0.16457987435087995,0.4068618305307434,0.2626268764583512,0.4687740572434362,0.15588076703921627,-0.13963903742405542,0.2463329917592444,0.1548237864207038,0.6811286776784599,1.0,0.12138054455246278,0.10423223014370393,-0.07622812737753164,0.5805165688133291,-0.1328725500537031,-0.016602624884917382,-0.04411674102840664
market_cap,0.06347470301700768,0.142865995973347,0.2483899159438708,-0.23493351513799174,0.21380196692063935,0.47561384675113505,0.35650709737303604,0.26633677075781953,0.1628730885533766,0.305440469841193,0.22020551614296968,-0.26882482561782595,0.14105227758304487,0.11161757544401274,-0.016842910106306355,0.12138054455246278,1.0,0.2481997423333418,0.10507028129205624,0.03198497394660646,-0.04291674971098888,0.024471667385994263,-0.03367916020972365
total_revenue,0.04117935223411795,-0.10417505499624867,0.2560999304798291,0.029208675960033573,-0.11201877567887601,0.21235681586527072,0.2659791407210439,0.07583193333556504,0.07206896619318008,0.0699229732406512,-0.019464589790750796,0.236492374564158,0.1546858269361513,-0.1179038145194772,0.0432551752912794,0.10423223014370393,0.2481997423333418,1.0,0.14075190561956794,-0.11701183963762804,-0.09296957984643275,0.2069067283335021,0.06578693598181648
debt_to_equity,0.03698220778920372,0.016667356544155364,0.06799716988323824,0.0035054012821746595,-0.09572281065597352,0.05195835039990245,0.045039987856525555,-0.07470195564782622,-0.01573751337309221,-0.10095457329743383,-0.07205035310783074,0.02979913901946039,0.01584505389763564,-0.4330269407537613,-0.19672526055978462,-0.07622812737753164,0.10507028129205624,0.14075190561956794,1.0,-0.07836536056251363,-0.17999668843201957,0.030800724990971074,0.10843403913716011
net_margin,0.3052590310940301,0.3016094493436635,0.2381847027320169,0.12115681440360888,0.7247721892359908,0.08788650264324935,0.13473368726366822,0.5833248893528376,0.4312753741050165,0.6393684723840369,0.24024884418923353,-0.16151620837260564,0.21590503728752644,0.3251159213998717,0.36393145376090114,0.5805165688133291,0.03198497394660646,-0.11701183963762804,-0.07836536056251363,1.0,0.0674081797230832,-0.0023604248882522594,0.13070315343984787
current_ratio,-0.1108592411044029,-0.019155842342441987,-0.10295492709654179,-0.13238824612742045,-0.010801177626204656,-0.12788300294946314,-0.04549146644397641,0.023440383086107002,-0.0313241760931263,0.0430174339793851,-0.028059633582523627,0.016462289649949006,0.015728974304988246,0.4504106554315206,-0.014928696120848803,-0.1328725500537031,-0.04291674971098888,-0.09296957984643275,-0.17999668843201957,0.0674081797230832,1.0,0.041016944482216926,-0.20064692869094666
revenue_growth,-0.1271315023099126,-0.1092755284302529,-0.09787797201295687,-0.12520428512388188,-0.13416704454393694,-0.0977329056688638,-0.00722687172930616,0.027783604925641803,-0.07709395077604485,0.06436383725464559,0.12129412435888842,-0.14942275045076397,0.4949125115847945,-0.07868857613265716,-0.08592789732305388,-0.016602624884917382,0.024471667385994263,0.2069067283335021,0.030800724990971074,-0.0023604248882522594,0.041016944482216926,1.0,-0.18747245835913173
