,ESG_composite,E_score,S_score,G_score,financial_score,market_score,operational_score,pref_balanced,pref_esg_first,pref_financial_first,risk_adjusted_score,value_score,growth_score,stability_score,roa,roe,market_cap,total_revenue,debt_to_equity,net_margin,current_ratio,revenue_growth,dividend_yield
ESG_composite,1.0,-0.5346688881128528,0.6029286111784935,0.30280675218675535,0.7417059596323812,0.09974309522347702,0.46600335273355376,0.8102782223824261,0.9679936073971547,0.651532834529378,0.04228169800438756,-0.1174781436912047,-0.0330300437621953,0.2537232928413076,0.35980163170272755,0.2252757859961506,0.1918786353005184,0.11630657974361706,-0.05784466142020565,0.4770319060155276,-0.016108097523088276,-0.12229953948811206,0.13366039308921954
E_score,-0.5346688881128528,1.0,-0.2532545891476162,-0.054068492420262494,-0.6685124358555234,-0.11420295933194408,-0.15414258322696506,-0.6109065800097995,-0.5787697372167195,-0.5515872489001523,-0.20948789576835053,0.7037381212444573,-0.16422890731270712,-0.36063756577561906,-0.3227150821644773,-0.2281237539297427,-0.30395764011671283,0.18335432359647247,0.18242013366057452,-0.5484048571485256,-0.06851236341737763,-0.11106704603720506,0.13142720346828363
S_score,0.6029286111784935,-0.2532545891476162,1.0,0.040296799417816526,0.5317580768783667,0.14460069029708622,0.5976143985588149,0.6062688326748871,0.6535939841041081,0.5410905531390435,0.016956514542972888,0.07223299397323442,0.005840145981005069,0.12139478576720711,0.2127047793340411,0.16666729823466325,0.3655906920705037,0.41869855011271023,0.09799258946423856,0.2928271099614079,-0.15809204093507964,-0.17700874372753259,0.4305309106596626
G_score,0.30280675218675535,-0.054068492420262494,0.040296799417816526,1.0,0.15782435156447536,0.10684008262846305,0.18666264082271236,0.20229052129543468,0.277211227008747,0.16002893796392392,0.021915387518243807,0.05556015344829901,-0.07690648061245153,0.08899373348967439,0.1079249028322629,0.06155110286119044,0.07779585544593218,0.10746700571167223,-0.05177679410988893,0.13778173768959057,0.014620054199969945,-0.10377622480645181,-0.04977784674150565
financial_score,0.7417059596323812,-0.6685124358555234,0.5317580768783667,0.15782435156447536,1.0,0.14824511685807681,0.365992635832139,0.8295368621709418,0.8041964348654108,0.7943186389441331,0.1292034175857607,-0.3563493544794883,0.05538479803332996,0.3657483431763867,0.562945370492441,0.5092629110432366,0.24714717997142163,-0.0065730837471845525,-0.1785133394005866,0.7510911148331632,-0.009771143829383194,-0.07226590566590427,0.1442698083601082
market_score,0.09974309522347702,-0.11420295933194408,0.14460069029708622,0.10684008262846305,0.14824511685807681,1.0,0.2061116543007779,0.34691311113171996,0.21357628463060252,0.4189303170370116,0.6376049730678762,-0.07515480905503834,0.07583460473961999,0.18780682843635005,-0.0004344892733989774,0.0169643530053242,0.45056362905294717,0.3578820355219646,0.09717940816720408,0.09934631569517229,-0.007075970917117609,-0.047247173148889744,0.1303222671127315
operational_score,0.46600335273355376,-0.15414258322696506,0.5976143985588149,0.18666264082271236,0.365992635832139,0.2061116543007779,1.0,0.5347275980063774,0.5424303843014349,0.5143644320608735,0.05019414987582741,0.07853095638862395,0.06592819508252583,0.09407264966777912,0.22668692789984649,0.10023214675278029,0.4681758418766926,0.5172062567594047,0.13236452943579777,0.11402274838542913,-0.07466428382669985,-0.023138274991067624,0.17189407590519518
pref_balanced,0.8102782223824261,-0.6109065800097995,0.6062688326748871,0.20229052129543468,0.8295368621709418,0.34691311113171996,0.5347275980063774,1.0,0.9235905485924308,0.9659351030395857,0.42184301667256374,-0.28226510597336796,0.32271291715385436,0.4099292769876658,0.4823907846388513,0.3982186453230252,0.41169098377877217,0.21162498044341502,-0.11019854795373912,0.5912949797160847,0.03349025840697582,0.10041062092238723,0.0483900809537161
pref_esg_first,0.9679936073971547,-0.5787697372167195,0.6535939841041081,0.277211227008747,0.8041964348654108,0.21357628463060252,0.5424303843014349,0.9235905485924308,1.0,0.8081716928782274,0.196266461803595,-0.17170611372280453,0.09840177944402413,0.3499646977214044,0.4210090339440719,0.2998429716176558,0.30525650989919134,0.18315075706925188,-0.08489734353664473,0.5336347211338097,0.009505547659229015,-0.044923711383634886,0.11988264978592247
pref_financial_first,0.651532834529378,-0.5515872489001523,0.5410905531390435,0.16002893796392392,0.7943186389441331,0.4189303170370116,0.5143644320608735,0.9659351030395857,0.8081716928782274,1.0,0.5372333116439129,-0.2907592266615464,0.4194491497661241,0.40445379942592435,0.4929069370345185,0.4453939625585585,0.4543491472596105,0.24482903529507977,-0.10566147763169496,0.5919362970232352,0.033191640832514746,0.1577813388744931,0.03579716222258204
risk_adjusted_score,0.04228169800438756,-0.20948789576835053,0.016956514542972888,0.021915387518243807,0.1292034175857607,0.6376049730678762,0.05019414987582741,0.42184301667256374,0.196266461803595,0.5372333116439129,1.0,-0.3255245300077569,0.3195205242931352,0.1521309682607904,0.07405472858193306,0.09054744829019853,0.4104182404686385,0.19408119950255437,0.03560979831609957,0.11475277434159288,-0.011645773632554361,0.2384953257889049,-0.12898790357909035
value_score,-0.1174781436912047,0.7037381212444573,0.07223299397323442,0.05556015344829901,-0.3563493544794883,-0.07515480905503834,0.07853095638862395,-0.28226510597336796,-0.17170611372280453,-0.2907592266615464,-0.3255245300077569,1.0,-0.2899970719127944,-0.23857289709970964,-0.17219877572266987,-0.15535230456708393,-0.2762494402810584,0.3067691175801009,0.12693020439442715,-0.326174626890175,-0.022725675155774994,-0.2835595243413509,0.2583091837892574
growth_score,-0.0330300437621953,-0.16422890731270712,0.005840145981005069,-0.07690648061245153,0.05538479803332996,0.07583460473961999,0.06592819508252583,0.32271291715385436,0.09840177944402413,0.4194491497661241,0.3195205242931352,-0.2899970719127944,1.0,0.022884171605316677,0.13205105334833442,0.24153076103566556,0.19042411377452365,0.07868208415172492,0.02831608418568272,0.14062274810012754,0.023750925783735347,0.6038908547819815,-0.23816203701692226
stability_score,0.2537232928413076,-0.36063756577561906,0.12139478576720711,0.08899373348967439,0.3657483431763867,0.18780682843635005,0.09407264966777912,0.4099292769876658,0.3499646977214044,0.40445379942592435,0.1521309682607904,-0.23857289709970964,0.022884171605316677,1.0,0.23950635977320686,0.13303227505508056,0.20174549634736857,-0.08344922512571636,-0.5333235921594677,0.3627658223434726,0.42013091960857113,0.04597888460050486,-0.03147738151249271
roa,0.35980163170272755,-0.3227150821644773,0.2127047793340411,0.1079249028322629,0.562945370492441,-0.0004344892733989774,0.22668692789984649,0.4823907846388513,0.4210090339440719,0.4929069370345185,0.07405472858193306,-0.17219877572266987,0.13205105334833442,0.23950635977320686,1.0,0.7252821127505629,0.05513782372148466,0.0701400404166083,-0.3128225634449094,0.2601101552249359,0.09053033479109521,-0.051381227380162584,-0.2367963395987035
roe,0.2252757859961506,-0.2281237539297427,0.16666729823466325,0.06155110286119044,0.5092629110432366,0.0169643530053242,0.10023214675278029,0.3982186453230252,0.2998429716176558,0.4453939625585585,0.09054744829019853,-0.15535230456708393,0.24153076103566556,0.13303227505508056,0.7252821127505629,1.0,0.11901329998014702,0.09227789957268653,-0.08125690701338024,0.35743643845939027,-0.09006188874292687,0.043648405541526325,-0.11531049799777524
market_cap,0.1918786353005184,-0.30395764011671283,0.3655906920705037,0.07779585544593218,0.24714717997142163,0.45056362905294717,0.4681758418766926,0.41169098377877217,0.30525650989919134,0.4543491472596105,0.4104182404686385,-0.2762494402810584,0.19042411377452365,0.20174549634736857,0.05513782372148466,0.11901329998014702,1.0,0.6829769673475463,0.1276674352751616,0.20071547212040544,-0.036100379493313954,0.15660303669533748,0.0634492051145068
total_revenue,0.11630657974361706,0.18335432359647247,0.41869855011271023,0.10746700571167223,-0.0065730837471845525,0.3578820355219646,0.5172062567594047,0.21162498044341502,0.18315075706925188,0.24482903529507977,0.19408119950255437,0.3067691175801009,0.07868208415172492,-0.08344922512571636,0.0701400404166083,0.09227789957268653,0.6829769673475463,1.0,0.294573912482321,-0.17152704725888632,-0.14088687662147628,-0.07755782619089698,0.19609841094691283
debt_to_equity,-0.05784466142020565,0.18242013366057452,0.09799258946423856,-0.05177679410988893,-0.1785133394005866,0.09717940816720408,0.13236452943579777,-0.11019854795373912,-0.08489734353664473,-0.10566147763169496,0.03560979831609957,0.12693020439442715,0.02831608418568272,-0.5333235921594677,-0.3128225634449094,-0.08125690701338024,0.1276674352751616,0.294573912482321,1.0,-0.1867776120896684,-0.2714476112019264,-0.034217621298524584,0.2751088809112297
net_margin,0.4770319060155276,-0.5484048571485256,0.2928271099614079,0.13778173768959057,0.7510911148331632,0.09934631569517229,0.11402274838542913,0.5912949797160847,0.5336347211338097,0.5919362970232352,0.11475277434159288,-0.326174626890175,0.14062274810012754,0.3627658223434726,0.2601101552249359,0.35743643845939027,0.20071547212040544,-0.17152704725888632,-0.1867776120896684,1.0,0.09685916733981827,0.039063187848661626,0.06753093781921791
current_ratio,-0.016108097523088276,-0.06851236341737763,-0.15809204093507964,0.014620054199969945,-0.009771143829383194,-0.007075970917117609,-0.07466428382669985,0.03349025840697582,0.009505547659229015,0.033191640832514746,-0.011645773632554361,-0.022725675155774994,0.023750925783735347,0.42013091960857113,0.09053033479109521,-0.09006188874292687,-0.036100379493313954,-0.14088687662147628,-0.2714476112019264,0.09685916733981827,1.0,0.13461403882905768,-0.30767715686921737
