variable,mean_US,std_US,n_US,mean_India,std_India,n_India,mean_diff,mean_diff_ci_lo,mean_diff_ci_hi,ttest_stat,ttest_p,mannwhitney_U,mannwhitney_p,cohens_d,cohens_d_power,effect_size,cliffs_delta,cliffs_delta_size,significant_t
ESG_composite,48.018743371938264,9.782821816593216,186,49.1480208701991,8.935001156508276,90,-1.1292774982608336,-3.464426151707213,1.2058711551855459,-0.9242344086689671,0.35617750134415693,7774.0,0.33807469556043546,-0.11867491988291441,0.1513925394340168,Small,-0.07120669056152927,negligible,False
E_score,0.1919800429216168,0.9871635641917047,181,-0.12507667606310505,1.0020985173719141,88,0.3170567189847219,0.06123225529177906,0.5728811826776647,2.4592677996027223,0.014556657599743433,9412.5,0.015568001641710256,0.3195960034976107,0.6880973718686902,Small,0.18188096433952788,small,True
S_score,0.17540940894740029,0.6058007765331801,186,-0.21774530003878714,0.3769719103042948,90,0.39315470898618743,0.27579014619350206,0.5105192717788728,5.647442788292101,4.070779318839773e-08,11644.0,1.3938685124196308e-07,0.7251513405664133,0.9998775771073903,Medium,0.3911589008363202,medium,True
G_score,-0.3451832480935733,0.5856290430411722,186,-0.3465484543246193,0.4275464289514906,90,0.0013652062310459678,-0.12128056580703453,0.12401097826912647,0.019711609606399113,0.9842877756507831,8941.0,0.35874504230493887,0.002531039386611452,0.05004419839069898,Small,0.06821983273596177,negligible,False
financial_score,48.57228524470782,10.368959801837843,186,49.088646427809856,8.125597738732901,90,-0.5163611831020347,-2.773527800156944,1.7408054339528745,-0.41469001171635284,0.6786933322084452,8024.0,0.5783423432655478,-0.05324764308175603,0.06978201353462968,Small,-0.04133811230585424,negligible,False
market_score,50.91503446060812,9.798516050224212,186,43.87705321065758,7.416488687050839,90,7.0379812499505405,4.945727266835521,9.130235233065559,6.0275595656826155,5.3576647524070945e-09,11855.0,2.0761448269150675e-08,0.773959659841105,0.9999739899320715,Medium,0.4163679808841099,medium,True
operational_score,51.10046662824903,13.568004674630274,186,39.24549789770397,9.734591309339297,90,11.85496873054506,9.039264999351136,14.670672461738985,7.4139950369245575,1.5331038582186452e-12,12652.0,5.671295395764367e-12,0.9519828073556224,0.9999999714844954,Large,0.5115890083632019,large,True
pref_balanced,47.58248752219207,16.865220902639106,186,46.26547157093149,14.156484502191933,90,1.3170159512605792,-2.5038568679377438,5.137888770458902,0.6396291289596783,0.5229481625182044,8794.5,0.49518477654882276,0.0821306098562016,0.09768575914703562,Small,0.0507168458781362,negligible,False
pref_esg_first,46.415471524757024,20.642261863842545,186,46.170802692832076,18.264553499228665,90,0.24466883192494748,-4.584926653171811,5.074264317021706,0.09574683059226884,0.9237916347066928,8390.0,0.9749748631220077,0.012294226814109315,0.05104345950421629,Small,0.0023894862604540022,negligible,False
pref_financial_first,48.46141463541725,15.69113271069701,186,45.81389177339334,12.542610507918074,90,2.647522862023912,-0.8069628962233173,6.102008620271142,1.3986077742632221,0.16306146977248728,9285.5,0.1410331373965972,0.17958611365415852,0.2860083979497573,Small,0.10937873357228196,negligible,False
risk_adjusted_score,48.82684610673582,9.7834487766585,186,48.82642882049774,9.712257120701492,90,0.0004172862380826814,-2.466526103116465,2.4673606755926305,0.0003329587698733842,0.9997345796249111,8356.0,0.9826732873162266,4.2753066720317566e-05,0.05000001261053012,Small,-0.0016726403823178017,negligible,False
value_score,52.79162037199583,9.57328207609956,186,45.945054102532374,9.60410368848381,90,6.846566269463459,4.4153106140279785,9.277821924898939,5.563918006134143,6.274037164738213e-08,11632.0,1.5477028971209686e-07,0.7144264673763872,0.999831049030519,Medium,0.38972520908004776,medium,True
growth_score,49.84871861695392,14.599548687880493,186,52.08684383755645,16.230314442134603,90,-2.2381252206025337,-6.223651565290436,1.7474011240853686,-1.15063496959192,0.2508856156027171,7683.0,0.26942999723368155,-0.14774554112030402,0.20895235251320296,Small,-0.08207885304659499,negligible,False
stability_score,50.429270220747114,17.08487116533365,186,52.496898522199395,10.352933441685266,90,-2.067628301452281,-5.3391066684608575,1.203850065556296,-1.057423865600616,0.29124955349684944,7683.0,0.26942999723368155,-0.13577691044110582,0.18369391601960702,Small,-0.08207885304659499,negligible,False
