,roa,roa,roa,roe,roe,roe,ESG_composite,ESG_composite,ESG_composite,financial_score,financial_score,financial_score,market_score,market_score,market_score,revenue_growth,revenue_growth,revenue_growth,price_momentum_3m,price_momentum_3m,price_momentum_3m,sharpe_ratio_1y,sharpe_ratio_1y,sharpe_ratio_1y
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
decile,,,,,,,,,,,,,,,,,,,,,,,,
D1,-0.0017511553962962971,0.05011247810392238,27,-0.11774420337037038,0.25775633700462586,27,38.19475952973053,5.904530643256245,27,27.905814174803595,7.168152722438483,27,42.343953233664486,6.72411088139187,27,0.08914814814814814,0.17959734958291554,27,-6.366424758869506,27.2841027108114,27,-0.16411551345959652,1.0314243008859865,27
D2,0.03866553341814814,0.03730449999875755,27,0.08139814846296296,0.1477915596934268,27,39.556932233700756,5.093243613830501,27,40.213537943827895,8.990978380374138,27,43.79762001602513,8.320635344192814,27,0.15774444444444444,0.2519641951568231,27,-12.789909060805565,22.67931411843768,27,-0.15261470171569907,1.0888229652577843,27
D3,0.031459792555555546,0.04896172525261956,27,0.04367178422222223,0.24073661345517203,27,40.516021224303095,4.505127385671014,27,37.95776416940062,7.4368647867973445,27,47.123145902632444,6.363802300867079,27,0.18634444444444434,0.27061058358593026,27,-4.739017685899198,17.993495472420918,27,0.3985675524475301,1.0075046925340514,27
D4,0.05139483705925926,0.04109838357231544,27,0.12485629442592591,0.2391480752117614,27,46.751966327664505,6.713669593154477,27,42.31955720350512,9.892248515593877,27,48.163811619134734,7.691027505313979,27,0.1411962962962962,0.25974687749878755,27,-7.052174063368501,19.281321551013143,27,0.02183011557372445,1.0044867474609307,27
D5,0.0475177781111111,0.031661642379290804,27,0.11844555546296297,0.11908280998464976,27,47.16064862116692,6.826451408716127,27,46.693448919393525,10.189202616857818,27,46.61852539332371,7.18692108047228,27,0.13122222222222224,0.2555808367279599,27,-0.04769049843099814,22.359686750078513,27,0.32698641518463556,0.9078547005439132,27
D6,0.062262692461538455,0.027658882691791502,26,0.11478044571173077,0.19580381694030155,26,49.50760708059259,7.570417311670775,26,49.94508238491257,8.479012395298426,26,46.63743572613036,6.431269725635273,26,0.1212846153846153,0.27212654364072225,26,-0.4520590725671446,15.922562605617879,26,0.33173089110842785,0.8324754862354884,26
D7,0.05073166636666667,0.026084253680958187,27,0.1442953708148148,0.07414962813003585,27,50.687418627627586,4.250043767070217,27,48.508254035879816,10.424370121360756,27,47.741002107006715,7.787116798749103,27,0.1690851851851851,0.2510106107222491,27,-5.474121630610418,16.47144886231739,27,0.38439202990657084,0.9369191326201273,27
D8,0.06520407422222221,0.0367589715782102,27,0.17762296433333336,0.15568322298526138,27,54.085948349387536,7.69071861873262,27,59.548767452879886,8.04429181221521,27,48.41195381409901,4.968606352977851,27,0.15156296296296295,0.26271705040879734,27,-3.4681120591072716,21.466678987218398,27,0.25027673083290114,0.8297416522998602,27
D9,0.08890203798148147,0.041427453625891134,27,0.25075388011111116,0.23896399888679062,27,55.4685040285627,5.801886601095047,27,60.87496015773618,8.774476353730545,27,48.9364647939105,7.554440895972857,27,0.10325925925925926,0.11387698916360874,27,-0.3730564842811652,20.91654124148343,27,0.25344172256389036,0.7540901923567589,27
D10,0.07604965202222223,0.04623806205414945,27,0.1842540717962963,0.11112357348999699,27,60.867309804398566,6.57651989081785,27,65.71135357348405,7.371976631637656,27,52.23070034509648,6.970422196262231,27,0.15962962962962965,0.15676419041353606,27,0.6212283248911042,11.117643020921225,27,0.6346913091182182,0.6854666144487254,27
