ticker,scope1_emissions,scope2_emissions,scope3_emissions,emissions_intensity,renewable_energy_pct,energy_efficiency,water_usage_intensity,waste_recycling_pct,carbon_reduction_target,environmental_fines,employee_turnover,gender_diversity_pct,women_management_pct,pay_gap_ratio,injury_rate,safety_training_hours,employee_satisfaction,community_investment_pct,supply_chain_audit_pct,human_rights_policy,board_independence_pct,board_diversity_pct,board_size,exec_comp_esg_linked,ceo_pay_ratio,shareholder_rights_score,ethics_compliance_score,anti_corruption_policy,data_privacy_score,tax_transparency_score,esg_controversy_score,esg_risk_rating
ZS,real_public_registry,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,real_public_registry,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_yahoo,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
OKTA,financial_proxy,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,sector_imputed,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_sec,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
CRWD,real_public_registry,missing,missing,missing,real_public_registry,missing,missing,financial_proxy,real_public_registry,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,real_public_registry,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_yahoo,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
FTNT,real_public_registry,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,real_public_registry,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_sec,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
QLYS,financial_proxy,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,sector_imputed,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,real_sec,real_sec,missing,real_sec,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
VRNS,financial_proxy,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,sector_imputed,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_sec,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
ESTC,financial_proxy,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,sector_imputed,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_yahoo,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
DOCN,financial_proxy,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,sector_imputed,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_sec,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
PAYC,financial_proxy,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,real_public_registry,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_sec,financial_proxy,sector_imputed,real_sec,missing,real_sec,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
MANH,financial_proxy,missing,missing,missing,financial_proxy,missing,missing,financial_proxy,sector_imputed,missing,missing,financial_proxy,missing,missing,missing,financial_proxy,financial_proxy,financial_proxy,financial_proxy,sector_imputed,real_yahoo,financial_proxy,sector_imputed,real_sec,missing,real_sec,real_yahoo,financial_proxy,real_yahoo,real_sec,real_yahoo,real_yahoo
