variable,coef,se_hc3,p_two_sided,r2,n
esg_measured,-0.017305040491629523,0.03495411546061956,0.620544519022548,0.7726995465944415,260
esg_proxy,-0.05709691340019529,0.041070121310695436,0.16445905632602997,0.7726995465944415,260
trailing_vol,0.5853136654344987,0.059350137039437215,6.079886534586713e-23,0.7726995465944415,260
trailing_beta,0.05066968078124975,0.06395794064759548,0.4282240135101284,0.7726995465944415,260
size,-0.023117755023065206,0.08633343526005205,0.7888741256432511,0.7726995465944415,260
quality,-0.030717442830419606,0.04405559401627414,0.48565089922987204,0.7726995465944415,260
leverage,0.046179053430644046,0.040327047962589395,0.252162078246597,0.7726995465944415,260
liquidity,0.09162203293231869,0.10737487958075502,0.3934978746087229,0.7726995465944415,260
momentum_6m,-0.1882946632884624,0.04111009455555582,4.644122072796591e-06,0.7726995465944415,260
value_pb,-0.02467878972219946,0.05142100873151755,0.6312729506326158,0.7726995465944415,260
