,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,growth_score,value_score,stability_score,similarity_rank,sector_position
ESG_composite,1.0,0.5809958879703095,0.19707102652783173,0.5774152780089639,-0.013039511241808306,-0.03969002570789177,0.05332383929176916,0.11375711282497056,0.6735831375957881,0.6126902479850894
financial_score,0.5809958879703095,1.0,0.19934404803738434,0.33011399014839066,0.13761921495373197,-0.025906403546086174,-0.16134815390211274,0.40609776396826275,0.22945803818577495,0.5398426893623591
market_score,0.19707102652783173,0.19934404803738434,1.0,0.3270611009389237,0.2476046039936624,0.062039246148439954,-0.04006547189702048,0.10518411659176238,-0.024215354454493333,0.16244434688495818
operational_score,0.5774152780089639,0.33011399014839066,0.3270611009389237,1.0,-0.08169622765971875,0.06823380002096087,0.14199263903530673,0.09095353468099404,0.3199541326823133,0.5606941486110008
risk_adjusted_score,-0.013039511241808306,0.13761921495373197,0.2476046039936624,-0.08169622765971875,1.0,0.27553249859747114,-0.4401246555327452,0.17199812585153537,-0.03130197833632334,0.0734036468564915
growth_score,-0.03969002570789177,-0.025906403546086174,0.062039246148439954,0.06823380002096087,0.27553249859747114,1.0,-0.28472075804373426,0.024049516975223017,-0.1085927241117831,0.08948982450551224
value_score,0.05332383929176916,-0.16134815390211274,-0.04006547189702048,0.14199263903530673,-0.4401246555327452,-0.28472075804373426,1.0,-0.19162181656771904,0.14507265407781414,0.020266703495068816
stability_score,0.11375711282497056,0.40609776396826275,0.10518411659176238,0.09095353468099404,0.17199812585153537,0.024049516975223017,-0.19162181656771904,1.0,-0.062111376204479464,0.13817528772073376
similarity_rank,0.6735831375957881,0.22945803818577495,-0.024215354454493333,0.3199541326823133,-0.03130197833632334,-0.1085927241117831,0.14507265407781414,-0.062111376204479464,1.0,0.23146556224511688
sector_position,0.6126902479850894,0.5398426893623591,0.16244434688495818,0.5606941486110008,0.0734036468564915,0.08948982450551224,0.020266703495068816,0.13817528772073376,0.23146556224511688,1.0
