factor,n_us,n_india,U_statistic,p_value,significant_bonferroni,us_median,india_median,median_diff,bonferroni_alpha
ESG_composite,168,90,7854.0,0.607409,False,47.958,47.958,0.0,0.003125
financial_score,168,90,10501.0,0.0,True,48.592,48.213,0.379,0.003125
market_score,168,90,7883.0,0.572384,False,47.804,47.741,0.063,0.003125
operational_score,168,90,10083.0,1e-05,True,49.081,45.282,3.798,0.003125
risk_adjusted_score,168,90,8384.0,0.149258,False,52.549,50.604,1.945,0.003125
value_score,168,90,10705.0,0.0,True,54.794,47.096,7.698,0.003125
growth_score,168,90,6809.5,0.189219,False,47.621,47.645,-0.024,0.003125
stability_score,168,90,6996.0,0.323927,False,48.159,48.495,-0.336,0.003125
similarity_rank,168,90,7952.0,0.493139,False,56.068,51.157,4.91,0.003125
sector_position,164,88,9947.5,1e-06,True,53.249,45.166,8.083,0.003125
pref_balanced,168,90,10717.0,0.0,True,54.062,43.893,10.169,0.003125
pref_balanced_with_market,168,90,10562.0,0.0,True,54.287,44.169,10.118,0.003125
pref_esg_first,168,90,9422.0,0.00112,True,53.624,45.967,7.658,0.003125
pref_esg_first_with_market,168,90,9412.0,0.001191,True,53.107,46.719,6.389,0.003125
pref_financial_first,168,90,11072.0,0.0,True,55.032,40.655,14.377,0.003125
pref_financial_first_with_market,168,90,10722.0,0.0,True,54.198,41.768,12.43,0.003125
