factor,geography,n,spearman_rho,spearman_p,mean_pooled_pctile,mean_within_pctile,mean_pctile_shift,mean_abs_pctile_shift,max_abs_pctile_shift
ESG_composite,US,181,1.0,0.0,52.03,50.28,1.76,2.23,5.03
ESG_composite,India,88,1.0,0.0,46.38,50.57,-4.18,4.9,10.71
financial_score,US,181,1.0,0.0,49.8,50.28,-0.48,2.37,5.37
financial_score,India,88,1.0,0.0,50.98,50.57,0.42,4.97,10.28
market_score,US,181,1.0,0.0,56.45,50.28,6.17,6.2,12.23
market_score,India,88,1.0,0.0,37.31,50.57,-13.26,13.29,25.54
operational_score,US,181,1.0,0.0,59.05,50.28,8.77,8.78,15.46
operational_score,India,88,1.0,0.0,31.95,50.57,-18.61,18.61,32.17
risk_adjusted_score,US,181,1.0,0.0,43.16,50.28,-7.11,7.11,12.21
risk_adjusted_score,India,88,1.0,0.0,64.63,50.57,14.06,14.07,24.36
value_score,US,181,1.0,0.0,57.57,50.28,7.29,7.31,13.24
value_score,India,88,1.0,0.0,35.0,50.57,-15.57,15.58,27.6
growth_score,US,181,1.0,0.0,48.84,50.28,-1.44,1.63,3.93
growth_score,India,88,1.0,0.0,52.96,50.57,2.39,2.99,7.31
stability_score,US,181,1.0,0.0,48.83,50.28,-1.45,3.12,7.76
stability_score,India,88,1.0,0.0,52.98,50.57,2.41,6.31,15.2
similarity_rank,US,181,1.0,0.0,48.37,50.28,-1.91,2.11,5.39
similarity_rank,India,88,1.0,0.0,53.92,50.57,3.36,4.02,10.32
sector_position,US,181,1.0,0.0,54.8,50.28,4.53,4.53,8.93
sector_position,India,88,1.0,0.0,40.69,50.57,-9.88,9.88,18.93
pref_balanced,US,181,1.0,0.0,50.75,50.28,0.47,1.4,4.01
pref_balanced,India,88,1.0,0.0,49.03,50.57,-1.54,3.11,8.63
pref_balanced_with_market,US,181,1.0,0.0,51.26,50.28,0.98,1.71,4.38
pref_balanced_with_market,India,88,1.0,0.0,47.98,50.57,-2.58,3.88,9.39
pref_esg_first,US,181,1.0,0.0,52.06,50.28,1.78,2.32,5.05
pref_esg_first,India,88,1.0,0.0,46.34,50.57,-4.23,5.14,10.75
pref_esg_first_with_market,US,181,1.0,0.0,52.19,50.28,1.92,2.42,5.22
pref_esg_first_with_market,India,88,1.0,0.0,46.06,50.57,-4.51,5.34,11.1
pref_financial_first,US,181,1.0,0.0,50.32,50.28,0.04,1.89,4.14
pref_financial_first,India,88,1.0,0.0,49.91,50.57,-0.66,4.0,7.74
pref_financial_first_with_market,US,181,1.0,0.0,51.5,50.28,1.23,2.02,4.36
pref_financial_first_with_market,India,88,1.0,0.0,47.48,50.57,-3.09,4.45,9.35
