factor,geography,n,spearman_rho_pooled_vs_renorm,spearman_p,pooled_mean,pooled_std,renorm_mean,renorm_std,mean_rank_shift,max_rank_shift
ESG_composite,US,168,1.0,0.0,50.469,10.325,50.0,10.0,0.0,0
ESG_composite,India,90,1.0,0.0,49.261,9.643,50.0,10.0,0.0,0
financial_score,US,168,1.0,0.0,48.812,1.666,49.635,6.372,0.0,0
financial_score,India,90,1.0,0.0,48.279,0.509,49.779,8.552,0.0,0
market_score,US,168,1.0,0.0,49.454,7.077,49.745,8.293,0.0,0
market_score,India,90,1.0,0.0,47.866,1.04,49.702,7.85,0.0,0
operational_score,US,168,1.0,0.0,50.826,9.478,50.0,10.0,0.0,0
operational_score,India,90,1.0,0.0,46.402,5.37,50.0,10.0,0.0,0
risk_adjusted_score,US,168,1.0,0.0,49.985,11.709,50.0,10.0,0.0,0
risk_adjusted_score,India,90,1.0,0.0,49.512,5.405,50.0,10.0,0.0,0
value_score,US,168,1.0,0.0,52.656,8.773,50.0,10.0,0.0,0
value_score,India,90,1.0,0.0,45.54,10.402,50.0,10.0,0.0,0
growth_score,US,168,1.0,0.0,48.804,7.843,50.0,10.0,0.0,0
growth_score,India,90,1.0,0.0,51.861,12.516,50.0,10.0,0.0,0
stability_score,US,168,1.0,0.0,49.759,11.434,50.0,10.0,0.0,0
stability_score,India,90,1.0,0.0,50.192,6.345,50.0,10.0,0.0,0
similarity_rank,US,168,1.0,0.0,50.452,9.891,50.0,10.0,0.0,0
similarity_rank,India,90,1.0,0.0,49.693,9.931,50.0,10.0,0.0,0
sector_position,US,164,1.0,0.0,51.924,9.682,50.0,10.0,0.0,0
sector_position,India,88,1.0,0.0,45.505,8.744,50.0,10.0,0.0,0
pref_balanced,US,168,1.0,0.0,52.966,13.206,50.0,10.0,0.0,0
pref_balanced,India,90,1.0,0.0,43.934,10.012,50.0,10.0,0.0,0
pref_balanced_with_market,US,168,1.0,0.0,52.668,13.14,50.0,10.0,0.0,0
pref_balanced_with_market,India,90,1.0,0.0,44.328,9.548,50.0,10.0,0.0,0
pref_esg_first,US,168,1.0,0.0,52.197,15.305,50.0,10.0,0.0,0
pref_esg_first,India,90,1.0,0.0,45.901,13.461,50.0,10.0,0.0,0
pref_esg_first_with_market,US,168,1.0,0.0,52.086,14.825,50.0,10.0,0.0,0
pref_esg_first_with_market,India,90,1.0,0.0,46.0,12.875,50.0,10.0,0.0,0
pref_financial_first,US,168,1.0,0.0,53.723,15.178,50.0,10.0,0.0,0
pref_financial_first,India,90,1.0,0.0,42.136,10.873,50.0,10.0,0.0,0
pref_financial_first_with_market,US,168,1.0,0.0,53.162,15.232,50.0,10.0,0.0,0
pref_financial_first_with_market,India,90,1.0,0.0,42.996,10.28,50.0,10.0,0.0,0
