indicator,factors,n_factors,is_overlapping
amihud_illiquidity,risk_adjusted_score,1,False
asset_turnover,financial_score,1,False
avg_daily_volume,market_score,1,False
beta,market_score,1,False
cash_conversion,financial_score,1,False
cash_flow_to_debt,stability_score,1,False
cash_to_assets,financial_score,1,False
current_ratio,stability_score,1,False
debt_to_ebitda,stability_score,1,False
debt_to_equity,stability_score,1,False
dividend_yield,financial_score,1,False
earnings_growth,growth_score,1,False
earnings_quarterly_growth,growth_score,1,False
ebitda_margin,financial_score,1,False
employees,operational_score,1,False
enterprise_to_ebitda,value_score,1,False
enterprise_to_revenue,value_score,1,False
fcf_margin,operational_score,1,False
forward_pe,value_score,1,False
gross_margin,operational_score,1,False
gross_margins,financial_score,1,False
log_dollar_volume,market_score,1,False
market_cap,financial_score,1,False
max_drawdown_1y,risk_adjusted_score,1,False
net_margin,financial_score,1,False
operating_cashflow,operational_score,1,False
operating_margin,financial_score,1,False
operating_margins,financial_score,1,False
payout_ratio,financial_score,1,False
price_momentum_1m,market_score,1,False
price_momentum_3m,market_score,1,False
price_momentum_6m,market_score,1,False
price_to_book,value_score,1,False
price_to_sales,value_score,1,False
price_volatility,market_score,1,False
price_volatility_30d,stability_score,1,False
quick_ratio,stability_score,1,False
r_d_intensity,operational_score,1,False
return_kurtosis,risk_adjusted_score,1,False
return_skewness,risk_adjusted_score,1,False
revenue_growth,growth_score,1,False
revenue_per_employee,operational_score,1,False
roa,financial_score,1,False
roe,financial_score,1,False
sharpe_ratio_1y,risk_adjusted_score,1,False
sortino_ratio_1y,risk_adjusted_score,1,False
sustainable_growth_rate,growth_score,1,False
total_cash,financial_score,1,False
trailing_pe,value_score,1,False
