esg_measure,outcome,spearman,ci_low,ci_high,p_two_sided,n,control,partial_spearman,partial_p_two_sided,trailing_vs_oos_spearman,partial_p_holm
ESG_composite,realized_vol_oos,-0.3029949236845788,-0.42312684353349644,-0.18616643436858252,6.369792663523548e-07,260,price_volatility,-0.16327717478727424,0.008471466307101033,0.8157627651568056,0.10165759568521239
ESG_composite,max_drawdown_oos,0.17412820171440857,0.061833030012701885,0.2863028195406787,0.004866399600866482,260,max_drawdown_1y,0.11739647187441662,0.059199634568339474,0.4427612490850844,0.4735970765467158
ESG_composite,realized_beta_oos,-0.22848198710267673,-0.34545559664412623,-0.10841717216178759,0.0002026589788494061,260,beta,-0.23949314946762537,9.924483627725965e-05,0.2142708763828155,0.0013894277078816352
E_score,realized_vol_oos,-0.15143711347218455,-0.2818419448909454,-0.027243753503815322,0.014517491648886618,260,price_volatility,-0.07115777828218887,0.25383501405644204,0.8157627651568056,1.0
E_score,max_drawdown_oos,0.10333049130967774,-0.022344725448677133,0.22267149195937588,0.09639669251941753,260,max_drawdown_1y,0.10450057096006662,0.093300124339765,0.4427612490850844,0.6531008703783551
E_score,realized_beta_oos,-0.05863091658131078,-0.18574318627281297,0.07204188749905206,0.34637176566325,260,beta,-0.06700979198931648,0.2826379339367593,0.2142708763828155,1.0
S_score,realized_vol_oos,-0.285456202697582,-0.3913570577819707,-0.18082022340886006,2.891638964263945e-06,260,price_volatility,-0.12269254318125124,0.048557455033434054,0.8157627651568056,0.452446017589413
S_score,max_drawdown_oos,0.13121677949264154,0.0033513846379447268,0.25673893760050126,0.03445004284316422,260,max_drawdown_1y,0.04515478602247817,0.46934104959445955,0.4427612490850844,1.0
S_score,realized_beta_oos,-0.2774706498844429,-0.3979285544334826,-0.1623995171974513,5.571727200190706e-06,260,beta,-0.329536794657992,5.629937352347727e-08,0.2142708763828155,8.44490602852159e-07
G_score,realized_vol_oos,-0.2521266245404176,-0.3685036803370346,-0.13191349078476614,3.914613249909383e-05,260,price_volatility,-0.12453901626571821,0.0452446017589413,0.8157627651568056,0.452446017589413
G_score,max_drawdown_oos,0.11976554045519561,-0.010463110007317955,0.22983525507648253,0.053755166259383556,260,max_drawdown_1y,0.04362418134580151,0.484550958682358,0.4427612490850844,1.0
G_score,realized_beta_oos,-0.2698169180927801,-0.3888095480646357,-0.1409110153041453,1.0251415014545517e-05,260,beta,-0.23766810219650483,0.00011251532784529886,0.2142708763828155,0.001462699261988885
ESG_orthogonal,realized_vol_oos,-0.1844453775488258,-0.3070834062792102,-0.04389300922661424,0.002831909963305227,260,price_volatility,-0.15391260768024836,0.013145557271124679,0.8157627651568056,0.14460112998237146
ESG_orthogonal,max_drawdown_oos,0.06036821209235001,-0.0574217754207985,0.17796292731858152,0.33224464329262704,260,max_drawdown_1y,0.052994160613249595,0.3956965789625686,0.4427612490850844,1.0
ESG_orthogonal,realized_beta_oos,-0.10533542257680187,-0.21784118577606007,0.01755469919077883,0.09007212730920305,260,beta,-0.07068890535956945,0.25698498204830467,0.2142708763828155,1.0
