signal,horizon,neutralization,ic,ci_low,ci_high,p_two_sided,q5_minus_q1_pp,n,p_holm_within_horizon
ESG_composite,1m,country,-0.13797541383748277,-0.2527891561159158,0.003009602214983495,0.026100188026278472,-3.5791853896181434,260,0.2610018802627847
ESG_composite,1m,sector+country,-0.13502725916519018,-0.2649441000059964,-0.003985032847461902,0.029500224498374514,-4.086262842296769,260,0.32450246948211964
ESG_composite,3m,country,-0.07754507064851891,-0.20202948508499696,0.05122670270542974,0.21268022831106093,-8.549368825470804,260,1.0
ESG_composite,3m,sector+country,-0.014928532169911479,-0.14352761592185537,0.09761958164992314,0.8106645186200507,-2.606483218200238,260,1.0
ESG_composite,full,country,-0.11105762829900759,-0.23500971525865266,0.01595873124098404,0.07383154851506075,-14.490898360048185,260,1.0
ESG_composite,full,sector+country,-0.03368051643913712,-0.15667453387933244,0.07608099462361918,0.5887704552188096,-1.284519860482636,260,1.0
E_score,1m,country,-0.10417849790550975,-0.2308050999726491,0.03176018241220503,0.09367983313274617,-3.534377463995716,260,0.7494386650619693
E_score,1m,sector+country,-0.0956031848295419,-0.2167824559887878,0.03985990290684477,0.12413388953115798,-3.5359806774987566,260,1.0
E_score,3m,country,0.01838986284391241,-0.10300788876553799,0.14430975193109055,0.7678993002758889,-0.5443141567914059,260,1.0
E_score,3m,sector+country,0.021280049575117622,-0.11110240448714813,0.1380406472142319,0.7327152814319732,-1.4240631219577935,260,1.0
E_score,full,country,0.045289492360250094,-0.07697086343008029,0.16551538127162602,0.46714901165419653,0.4710485533235982,260,1.0
E_score,full,sector+country,0.036815229989743715,-0.08743629472667286,0.16079005234540444,0.5545419842097348,-1.2861685702525933,260,1.0
S_score,1m,country,-0.11556657073898452,-0.23909512210129363,0.01337036885438,0.06278439189304781,-4.871859661787459,260,0.5650595270374303
S_score,1m,sector+country,-0.06671172878069428,-0.19044502353764126,0.05889276785488471,0.28385230877520656,-3.3771605723608458,260,1.0
S_score,3m,country,-0.1643818126576747,-0.28423030263244486,-0.04369627430604952,0.007909789599095707,-13.299700966193527,260,0.15819579198191414
S_score,3m,sector+country,-0.03686490583042307,-0.17693095367617798,0.08177706028226348,0.5540074478495232,-2.415964587334171,260,1.0
S_score,full,country,-0.20659477211201346,-0.3148155438232455,-0.09227432430933767,0.0008039895812043806,-18.79985428187269,260,0.01607979162408761
S_score,full,sector+country,-0.04014966083931601,-0.17054131235391254,0.07021804934666644,0.5192289580175788,-0.7454299181361688,260,1.0
G_score,1m,country,-0.025083211290107838,-0.15289296866312,0.11010064277683394,0.6872651927442146,-2.989447012992052,260,1.0
G_score,1m,sector+country,-0.06356557391040149,-0.18612267590823636,0.0674043768507372,0.30722677161354633,-2.5927618605788614,260,1.0
G_score,3m,country,-0.11838704942153215,-0.2477065849832696,0.005143909158003078,0.05659243080585978,-11.85028068889553,260,0.9733760717835869
G_score,3m,sector+country,-0.026196791714033087,-0.15284233022526694,0.11159152147044155,0.6741586343433492,-3.0384837749773967,260,1.0
G_score,full,country,-0.17508747853575438,-0.2882786774442705,-0.05157099262883872,0.004632990495594894,-21.297094177083498,260,0.08802681941630298
G_score,full,sector+country,-0.10732771422426593,-0.2274259741306058,0.005418680914736085,0.08412074548056983,-5.9085928773328344,260,1.0
financial_score,1m,country,-0.19035534207948,-0.3162776747337956,-0.06652609732135342,0.0020503872613879264,-5.830266128446495,260,0.036906970704982674
financial_score,1m,sector+country,-0.22530852186024597,-0.34090020573885976,-0.1029806482285801,0.0002495788848547767,-6.390034023466983,260,0.004991577697095535
financial_score,3m,country,-0.09855425717494683,-0.22169168430878577,0.036084809329404936,0.1128881086257994,-6.888063275759873,260,1.0
financial_score,3m,sector+country,-0.08497690566656083,-0.20837324679575062,0.04277932460218345,0.17191341301876825,-5.556549965725045,260,1.0
financial_score,full,country,-0.09811729122073948,-0.2323357878845654,0.034355143818159364,0.11450103286152746,-8.394530827270076,260,1.0
financial_score,full,sector+country,-0.09753284925698717,-0.22926706756755905,0.025956781324815912,0.11668643737064707,-4.823746658578018,260,1.0
market_score,1m,country,-0.20793229758746998,-0.32314374568683407,-0.09416770140735739,0.0007419199986215452,-5.288742745011005,260,0.014838399972430905
market_score,1m,sector+country,-0.09295358260875503,-0.2176603427710748,0.027912990287783608,0.13495416957288214,-2.411681694491494,260,1.0
market_score,3m,country,-0.07288728668039011,-0.1983154758094564,0.052409560017293765,0.2415313815129345,-0.5087974645405485,260,1.0
market_score,3m,sector+country,0.0387438594335146,-0.07777010916871005,0.1632634435600918,0.5339751533509858,7.151281460592557,260,1.0
market_score,full,country,-0.11225245708004326,-0.23422898599483194,0.00987904970243323,0.07076065282817776,-0.9631833954134854,260,1.0
market_score,full,sector+country,-0.020724475896889687,-0.13961537654737183,0.10251463191623332,0.7394379814335387,7.3978830049897075,260,1.0
operational_score,1m,country,-0.04215765595075939,-0.166399724097886,0.07684501726897547,0.4985345380577898,-2.093466712327506,260,1.0
operational_score,1m,sector+country,-0.07047100150548426,-0.1897728882393106,0.04747623003928742,0.2575319432115524,-3.459293416775057,260,1.0
operational_score,3m,country,0.05094340266754059,-0.07615809227550764,0.17366089936105158,0.41335090432674715,5.24617042739386,260,1.0
operational_score,3m,sector+country,0.037036961174892205,-0.08899769425058436,0.15375290980015316,0.5521579888021234,4.55096807267583,260,1.0
operational_score,full,country,0.0026873406183751006,-0.1163543983571774,0.12390477443575693,0.9656032031887907,7.453578873173955,260,1.0
operational_score,full,sector+country,0.03525018007776628,-0.09229891623108955,0.16278901275310417,0.5715098637411946,7.934152919966232,260,1.0
risk_adjusted_score,1m,country,-0.03751830648382372,-0.15876647693909643,0.0883702430794703,0.5469999719958737,-0.9574575381851639,260,1.0
risk_adjusted_score,1m,sector+country,-0.035147766182248935,-0.16454174803244762,0.08926994611787227,0.5726287125477905,-0.7653133566378062,260,1.0
risk_adjusted_score,3m,country,0.09609017884879952,-0.02436376981603946,0.2172826299286616,0.1222204509514475,-1.5756145957785272,260,1.0
risk_adjusted_score,3m,sector+country,0.10732361766844523,-0.01600484669116199,0.2333131830589191,0.08413264981222025,-0.05185469541639054,260,1.0
risk_adjusted_score,full,country,0.03296703296703296,-0.09405025266625541,0.162263437104365,0.5966944850615392,-1.8029030462213997,260,1.0
risk_adjusted_score,full,sector+country,0.030448333896609756,-0.0985406288701356,0.15870355386171925,0.6250453784507355,0.6818734751346662,260,1.0
value_score,1m,country,0.020968220968220964,-0.09521934560722355,0.1397820671870939,0.7364860802982183,0.5243219655343413,260,1.0
value_score,1m,sector+country,0.037557223764120316,-0.08539856767017291,0.15835747222277657,0.5465839792198336,0.7117576247500554,260,1.0
value_score,3m,country,-0.119606457537492,-0.2370319173269879,-0.0018467216617671213,0.054076448432421494,-6.019433015865548,260,0.9733760717835869
value_score,3m,sector+country,-0.046502053398605116,-0.16461571395683178,0.07477797943632426,0.4552964921260829,-3.026424785782621,260,1.0
value_score,full,country,-0.057928713101126884,-0.19345882501344777,0.07004659080085167,0.35218821478754825,-5.129413215783123,260,1.0
value_score,full,sector+country,0.05753954029816098,-0.06726959278325967,0.174019129840945,0.3554381055471919,0.05949788227494457,260,1.0
growth_score,1m,country,0.03245906004526694,-0.09260886016751253,0.16430770084959218,0.6023653327216172,0.4313977122594136,260,1.0
growth_score,1m,sector+country,0.03252801873491528,-0.09617962516802565,0.15396064901263493,0.601594085179497,-0.16939750790458252,260,1.0
growth_score,3m,country,0.03829938312696933,-0.09648911406235626,0.17350018763984518,0.5386808667162655,-0.7418571123013495,260,1.0
growth_score,3m,sector+country,0.014747600954497505,-0.10451406068470882,0.12951733834300921,0.8129166929988108,-3.1340634012068693,260,1.0
growth_score,full,country,0.0576624369727818,-0.06652769240429848,0.1824536191363714,0.35440979814276696,5.443768307669854,260,1.0
growth_score,full,sector+country,0.036929767964250716,-0.08706006426599315,0.1548611673145445,0.5533098772214872,0.9699582358820755,260,1.0
stability_score,1m,country,-0.15400387124525053,-0.2705338979806396,-0.03382716141879217,0.012914379317851589,-4.543938950241107,260,0.14205817249636749
stability_score,1m,sector+country,-0.2150623529933874,-0.3362942942151325,-0.09116406531894675,0.0004793875495105252,-5.0079395187440845,260,0.008918967547806543
stability_score,3m,country,-0.07563744115468253,-0.19965195816358677,0.04403186999999897,0.22418213726483133,-5.344427696559409,260,1.0
