signal,horizon,top_n,excess_pp,ci_low,ci_high,p_one_sided,hit_rate_vs_median,n
pref_balanced,1m,19,2.2184851220980915,-2.5508431652127714,6.262924550527811,0.241,0.5263157894736842,260
pref_balanced,3m,19,0.928641784269116,-6.313109694432757,6.471101059795925,0.4895,0.5789473684210527,260
pref_balanced,full,19,1.8946796165395785,-11.206761506478239,11.035034083134953,0.5355,0.5789473684210527,260
pref_balanced,full_beta_adj,19,1.6257387193169621,-10.661805661854313,10.601454206876538,0.548,0.5789473684210527,260
pref_balanced,full_sector_neutral,19,3.122607772003778,-9.24362594650393,13.302634711041923,0.377,0.5263157894736842,260
pref_esg_first,1m,19,-0.5872356382196251,-3.7277024224372504,3.968584718910011,0.531,0.42105263157894735,260
pref_esg_first,3m,19,-5.722240783765433,-11.743194990810634,1.0017859399484137,0.944,0.42105263157894735,260
pref_esg_first,full,19,-9.371628749567364,-18.51647694653592,0.7989568965435045,0.959,0.3684210526315789,260
pref_esg_first,full_beta_adj,19,-8.586347755704372,-17.897207922117794,1.8792714726810005,0.9425,0.42105263157894735,260
pref_esg_first,full_sector_neutral,19,-0.796571832205315,-8.927969674034655,6.888666856472426,0.5465,0.47368421052631576,260
pref_financial_first,1m,19,1.538234444217943,-2.473020634495432,5.320327782461097,0.265,0.5263157894736842,260
pref_financial_first,3m,19,2.4986159917946686,-6.914148833462286,8.512693473570101,0.397,0.5789473684210527,260
pref_financial_first,full,19,0.8998128764013458,-10.461031559081205,13.790696300576487,0.4375,0.631578947368421,260
pref_financial_first,full_beta_adj,19,0.29131875795139944,-10.22141165893513,12.565687722804487,0.4955,0.631578947368421,260
pref_financial_first,full_sector_neutral,19,-1.3403343262385878,-12.796962027263579,12.041352161305092,0.529,0.5263157894736842,260
pref_equal_weight,1m,19,0.2617073022827494,-3.7182009246075967,5.182223119367417,0.4055,0.47368421052631576,260
pref_equal_weight,3m,19,-0.92932999368688,-6.77024528449251,7.327740189079441,0.4195,0.5789473684210527,260
pref_equal_weight,full,19,-2.8309665926151455,-11.421772212425783,7.697054554679377,0.6055,0.5789473684210527,260
pref_equal_weight,full_beta_adj,19,-3.7665701344525018,-12.118610496026166,6.9397018039306415,0.7255,0.5263157894736842,260
pref_equal_weight,full_sector_neutral,19,0.9824665491726992,-8.084871141887461,12.160022348744485,0.266,0.5263157894736842,260
pref_balanced_feb2026,1m,19,0.46387688484837,-3.156937025232005,4.466696560607514,0.428,0.47368421052631576,260
pref_balanced_feb2026,3m,19,-0.9775706258949041,-8.322063194375168,8.649146541364136,0.586,0.5263157894736842,260
pref_balanced_feb2026,full,19,2.101337461675897,-9.738225710516383,16.24468718198422,0.3525,0.631578947368421,260
pref_balanced_feb2026,full_beta_adj,19,1.2512864380814575,-9.835757754579072,15.317285058224188,0.404,0.631578947368421,260
pref_balanced_feb2026,full_sector_neutral,19,6.440218277392725,-4.224599481385901,15.54092556080153,0.142,0.631578947368421,260
pref_balanced_pre_audit,1m,19,1.2141969285757532,-3.797807784981229,4.345224026578565,0.4525,0.42105263157894735,260
pref_balanced_pre_audit,3m,19,-2.2906648326844046,-10.344619271614333,3.74698083749278,0.7745,0.5263157894736842,260
pref_balanced_pre_audit,full,19,-3.434790783206268,-12.593035073625432,4.936802571533874,0.785,0.5789473684210527,260
pref_balanced_pre_audit,full_beta_adj,19,-3.1885709978843852,-12.302720925659303,5.532948238053139,0.771,0.5789473684210527,260
pref_balanced_pre_audit,full_sector_neutral,19,-2.810395517196908,-11.898217563451425,7.7274392287934415,0.6325,0.47368421052631576,260
ESG_composite,1m,19,-1.0942955384291793,-5.196701129022448,3.626872435491563,0.6655,0.3684210526315789,260
ESG_composite,3m,19,-8.048614458623309,-17.036455494581332,0.3846391372858674,0.968,0.3684210526315789,260
ESG_composite,full,19,-19.886836428678315,-27.900471869722896,-10.222686938193913,1.0,0.21052631578947367,260
ESG_composite,full_beta_adj,19,-17.387900202026458,-26.299774750868167,-7.49382820047415,1.0,0.3157894736842105,260
ESG_composite,full_sector_neutral,19,-8.43112424479144,-16.1762103137328,0.468279638014611,0.968,0.3684210526315789,260
