variable,variable_type,n_total,n_outliers_iqr,n_outliers_iqr_extreme,n_outliers_mad,n_outliers_zscore,n_consensus_outliers,pct_outliers_iqr,pct_consensus
environmental_fines,count,60,4,2,4,1,4,6.666666666666667,6.666666666666667
scope2_emissions,count,60,5,3,6,1,5,8.333333333333332,8.333333333333332
avg_daily_volume,count,30,2,1,2,1,2,6.666666666666667,6.666666666666667
price_volatility,continuous,30,1,0,1,1,1,3.3333333333333335,3.3333333333333335
women_management_pct,bounded_pct,60,0,0,0,0,0,0.0,0.0
free_cashflow,count,40,9,7,7,1,7,22.5,17.5
price_momentum_1m,continuous,30,0,0,0,0,0,0.0,0.0
exec_comp_esg_linked,bounded_pct,60,0,0,0,0,0,0.0,0.0
gender_diversity_pct,bounded_pct,60,3,0,1,0,1,5.0,1.6666666666666667
roe,rate,50,5,5,5,1,5,10.0,10.0
emissions_intensity,rate,60,6,2,9,1,6,10.0,10.0
tax_transparency_score,bounded_pct,60,0,0,0,0,0,0.0,0.0
debt_to_equity,ratio,50,5,2,4,1,4,10.0,8.0
beta,continuous,60,0,0,0,0,0,0.0,0.0
safety_training_hours,continuous,60,0,0,0,0,0,0.0,0.0
r_d_intensity,rate,60,6,6,0,1,1,10.0,1.6666666666666667
price_to_book,ratio,60,8,6,8,1,8,13.333333333333334,13.333333333333334
ceo_pay_ratio,ratio,60,4,0,0,0,0,6.666666666666667,0.0
energy_efficiency,bounded_pct,60,4,0,0,0,0,6.666666666666667,0.0
avg_daily_volume_30d,count,30,1,1,1,1,1,3.3333333333333335,3.3333333333333335
injury_rate,continuous,60,9,1,9,1,9,15.0,15.0
revenue_per_employee,count,60,3,3,0,0,0,5.0,0.0
water_usage_intensity,rate,60,7,5,7,1,7,11.666666666666666,11.666666666666666
ebitda,count,51,3,3,12,2,3,5.88235294117647,5.88235294117647
market_share,rate,60,1,0,0,1,1,1.6666666666666667,1.6666666666666667
supply_chain_audit_pct,bounded_pct,60,1,0,0,0,0,1.6666666666666667,0.0
pay_gap_ratio,ratio,60,0,0,0,0,0,0.0,0.0
board_diversity_pct,bounded_pct,60,0,0,0,0,0,0.0,0.0
net_income,count,60,6,5,13,3,6,10.0,10.0
net_margin,rate,60,1,0,0,0,0,1.6666666666666667,0.0
bid_ask_spread,continuous,60,5,2,3,2,3,8.333333333333332,5.0
renewable_energy_pct,bounded_pct,60,1,0,0,1,1,1.6666666666666667,1.6666666666666667
data_privacy_score,bounded_pct,60,0,0,0,0,0,0.0,0.0
employees,count,60,8,5,8,1,8,13.333333333333334,13.333333333333334
price_momentum_3m,continuous,30,0,0,0,0,0,0.0,0.0
price_momentum_6m,continuous,30,1,0,0,1,1,3.3333333333333335,3.3333333333333335
trailing_pe,ratio,60,6,3,4,1,4,10.0,6.666666666666667
free_float_pct,bounded_pct,60,0,0,0,0,0,0.0,0.0
scope1_emissions,count,60,6,4,6,1,6,10.0,10.0
total_revenue,count,60,8,5,8,1,8,13.333333333333334,13.333333333333334
roa,rate,48,1,1,1,1,1,2.083333333333333,2.083333333333333
waste_recycling_pct,bounded_pct,60,0,0,0,0,0,0.0,0.0
scope3_emissions,count,60,7,4,6,1,6,11.666666666666666,10.0
employee_satisfaction,bounded_pct,60,1,0,0,0,0,1.6666666666666667,0.0
esg_controversy_score,bounded_pct,60,0,0,0,0,0,0.0,0.0
employee_turnover,continuous,60,1,0,0,0,0,1.6666666666666667,0.0
ethics_compliance_score,bounded_pct,60,1,0,0,0,0,1.6666666666666667,0.0
price,count,30,1,0,1,1,1,3.3333333333333335,3.3333333333333335
market_cap,count,60,5,1,18,1,5,8.333333333333332,8.333333333333332
board_independence_pct,bounded_pct,60,0,0,0,0,0,0.0,0.0
operating_margin,rate,60,0,0,0,0,0,0.0,0.0
community_investment_pct,bounded_pct,60,0,0,0,0,0,0.0,0.0
shareholder_rights_score,bounded_pct,60,0,0,0,0,0,0.0,0.0
