profile,factor,direction,perturbation_pct,original_weight,perturbed_weight,spearman_r,kendall_tau,top20_overlap,rank_instability
ESG-First,ESG_composite,increase,10,0.55,0.5735,0.999565,0.98574,19,0.000435
ESG-First,ESG_composite,decrease,10,0.55,0.5238,0.999583,0.985463,19,0.000417
ESG-First,financial_score,increase,10,0.08,0.0873,0.999844,0.992732,19,0.000156
ESG-First,financial_score,decrease,10,0.08,0.0726,0.999819,0.992121,19,0.000181
ESG-First,market_score,increase,10,0.02,0.022,0.999983,0.998668,19,1.7e-05
ESG-First,market_score,decrease,10,0.02,0.018,0.99999,0.999223,19,1e-05
ESG-First,operational_score,increase,10,0.05,0.0547,0.99991,0.994895,19,9e-05
ESG-First,operational_score,decrease,10,0.05,0.0452,0.999885,0.994563,19,0.000115
ESG-First,risk_adjusted_score,increase,10,0.08,0.0873,0.999866,0.99312,19,0.000134
ESG-First,risk_adjusted_score,decrease,10,0.08,0.0726,0.999861,0.99373,19,0.000139
ESG-First,growth_score,increase,10,0.06,0.0656,0.999803,0.991733,19,0.000197
ESG-First,growth_score,decrease,10,0.06,0.0543,0.999826,0.991566,19,0.000174
ESG-First,value_score,increase,10,0.03,0.0329,0.999936,0.996227,19,6.4e-05
ESG-First,value_score,decrease,10,0.03,0.0271,0.999911,0.995006,19,8.9e-05
ESG-First,stability_score,increase,10,0.06,0.0656,0.999847,0.992177,19,0.000153
ESG-First,stability_score,decrease,10,0.06,0.0543,0.999844,0.99251,19,0.000156
ESG-First,similarity_rank,increase,10,0.0,0.0,1.0,1.0,19,0.0
ESG-First,similarity_rank,decrease,10,0.0,0.0,1.0,1.0,19,0.0
ESG-First,sector_position,increase,10,0.07,0.0765,0.999946,0.996948,19,5.4e-05
ESG-First,sector_position,decrease,10,0.07,0.0634,0.999931,0.996061,19,6.9e-05
Balanced,ESG_composite,increase,10,0.22,0.2368,0.999615,0.986406,19,0.000385
Balanced,ESG_composite,decrease,10,0.22,0.2025,0.999676,0.98746,18,0.000324
Balanced,financial_score,increase,10,0.18,0.1945,0.999531,0.984742,18,0.000469
Balanced,financial_score,decrease,10,0.18,0.165,0.999577,0.985241,18,0.000423
Balanced,market_score,increase,10,0.05,0.0547,0.999943,0.99656,19,5.7e-05
Balanced,market_score,decrease,10,0.05,0.0452,0.999949,0.996615,19,5.1e-05
Balanced,operational_score,increase,10,0.06,0.0656,0.999873,0.993841,19,0.000127
Balanced,operational_score,decrease,10,0.06,0.0543,0.999897,0.994341,19,0.000103
Balanced,risk_adjusted_score,increase,10,0.15,0.1626,0.999702,0.988182,18,0.000298
Balanced,risk_adjusted_score,decrease,10,0.15,0.1371,0.99967,0.988404,19,0.00033
Balanced,growth_score,increase,10,0.14,0.1519,0.999399,0.982078,18,0.000601
Balanced,growth_score,decrease,10,0.14,0.1278,0.999318,0.980913,19,0.000682
Balanced,value_score,increase,10,0.04,0.0438,0.99991,0.994784,19,9e-05
Balanced,value_score,decrease,10,0.04,0.0361,0.999895,0.994507,18,0.000105
Balanced,stability_score,increase,10,0.08,0.0873,0.999782,0.990346,19,0.000218
Balanced,stability_score,decrease,10,0.08,0.0726,0.999781,0.990179,19,0.000219
Balanced,similarity_rank,increase,10,0.0,0.0,1.0,1.0,19,0.0
Balanced,similarity_rank,decrease,10,0.0,0.0,1.0,1.0,19,0.0
Balanced,sector_position,increase,10,0.08,0.0873,0.999937,0.99595,19,6.3e-05
Balanced,sector_position,decrease,10,0.08,0.0726,0.999903,0.995006,19,9.7e-05
Financial-First,ESG_composite,increase,10,0.05,0.0547,0.999943,0.996172,19,5.7e-05
Financial-First,ESG_composite,decrease,10,0.05,0.0452,0.999937,0.995839,19,6.3e-05
Financial-First,financial_score,increase,10,0.25,0.2683,0.9992,0.979526,18,0.0008
Financial-First,financial_score,decrease,10,0.25,0.2308,0.99897,0.976918,19,0.00103
Financial-First,market_score,increase,10,0.1,0.1089,0.999871,0.993508,19,0.000129
Financial-First,market_score,decrease,10,0.1,0.0909,0.999836,0.992399,19,0.000164
Financial-First,operational_score,increase,10,0.08,0.0873,0.999829,0.992121,19,0.000171
Financial-First,operational_score,decrease,10,0.08,0.0726,0.999733,0.989624,19,0.000267
Financial-First,risk_adjusted_score,increase,10,0.18,0.1945,0.999511,0.984242,19,0.000489
Financial-First,risk_adjusted_score,decrease,10,0.18,0.165,0.999591,0.986018,19,0.000409
Financial-First,growth_score,increase,10,0.15,0.1626,0.999067,0.977751,19,0.000933
Financial-First,growth_score,decrease,10,0.15,0.1371,0.999167,0.978472,18,0.000833
Financial-First,value_score,increase,10,0.07,0.0765,0.999753,0.990068,19,0.000247
Financial-First,value_score,decrease,10,0.07,0.0634,0.999652,0.986906,19,0.000348
Financial-First,stability_score,increase,10,0.07,0.0765,0.999776,0.990512,19,0.000224
Financial-First,stability_score,decrease,10,0.07,0.0634,0.99979,0.990457,18,0.00021
Financial-First,similarity_rank,increase,10,0.0,0.0,1.0,1.0,19,0.0
Financial-First,similarity_rank,decrease,10,0.0,0.0,1.0,1.0,19,0.0
Financial-First,sector_position,increase,10,0.05,0.0547,0.999939,0.996116,19,6.1e-05
Financial-First,sector_position,decrease,10,0.05,0.0452,0.999928,0.995839,19,7.2e-05
