profile,factor,mean_spearman,mean_kendall,mean_top20_overlap,mean_rank_instability
Balanced,growth_score,0.999201,0.9798685,19.5,0.000799
Balanced,ESG_composite,0.9994885,0.985112,20.0,0.0005115
Balanced,risk_adjusted_score,0.999583,0.9861925,19.5,0.000417
Balanced,financial_score,0.999672,0.9884585,20.0,0.000328
Balanced,stability_score,0.999727,0.9890909999999999,19.5,0.000273
Balanced,operational_score,0.999864,0.9931490000000001,19.5,0.000136
Balanced,sector_position,0.9999089999999999,0.9947565,20.0,9.1e-05
Balanced,market_score,0.9999235,0.9952570000000001,20.0,7.65e-05
Balanced,value_score,0.999925,0.995441,20.0,7.500000000000001e-05
Balanced,similarity_rank,1.0,1.0,20.0,0.0
ESG-First,ESG_composite,0.999647,0.987009,19.0,0.000353
ESG-First,growth_score,0.9998575000000001,0.99249,19.5,0.0001425
ESG-First,stability_score,0.99987,0.9931490000000001,20.0,0.00013000000000000002
ESG-First,risk_adjusted_score,0.9998975,0.9940975000000001,19.5,0.0001025
ESG-First,operational_score,0.9999315,0.9954415000000001,19.5,6.85e-05
ESG-First,financial_score,0.9999395,0.9959685,19.5,6.049999999999999e-05
ESG-First,sector_position,0.9999485,0.9964424999999999,20.0,5.1500000000000005e-05
ESG-First,value_score,0.999968,0.9976285,19.5,3.2e-05
ESG-First,market_score,0.9999785,0.9982344999999999,19.5,2.15e-05
ESG-First,similarity_rank,1.0,1.0,20.0,0.0
Financial-First,growth_score,0.9990429999999999,0.977892,19.5,0.000957
Financial-First,financial_score,0.999169,0.9799739999999999,19.5,0.0008309999999999999
Financial-First,risk_adjusted_score,0.999459,0.9835575000000001,19.5,0.000541
Financial-First,stability_score,0.9997480000000001,0.9895385,19.5,0.000252
Financial-First,operational_score,0.9997510000000001,0.990066,20.0,0.000249
Financial-First,market_score,0.9997525,0.9902504999999999,19.5,0.0002475
Financial-First,value_score,0.9998145,0.9914624999999999,19.5,0.0001855
Financial-First,ESG_composite,0.999906,0.994888,20.0,9.400000000000001e-05
Financial-First,sector_position,0.999914,0.995204,19.5,8.6e-05
Financial-First,similarity_rank,1.0,1.0,20.0,0.0
