proxy_name,target_esg_col,n_real,n_proxy,n_overlap,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,kendall_tau,kendall_p,mean_real,mean_proxy,cohens_d,effect_size,ks_stat,ks_p,note,spearman_p_fdr,fdr_significant,ks_p_fdr
energy_efficiency_proxy,renewable_energy_pct,0,312,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=312)",,,
emissions_intensity_proxy,scope1_emissions,0,314,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=314)",,,
employee_productivity_proxy,employee_satisfaction,0,303,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=303)",,,
workforce_investment_proxy,gender_diversity_pct,0,314,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=314)",,,
financial_transparency_proxy,anti_corruption_policy,0,0,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=0)",,,
capital_efficiency_proxy,energy_efficiency,0,0,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=0)",,,
debt_discipline_proxy,shareholder_rights_score,254,67,321,-0.1059,0.058111,-0.2129,0.0036,-0.0895,0.058228,53.5827,49.6372,0.1472,negligible,0.3506,3e-06,proxy-real rank uncorrelated (good),,,
workforce_scale_proxy,safety_training_hours,0,305,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=305)",,,
waste_efficiency_proxy,waste_recycling_pct,0,314,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=314)",,,
supply_chain_proxy,supply_chain_audit_pct,0,321,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=321)",,,
board_quality_proxy,board_diversity_pct,0,314,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=314)",,,
community_proxy,community_investment_pct,0,321,0,,,,,,,,,,N/A,,,"insufficient data (real=0, proxy=321)",,,
