proxy_name,target_esg_col,n_total,n_proxy,n_real,n_synthetic,n_imputed,proxy_pct,real_pct,proxy_std,proxy_iqr,rationale
supply_chain_proxy,supply_chain_audit_pct,321,321,0,0,0,100.0,0.0,14.86,25.47,"payout + current ratio within sector (Krause et al., 2009)"
community_proxy,community_investment_pct,321,321,0,0,0,100.0,0.0,14.86,25.48,"div yield + FCF/rev within sector (Waddock & Graves, 1997)"
emissions_intensity_proxy,scope1_emissions,321,314,0,0,0,97.8,0.0,15.02,22.99,"operating margin pctile within sector (Busch & Lewandowski, 2018)"
workforce_investment_proxy,gender_diversity_pct,321,314,0,0,0,97.8,0.0,15.02,26.12,"R&D intensity within sector (Hewlett et al., 2013)"
waste_efficiency_proxy,waste_recycling_pct,321,314,0,0,0,97.8,0.0,15.02,27.27,"gross margin pctile within sector (Guenster et al., 2011)"
board_quality_proxy,board_diversity_pct,321,314,0,0,0,97.8,0.0,15.02,26.08,"mcap quartile * 1/beta within sector (Adams & Ferreira, 2009)"
energy_efficiency_proxy,renewable_energy_pct,321,312,0,0,2,97.2,0.0,15.02,26.08,"rev/mcap within sector (Eccles et al., 2014)"
workforce_scale_proxy,safety_training_hours,321,305,0,0,9,95.0,0.0,15.02,22.53,"log(employees) * margin pctile (Dye, 1993)"
employee_productivity_proxy,employee_satisfaction,321,303,0,0,11,94.4,0.0,15.02,26.4,"revenue per employee within sector (Edmans, 2011)"
debt_discipline_proxy,shareholder_rights_score,321,67,254,0,0,20.9,79.1,13.56,21.52,"1/D-E + div yield within sector (Bebchuk et al., 2009)"
financial_transparency_proxy,anti_corruption_policy,321,0,0,0,0,0.0,0.0,,,"low audit risk + analyst coverage (Lang & Lundholm, 1996)"
capital_efficiency_proxy,energy_efficiency,321,0,0,0,0,0.0,0.0,,,"asset turnover within sector (Konar & Cohen, 2001)"
