ticker,base_rank,avg_rank,rank_std,rank_range,rank_stable
INCY,1.0,1.0,0.0,0.0,True
CTRA,2.0,2.0,0.0,0.0,True
DECK,3.0,3.5,0.6244997998398398,2.0,True
NAVINFLUOR.NS,4.0,3.63,0.6269768735766894,3.0,True
STAG,5.0,4.91,0.3192177939902474,2.0,True
GGG,6.0,6.33,0.6173329733620261,5.0,True
MUTHOOTFIN.NS,7.0,6.68,0.5075431016179808,2.0,True
GRMN,8.0,8.53,0.6849087530467107,2.0,True
ATO,9.0,8.89,0.7334166619323561,3.0,True
STLD,10.0,9.79,0.9828021163998376,5.0,True
NNN,11.0,11.77,2.1394158081121115,11.0,True
RS,12.0,12.47,1.734675762210333,7.0,True
TORNTPHARM.NS,13.0,15.94,3.055552323230614,10.0,False
WTS,14.0,16.17,2.3024117789830734,9.0,True
SCHAEFFLER.NS,15.0,16.32,2.603382415243677,11.0,True
PIDILITIND.NS,16.0,16.22,1.8470517047446184,9.0,True
GMED,17.0,16.72,3.4440673628719867,11.0,False
EWBC,18.0,16.13,2.26563456894531,8.0,True
MTCH,19.0,16.44,2.6507357469200885,9.0,True
IBKR,20.0,18.2,3.178049716414141,14.0,False
FIVE,21.0,24.0,3.521363372331802,17.0,False
WSM,22.0,22.53,2.9713801507043827,13.0,True
CBT,23.0,22.15,1.7628102563804193,12.0,True
RPM,24.0,24.03,1.359816164045714,7.0,True
ALLE,25.0,25.47,2.0806489372308823,12.0,True
VEEV,26.0,25.61,4.214012339801581,18.0,False
CDNS,27.0,27.63,2.35650164438729,10.0,True
MARICO.NS,28.0,29.88,3.2719413197672114,13.0,False
ITT,29.0,30.16,1.718836815989232,8.0,True
HOLX,30.0,30.0,2.949576240750525,12.0,True
RRC,31.0,30.41,3.455705427260836,16.0,False
LULU,32.0,30.42,4.166965322629887,21.0,False
YETI,33.0,31.31,2.9212839642869364,13.0,True
ILMN,34.0,31.71,2.9842754564550504,16.0,True
CANFINHOME.NS,35.0,35.38,2.568190024122047,13.0,True
FTNT,36.0,36.06,1.5350570021989411,8.0,True
WBS,37.0,36.77,2.493411317853514,13.0,True
EMAMILTD.NS,38.0,38.08,2.4806450773941844,11.0,True
OBEROIRLTY.NS,39.0,39.07,1.5508384828859514,10.0,True
MWA,40.0,39.39,1.4414922823241196,7.0,True
DXCM,41.0,41.98,2.493912588684696,11.0,True
QLYS,42.0,42.2,1.8110770276274832,11.0,True
LAMR,43.0,42.66,2.72477522008697,13.0,True
WING,44.0,44.79,2.3634508668470344,15.0,True
OVV,45.0,45.18,1.7110230857589268,9.0,True
CUMMINSIND.NS,46.0,45.66,3.2930836612512593,20.0,False
PERSISTENT.NS,47.0,46.16,2.4808063205337088,13.0,True
AIAENG.NS,48.0,48.22,2.1098815132608753,12.0,True
CMS,49.0,50.48,3.427768953707353,18.0,False
WEC,50.0,51.61,2.7272513635526887,11.0,True
ZWS,51.0,51.97,3.0214400540139796,13.0,False
BOOT,52.0,53.75,4.515251930955791,18.0,False
TROW,53.0,53.64,4.080490166634396,19.0,False
UPL.NS,54.0,56.33,4.2238726306554275,17.0,False
MTDR,55.0,56.38,4.110425768700853,17.0,False
SEE,56.0,58.37,5.11401016815571,23.0,False
WWD,57.0,59.84,6.484936391361136,26.0,False
GODREJCP.NS,58.0,59.0,4.547526800360829,17.0,False
INVH,59.0,59.25,6.096515398159837,25.0,False
NATCOPHARM.NS,60.0,61.28,3.2804877686100284,13.0,False
NRG,61.0,60.15,5.144657422997182,18.0,False
INGR,62.0,61.4,4.580392996239515,18.0,False
ELS,63.0,61.37,3.491861967489551,17.0,False
MEDP,64.0,61.72,6.5162565940883574,27.0,False
PAGEIND.NS,65.0,63.23,5.65306111766006,25.0,False
CHRD,66.0,64.77,5.560314739293092,24.0,False
COLPAL.NS,67.0,65.3,6.1959664298638675,28.0,False
CUBE,68.0,67.37,5.123777903071131,24.0,False
AJANTPHARM.NS,69.0,69.22,1.4736349615830915,8.0,True
ATUL.NS,70.0,70.17,4.808440495628494,32.0,False
NGVT,71.0,69.96,5.2875703305015245,29.0,False
BMRN,72.0,70.41,4.3245693427207295,20.0,False
ENDURANCE.NS,73.0,73.98,4.569420094497769,24.0,False
DTE,74.0,73.57,4.720709692408548,22.0,False
IIFL.NS,75.0,75.29,3.6146784089321145,20.0,False
AWI,76.0,75.71,2.957346783858802,15.0,True
SIG,77.0,76.78,4.253422151632729,22.0,False
HRMY,78.0,77.14,3.789511841913151,21.0,False
REXR,79.0,77.95,3.0178634826645157,15.0,False
