factor,ticker,benchmark_score,midcap_mean,midcap_std,z_score,direction,flagged_degradation,reason
ESG_composite,AAPL,64.71,48.39,9.51,1.716,over,False,Within normal range -- factor generalizes adequately
ESG_composite,MSFT,66.55,48.39,9.51,1.91,over,False,Within normal range -- factor generalizes adequately
ESG_composite,GOOGL,66.94,48.39,9.51,1.951,over,False,Within normal range -- factor generalizes adequately
ESG_composite,AMZN,59.03,48.39,9.51,1.119,over,False,Within normal range -- factor generalizes adequately
ESG_composite,NVDA,64.39,48.39,9.51,1.682,over,False,Within normal range -- factor generalizes adequately
ESG_composite,JNJ,66.01,48.39,9.51,1.853,over,False,Within normal range -- factor generalizes adequately
ESG_composite,JPM,58.82,48.39,9.51,1.096,over,False,Within normal range -- factor generalizes adequately
ESG_composite,XOM,54.76,48.39,9.51,0.67,over,False,Within normal range -- factor generalizes adequately
ESG_composite,PG,66.64,48.39,9.51,1.919,over,False,Within normal range -- factor generalizes adequately
ESG_composite,UNH,49.82,48.39,9.51,0.15,over,False,Within normal range -- factor generalizes adequately
ESG_composite,CAT,58.39,48.39,9.51,1.051,over,False,Within normal range -- factor generalizes adequately
ESG_composite,NEE,66.81,48.39,9.51,1.937,over,False,Within normal range -- factor generalizes adequately
ESG_composite,KO,65.36,48.39,9.51,1.785,over,False,Within normal range -- factor generalizes adequately
ESG_composite,CVX,50.68,48.39,9.51,0.241,over,False,Within normal range -- factor generalizes adequately
ESG_composite,HON,64.61,48.39,9.51,1.705,over,False,Within normal range -- factor generalizes adequately
ESG_composite,BRK-B,49.6,48.39,9.51,0.127,over,False,Within normal range -- factor generalizes adequately
ESG_composite,META,66.9,48.39,9.51,1.946,over,False,Within normal range -- factor generalizes adequately
ESG_composite,AVGO,59.9,48.39,9.51,1.21,over,False,Within normal range -- factor generalizes adequately
ESG_composite,ADBE,63.74,48.39,9.51,1.614,over,False,Within normal range -- factor generalizes adequately
ESG_composite,CRM,59.68,48.39,9.51,1.187,over,False,Within normal range -- factor generalizes adequately
ESG_composite,CSCO,66.12,48.39,9.51,1.864,over,False,Within normal range -- factor generalizes adequately
ESG_composite,INTC,50.25,48.39,9.51,0.196,over,False,Within normal range -- factor generalizes adequately
ESG_composite,AMD,46.54,48.39,9.51,-0.194,under,False,Within normal range -- factor generalizes adequately
ESG_composite,ORCL,53.9,48.39,9.51,0.579,over,False,Within normal range -- factor generalizes adequately
ESG_composite,LLY,66.99,48.39,9.51,1.955,over,False,Within normal range -- factor generalizes adequately
ESG_composite,ABBV,66.86,48.39,9.51,1.941,over,False,Within normal range -- factor generalizes adequately
ESG_composite,MRK,66.77,48.39,9.51,1.932,over,False,Within normal range -- factor generalizes adequately
ESG_composite,PFE,65.04,48.39,9.51,1.75,over,False,Within normal range -- factor generalizes adequately
ESG_composite,TMO,51.95,48.39,9.51,0.374,over,False,Within normal range -- factor generalizes adequately
ESG_composite,BAC,64.07,48.39,9.51,1.648,over,False,Within normal range -- factor generalizes adequately
ESG_composite,WFC,47.51,48.39,9.51,-0.092,under,False,Within normal range -- factor generalizes adequately
ESG_composite,GS,59.99,48.39,9.51,1.219,over,False,Within normal range -- factor generalizes adequately
ESG_composite,MS,60.16,48.39,9.51,1.237,over,False,Within normal range -- factor generalizes adequately
ESG_composite,BLK,65.26,48.39,9.51,1.773,over,False,Within normal range -- factor generalizes adequately
ESG_composite,WMT,53.57,48.39,9.51,0.545,over,False,Within normal range -- factor generalizes adequately
ESG_composite,HD,65.47,48.39,9.51,1.796,over,False,Within normal range -- factor generalizes adequately
ESG_composite,MCD,64.93,48.39,9.51,1.739,over,False,Within normal range -- factor generalizes adequately
ESG_composite,NKE,63.31,48.39,9.51,1.568,over,False,Within normal range -- factor generalizes adequately
ESG_composite,COST,46.0,48.39,9.51,-0.251,under,False,Within normal range -- factor generalizes adequately
ESG_composite,RTX,54.11,48.39,9.51,0.602,over,False,Within normal range -- factor generalizes adequately
ESG_composite,LMT,48.05,48.39,9.51,-0.035,under,False,Within normal range -- factor generalizes adequately
ESG_composite,GE,63.63,48.39,9.51,1.603,over,False,Within normal range -- factor generalizes adequately
ESG_composite,DE,59.77,48.39,9.51,1.197,over,False,Within normal range -- factor generalizes adequately
ESG_composite,NFLX,58.51,48.39,9.51,1.065,over,False,Within normal range -- factor generalizes adequately
ESG_composite,DIS,63.09,48.39,9.51,1.546,over,False,Within normal range -- factor generalizes adequately
financial_score,AAPL,57.25,48.74,9.68,0.878,over,False,Within normal range -- factor generalizes adequately
financial_score,MSFT,58.79,48.74,9.68,1.038,over,False,Within normal range -- factor generalizes adequately
financial_score,GOOGL,58.12,48.74,9.68,0.968,over,False,Within normal range -- factor generalizes adequately
financial_score,AMZN,52.77,48.74,9.68,0.416,over,False,Within normal range -- factor generalizes adequately
financial_score,NVDA,59.19,48.74,9.68,1.079,over,False,Within normal range -- factor generalizes adequately
financial_score,JNJ,58.69,48.74,9.68,1.028,over,False,Within normal range -- factor generalizes adequately
financial_score,JPM,43.43,48.74,9.68,-0.548,under,False,Within normal range -- factor generalizes adequately
financial_score,XOM,45.42,48.74,9.68,-0.343,under,False,Within normal range -- factor generalizes adequately
financial_score,PG,58.74,48.74,9.68,1.033,over,False,Within normal range -- factor generalizes adequately
financial_score,UNH,32.98,48.74,9.68,-1.628,under,False,Within normal range -- factor generalizes adequately
financial_score,CAT,52.89,48.74,9.68,0.429,over,False,Within normal range -- factor generalizes adequately
financial_score,NEE,56.75,48.74,9.68,0.827,over,False,Within normal range -- factor generalizes adequately
financial_score,KO,59.24,48.74,9.68,1.084,over,False,Within normal range -- factor generalizes adequately
financial_score,CVX,39.85,48.74,9.68,-0.918,under,False,Within normal range -- factor generalizes adequately
financial_score,HON,52.02,48.74,9.68,0.339,over,False,Within normal range -- factor generalizes adequately
financial_score,BRK-B,44.93,48.74,9.68,-0.394,under,False,Within normal range -- factor generalizes adequately
financial_score,META,59.09,48.74,9.68,1.069,over,False,Within normal range -- factor generalizes adequately
financial_score,AVGO,57.5,48.74,9.68,0.904,over,False,Within normal range -- factor generalizes adequately
financial_score,ADBE,57.87,48.74,9.68,0.943,over,False,Within normal range -- factor generalizes adequately
