ticker,rank_esg_first,rank_balanced,rank_financial_first,score_esg_first,score_balanced,score_financial_first,rank_range,rank_std,consistent
AAPL,14,11,17,84.56,79.31,74.45,6,2.45,True
MSFT,5,9,24,87.44,80.21,73.03,19,8.18,True
GOOGL,1,2,7,91.77,86.03,79.97,6,2.62,True
AMZN,36,28,41,75.25,73.3,69.45,13,5.35,True
NVDA,2,1,4,89.2,87.47,82.62,3,1.25,True
JNJ,6,8,10,87.1,81.63,78.05,4,1.63,True
JPM,95,115,168,65.73,56.19,49.85,73,30.8,False
XOM,93,68,85,65.81,64.07,60.3,25,10.42,True
PG,23,62,87,80.36,65.97,59.67,64,26.34,False
UNH,209,289,313,40.27,28.08,21.12,104,44.46,False
CAT,77,54,52,68.96,67.41,66.13,25,11.34,True
NEE,12,18,34,84.89,76.62,70.65,22,9.29,True
KO,22,34,47,80.51,72.14,67.17,25,10.21,True
CVX,145,176,220,53.52,48.94,42.84,75,30.77,False
HON,55,113,170,72.2,56.37,49.48,115,46.95,False
BRK-B,160,178,192,50.96,48.69,47.13,32,13.1,True
META,8,32,64,85.59,72.63,63.7,56,22.94,True
AVGO,24,14,16,80.21,78.81,74.84,10,4.32,True
ADBE,48,93,145,73.52,59.49,51.81,97,39.63,False
CRM,94,138,203,65.76,52.59,45.72,109,44.77,False
CSCO,21,37,51,81.1,71.31,66.24,30,12.26,True
INTC,184,222,240,46.26,41.54,39.47,56,23.34,True
AMD,158,91,83,51.39,59.99,60.33,75,33.63,False
ORCL,121,101,124,57.99,57.83,53.83,23,10.21,True
LLY,13,19,42,84.81,75.84,68.56,29,12.5,True
ABBV,20,59,97,81.13,66.31,58.26,77,31.44,False
MRK,11,23,31,84.97,74.62,70.87,20,8.22,True
PFE,27,57,73,79.49,67.1,62.77,46,19.07,True
TMO,175,226,269,48.02,41.25,34.71,94,38.42,False
BAC,38,96,174,74.78,59.01,48.92,136,55.72,False
WFC,208,251,282,40.5,36.04,31.83,74,30.34,False
GS,82,108,165,68.24,56.76,50.35,83,34.66,False
MS,60,84,117,71.03,61.29,54.54,57,23.37,True
BLK,62,162,251,70.95,50.53,37.89,189,77.2,False
WMT,129,160,193,55.76,50.66,47.08,64,26.13,False
HD,35,80,121,75.51,61.8,54.18,86,35.12,False
MCD,16,21,33,83.25,75.54,70.81,17,7.13,True
NKE,107,244,306,61.89,37.67,23.79,199,83.14,False
COST,178,141,161,46.97,52.47,50.9,37,15.12,True
RTX,127,182,211,55.96,48.13,44.07,84,34.84,False
LMT,159,105,98,50.99,56.91,58.19,61,27.26,False
GE,31,56,99,76.64,67.1,58.07,68,28.08,False
DE,74,103,157,69.56,57.36,51.26,83,34.39,False
NFLX,71,50,57,69.94,68.53,65.49,21,8.73,True
DIS,99,193,254,64.99,46.9,37.19,155,63.75,False
