factor,midcap_mean,midcap_std,midcap_min,midcap_max,highcap_mean,highcap_std,highcap_min,highcap_max,mean_deviation,mean_abs_zscore,zscore_AAPL,zscore_MSFT,zscore_GOOGL,zscore_AMZN,zscore_NVDA,zscore_JNJ,zscore_JPM,zscore_XOM,zscore_PG,zscore_UNH,zscore_CAT,zscore_NEE,zscore_KO,zscore_CVX,zscore_HON,zscore_BRK-B,zscore_META,zscore_AVGO,zscore_ADBE,zscore_CRM,zscore_CSCO,zscore_INTC,zscore_AMD,zscore_ORCL,zscore_LLY,zscore_ABBV,zscore_MRK,zscore_PFE,zscore_TMO,zscore_BAC,zscore_WFC,zscore_GS,zscore_MS,zscore_BLK,zscore_WMT,zscore_HD,zscore_MCD,zscore_NKE,zscore_COST,zscore_RTX,zscore_LMT,zscore_GE,zscore_DE,zscore_NFLX,zscore_DIS
ESG_composite,48.39,9.51,33.14,66.73,59.89,6.72,46.0,66.99,11.51,1.235,1.716,1.91,1.951,1.119,1.682,1.853,1.096,0.67,1.919,0.15,1.051,1.937,1.785,0.241,1.705,0.127,1.946,1.21,1.614,1.187,1.864,0.196,-0.194,0.579,1.955,1.941,1.932,1.75,0.374,1.648,-0.092,1.219,1.237,1.773,0.545,1.796,1.739,1.568,-0.251,0.602,-0.035,1.603,1.197,1.065,1.546
financial_score,48.74,9.68,33.17,66.56,48.74,9.68,30.99,59.29,0.0,0.886,0.878,1.038,0.968,0.416,1.079,1.028,-0.548,-0.343,1.033,-1.628,0.429,0.827,1.084,-0.918,0.339,-0.394,1.069,0.904,0.943,-0.137,0.48,-1.576,-0.836,0.814,1.089,1.064,1.058,0.377,-0.497,-1.397,-1.525,-1.268,-0.6,-0.021,-1.217,0.737,1.074,-1.834,-1.756,-1.744,-0.458,0.454,-0.433,0.763,-0.816
market_score,48.62,9.66,34.28,66.86,48.62,9.66,30.58,59.13,0.0,0.852,0.79,-0.586,0.804,0.536,0.358,1.054,0.284,0.296,0.267,-1.789,1.06,1.037,0.932,-0.716,0.578,0.29,-1.231,0.228,-1.676,-1.061,0.917,0.833,0.762,-1.868,-0.171,-1.602,1.009,0.346,-1.71,-0.213,-0.631,1.015,0.607,-1.76,1.088,-0.044,0.861,-1.851,0.889,0.564,0.818,-1.608,0.734,0.205,-0.648
operational_score,47.23,13.62,19.0,81.01,47.23,13.62,13.89,66.11,0.0,0.849,0.679,0.761,0.446,0.403,1.386,0.851,-0.649,0.242,0.828,0.007,0.572,0.711,-0.623,-0.855,-0.384,-0.345,1.065,0.942,1.292,0.582,-0.149,-1.538,-0.64,-1.391,0.774,1.383,1.084,1.17,-1.653,0.242,-1.678,-0.814,-1.288,0.373,-1.563,-0.555,0.627,-0.371,-1.387,0.114,-0.781,0.95,0.248,1.379,-2.448
risk_adjusted_score,48.83,9.74,33.11,66.73,57.2,8.51,34.15,66.86,8.37,1.082,1.603,1.197,1.842,1.232,1.798,1.851,1.415,1.833,0.242,-1.506,1.736,1.179,1.614,1.25,0.574,-0.466,-0.034,1.714,-0.975,-0.51,1.592,1.811,1.725,0.74,0.585,0.342,1.448,1.277,-0.145,0.895,0.198,1.647,1.437,-0.488,1.847,0.519,1.201,-0.632,1.246,1.219,1.017,0.618,0.762,0.474,-0.267
value_score,50.56,10.09,32.87,67.24,46.57,8.76,32.76,65.73,-3.99,0.783,-1.305,-0.643,-1.198,-0.835,-1.561,-0.749,-0.376,-0.984,0.041,1.503,-1.102,-1.764,-1.273,-1.07,-0.344,1.375,-0.184,-1.593,0.596,0.681,-0.269,-0.013,-1.176,-0.611,-1.7,0.372,-0.002,1.215,-0.322,0.361,0.436,0.115,-0.28,-1.454,-0.205,-0.504,-1.016,0.212,-0.717,0.66,0.19,-1.443,-0.173,-1.646,0.97
growth_score,50.58,15.16,16.44,83.16,50.58,15.16,24.12,78.27,-0.0,0.848,0.87,1.118,0.996,0.763,1.74,0.848,-1.124,-0.404,-1.007,-1.276,0.247,1.231,-0.151,-1.06,-1.746,-1.207,-0.064,1.207,-0.101,-0.054,0.301,-1.076,1.479,1.066,1.827,-0.335,-0.547,-0.91,-0.292,-0.228,-0.691,-0.032,0.177,-1.327,-0.924,-0.377,-0.092,-1.502,1.42,-0.644,1.301,1.197,-1.152,1.283,-0.744
stability_score,51.1,15.23,12.24,86.45,46.9,15.51,23.65,80.71,-4.2,0.892,0.088,0.555,1.722,0.923,1.944,-0.463,0.076,1.602,-0.726,-1.657,-1.407,-1.095,-0.359,0.993,-1.028,1.695,1.53,0.404,-0.936,-1.234,-1.004,-1.12,1.005,-1.52,-1.518,-1.569,-0.723,-0.974,-0.838,0.313,-0.139,-1.802,-0.448,-0.001,-0.612,-1.215,0.365,-0.402,0.507,-1.202,-0.858,-1.088,-0.11,-0.223,0.129
similarity_rank,49.61,9.91,19.88,85.96,52.37,10.35,24.19,73.38,2.76,0.852,1.723,1.189,1.545,-0.189,0.827,1.157,-0.049,1.352,-0.805,1.723,-1.858,1.565,1.133,-0.477,-1.15,-1.295,2.399,0.936,0.542,0.486,0.496,-1.053,-0.215,0.311,1.19,0.595,-0.092,0.703,0.436,0.223,0.268,0.682,0.744,0.636,-2.566,0.059,0.006,-0.76,-1.787,0.729,1.768,-0.093,-0.386,0.024,-0.135
sector_position,47.81,8.99,32.83,66.69,63.1,3.74,49.39,66.69,15.29,1.701,2.014,1.929,2.1,2.1,2.1,1.936,1.99,2.1,1.946,2.018,2.1,2.1,1.638,1.843,1.563,2.1,1.779,1.843,1.587,1.074,1.416,0.732,1.331,1.672,2.1,1.854,1.773,1.527,1.445,1.77,1.111,1.66,1.55,1.221,2.1,1.734,1.917,0.818,1.792,1.921,1.742,2.01,1.832,1.459,0.176
