held_out_sector,n_holdout,factor,spearman_rho,spearman_p,mae_score_shift,max_score_shift,rmse_score_shift,train_mean,train_std,full_sample_mean,full_sample_std
Basic Materials,22,ESG_composite,1.0,0.0,2.05,2.661,2.092,48.11,9.54,48.39,9.51
Basic Materials,22,financial_score,1.0,0.0,1.599,2.069,1.632,48.5,9.66,48.74,9.68
Basic Materials,22,market_score,1.0,0.0,1.574,2.162,1.61,48.49,9.66,48.62,9.66
Basic Materials,22,operational_score,1.0,0.0,3.632,8.176,4.259,46.86,13.44,47.23,13.62
Basic Materials,22,risk_adjusted_score,1.0,0.0,1.33,1.795,1.359,48.71,9.73,48.83,9.74
Basic Materials,22,value_score,1.0,0.0,0.582,0.584,0.582,50.58,10.0,50.56,10.09
Basic Materials,22,growth_score,1.0,0.0,4.4,10.152,5.242,50.54,15.15,50.58,15.16
Basic Materials,22,stability_score,1.0,0.0,4.992,12.162,5.96,51.08,15.02,51.1,15.23
Basic Materials,22,similarity_rank,1.0,0.0,0.58,1.482,0.726,49.49,9.65,49.61,9.91
Basic Materials,22,sector_position,1.0,0.0,2.732,4.841,3.015,47.6,8.87,47.81,8.99
Communication Services,8,ESG_composite,1.0,0.0,1.411,2.15,1.498,48.46,9.5,48.39,9.51
Communication Services,8,financial_score,1.0,0.0,1.128,1.556,1.167,48.8,9.69,48.74,9.68
Communication Services,8,market_score,1.0,0.0,1.402,2.134,1.478,48.61,9.6,48.62,9.66
Communication Services,8,operational_score,1.0,0.0,3.772,7.665,4.553,47.33,13.69,47.23,13.62
Communication Services,8,risk_adjusted_score,1.0,0.0,1.166,1.567,1.201,48.83,9.73,48.83,9.74
Communication Services,8,value_score,1.0,0.0,0.575,0.781,0.586,50.59,10.14,50.56,10.09
Communication Services,8,growth_score,1.0,0.0,4.581,9.428,5.301,50.57,15.15,50.58,15.16
Communication Services,8,stability_score,1.0,0.0,4.577,6.991,4.958,51.27,15.23,51.1,15.23
Communication Services,8,similarity_rank,1.0,0.0,0.631,0.778,0.639,49.44,9.89,49.61,9.91
Communication Services,8,sector_position,1.0,0.0,1.955,3.246,2.131,47.86,9.02,47.81,8.99
Consumer Cyclical,38,ESG_composite,1.0,0.0,1.635,2.534,1.707,48.37,9.51,48.39,9.51
Consumer Cyclical,38,financial_score,1.0,0.0,1.168,1.797,1.216,48.81,9.67,48.74,9.68
Consumer Cyclical,38,market_score,1.0,0.0,1.502,2.159,1.545,48.52,9.64,48.62,9.66
Consumer Cyclical,38,operational_score,1.0,0.0,3.742,8.655,4.477,47.17,13.67,47.23,13.62
Consumer Cyclical,38,risk_adjusted_score,1.0,0.0,1.299,1.932,1.353,48.73,9.65,48.83,9.74
Consumer Cyclical,38,value_score,1.0,0.0,0.549,0.584,0.549,50.55,10.02,50.56,10.09
Consumer Cyclical,38,growth_score,1.0,0.0,4.468,10.956,5.276,50.57,15.1,50.58,15.16
Consumer Cyclical,38,stability_score,1.0,0.0,4.257,12.233,5.241,51.23,15.27,51.1,15.23
Consumer Cyclical,38,similarity_rank,1.0,0.0,0.387,1.098,0.439,49.63,10.42,49.61,9.91
Consumer Cyclical,38,sector_position,1.0,0.0,2.392,4.519,2.656,47.7,8.91,47.81,8.99
Consumer Defensive,21,ESG_composite,1.0,0.0,1.638,2.665,1.751,48.37,9.44,48.39,9.51
Consumer Defensive,21,financial_score,1.0,0.0,1.241,1.676,1.264,48.75,9.74,48.74,9.68
Consumer Defensive,21,market_score,1.0,0.0,1.217,1.845,1.255,48.73,9.68,48.62,9.66
Consumer Defensive,21,operational_score,1.0,0.0,3.653,8.321,4.29,47.12,13.66,47.23,13.62
Consumer Defensive,21,risk_adjusted_score,1.0,0.0,1.03,1.48,1.057,48.93,9.75,48.83,9.74
Consumer Defensive,21,value_score,1.0,0.0,0.615,0.753,0.623,50.61,9.91,50.56,10.09
Consumer Defensive,21,growth_score,1.0,0.0,4.45,9.489,5.109,50.5,15.19,50.58,15.16
Consumer Defensive,21,stability_score,1.0,0.0,4.765,9.881,5.52,51.04,15.19,51.1,15.23
Consumer Defensive,21,similarity_rank,1.0,0.0,0.458,0.653,0.466,49.53,10.14,49.61,9.91
Consumer Defensive,21,sector_position,1.0,0.0,2.093,3.562,2.274,47.85,9.04,47.81,8.99
Energy,13,ESG_composite,1.0,0.0,2.064,2.765,2.147,48.19,9.44,48.39,9.51
Energy,13,financial_score,1.0,0.0,1.503,2.077,1.569,48.61,9.6,48.74,9.68
Energy,13,market_score,1.0,0.0,1.513,1.999,1.549,48.54,9.66,48.62,9.66
Energy,13,operational_score,1.0,0.0,3.714,7.903,4.342,47.11,13.58,47.23,13.62
Energy,13,risk_adjusted_score,1.0,0.0,1.128,1.584,1.152,48.86,9.76,48.83,9.74
Energy,13,value_score,1.0,0.0,0.541,0.664,0.552,50.54,10.11,50.56,10.09
Energy,13,growth_score,1.0,0.0,4.72,10.055,5.707,50.39,15.08,50.58,15.16
Energy,13,stability_score,1.0,0.0,4.066,8.295,4.775,51.26,15.28,51.1,15.23
Energy,13,similarity_rank,1.0,0.0,0.815,1.694,0.918,49.65,9.49,49.61,9.91
Energy,13,sector_position,1.0,0.0,2.263,3.785,2.454,47.79,9.01,47.81,8.99
Financial Services,28,ESG_composite,1.0,0.0,1.608,2.409,1.655,48.39,9.58,48.39,9.51
Financial Services,28,financial_score,1.0,0.0,1.497,1.788,1.508,48.55,9.79,48.74,9.68
Financial Services,28,market_score,1.0,0.0,1.282,1.937,1.325,48.69,9.66,48.62,9.66
Financial Services,28,operational_score,1.0,0.0,3.722,8.402,4.428,47.31,13.76,47.23,13.62
