factor,mean_spearman,min_spearman,max_spearman,std_spearman,mean_mae,mean_rmse,n_sectors
ESG_composite,1.0,1.0,1.0,0.0,1.6334,1.7114,11
financial_score,1.0,1.0,1.0,0.0,1.2576,1.3065,11
growth_score,1.0,1.0,1.0,0.0,4.4157,5.2425,11
market_score,1.0,1.0,1.0,0.0,1.3865,1.4352,11
operational_score,1.0,1.0,1.0,0.0,3.7413,4.4512,11
risk_adjusted_score,1.0,1.0,1.0,0.0,1.1753,1.207,11
sector_position,1.0,1.0,1.0,0.0,2.2207,2.435,11
similarity_rank,1.0,1.0,1.0,0.0,0.5498,0.6247,11
stability_score,1.0,1.0,1.0,0.0,4.4087,5.3308,11
value_score,1.0,1.0,1.0,0.0,0.5534,0.5619,11
