,ESG_composite,ESG_composite,ESG_composite,financial_score,financial_score,financial_score,market_score,market_score,market_score,operational_score,operational_score,operational_score,risk_adjusted_score,risk_adjusted_score,risk_adjusted_score,value_score,value_score,value_score,growth_score,growth_score,growth_score,stability_score,stability_score,stability_score,pref_balanced,pref_balanced,pref_balanced
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
sector,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Materials,50.38297266459474,9.76592208531476,3,47.095382224505435,2.1836538735061626,3,57.364072904540386,1.9709773230090373,3,49.741448227868,1.5208933540304492,3,60.48016769866363,4.931686374281162,3,47.95548142730437,4.448176970875972,3,48.63090845042609,5.568875159972055,3,55.88525655516358,2.6698659599966885,3,53.17788520796184,2.955950857141176,3
Communication Services,49.85699786784066,6.5231154057697545,7,54.876852563076866,10.041263363559873,7,51.102987030015434,10.24777104571487,7,51.50237079877436,4.042420516336222,7,51.88580218319448,5.566730143213925,7,53.12299092172766,4.195767887586603,7,52.43288218715026,8.51881415261153,7,51.288640726725724,6.352240444628814,7,53.939307335440446,5.695354587758292,7
Consumer Cyclical,50.06471130740719,3.0202892095505267,6,43.77964458751884,6.313332492207519,6,51.17159443125464,8.451522081979952,6,48.31322855163135,3.088314379746264,6,46.88997670451946,6.319370122746688,6,43.01316055608776,9.978820246436268,6,48.126829661066886,6.094655618611428,6,47.900643530618176,13.447996303292898,6,49.14318500221203,4.691741678875297,6
Consumer Defensive,47.12872907350603,6.219451738578187,7,47.94206242520862,5.70926610727352,7,56.434675149626464,4.24697609944568,7,48.96558520157011,1.6103944003935904,7,54.74195610495438,4.950780506841704,7,47.33702684132319,11.098351264027535,7,49.321432783374725,4.809264115212103,7,57.03981565667761,3.16739920196191,7,51.95491886103184,3.1889120517163936,7
Energy,46.685085349143684,3.9783787015256,3,56.08668793688796,13.922007031981455,3,58.954029877313495,3.532712282928288,3,48.42831241211844,2.8765693523751272,3,49.399582069570215,3.0243411957502535,3,55.03255817700481,0.5126967115707277,3,54.96805211503107,6.60515609951741,3,57.453745358956816,1.118360272436825,3,54.599586977614365,5.490250570275933,3
Financial Services,52.08254353759212,3.3878252723298377,11,48.30300237156764,4.569349108701564,11,48.701225731874906,5.20245973705208,11,47.276686770407494,4.492593128748702,11,50.63035236428018,5.297940558173876,11,53.215819632230996,6.718971070561679,11,51.50746424684609,5.125874045535619,11,34.276920379188674,6.783394725499669,11,50.53708539739848,2.2929985682006624,11
Healthcare,48.089738447762116,4.19668228298572,8,48.36712368268668,4.024233459914219,8,47.37262549988223,14.237611343042245,8,52.90531625642858,5.4550894046048946,8,47.026323776739424,7.682922032979788,8,52.17219336013032,4.128043803638455,8,46.758033135584085,5.095618452026493,8,54.60715904170698,2.7895564192206983,8,50.94449647853412,4.114648153533242,8
Industrials,51.785870325762616,0.1936367172132158,2,48.45200173422467,6.9857578746177555,2,45.52012951058437,1.4187073135068367,2,50.89214065033518,0.7705483341766932,2,46.804457874637166,2.482572130342604,2,51.27051352875761,0.9380088682231468,2,50.61037348604843,9.301012311298132,2,50.667688107643,4.1736710708752955,2,50.877520286456544,3.1197956556868807,2
Technology,51.127697880998426,3.8784304218324195,12,53.99509100429782,7.596644467899761,12,45.030380280952194,11.17957817521278,12,50.50402050260649,4.5670470401185375,12,47.31370028733509,7.141150146213719,12,48.80094124410136,6.956387010681466,12,49.816835406488956,8.311480978914835,12,54.57388595801274,5.341243607878969,12,52.51121005475519,4.100926891390642,12
Utilities,54.77746780579802,,1,46.56709315931946,,1,45.15318036714049,,1,54.96849497118898,,1,54.7059864618074,,1,53.932556801146944,,1,42.02866903250543,,1,44.15453417393628,,1,51.54744894991737,,1
