variable,anova_F,anova_p,significant
ESG_composite,4.136943725008325,0.01701077948387734,True
E_score,1.1151156819483563,0.3294051257733233,False
S_score,18.456194348567443,3.119549768636691e-08,True
G_score,2.7915669558223897,0.06312274374705555,False
financial_score,9.486782180525884,0.00010477297368003232,True
market_score,74.58834220486476,1.924307543231828e-26,True
operational_score,29.125919895844632,3.646632212105423e-12,True
pref_balanced,22.31867182295673,1.095267977952536e-09,True
pref_esg_first,11.355038623051346,1.852760413652854e-05,True
pref_financial_first,27.069152223438003,1.9922851232632636e-11,True
