factor,company_index,ticker,times_in_top20,pct_iterations
ESG_composite,159,AVA,417,83.4
ESG_composite,273,UPL.NS,411,82.2
ESG_composite,170,STAG,406,81.2
ESG_composite,116,SM,405,81.0
ESG_composite,163,INVH,404,80.8
ESG_composite,160,CMS,402,80.4
ESG_composite,88,WING,401,80.2
ESG_composite,59,WSC,399,79.8
ESG_composite,62,ITT,399,79.8
ESG_composite,139,FMC,399,79.8
ESG_composite,60,GGG,398,79.6
ESG_composite,80,DECK,398,79.6
ESG_composite,97,EWBC,398,79.6
ESG_composite,119,MTDR,397,79.4
ESG_composite,113,OVV,396,79.2
ESG_composite,162,WEC,394,78.8
ESG_composite,169,NNN,392,78.4
ESG_composite,138,RPM,391,78.2
ESG_composite,167,KRC,391,78.2
ESG_composite,175,MTCH,391,78.2
ESG_composite,278,CLEAN.NS,376,75.2
ESG_composite,265,EMAMILTD.NS,337,67.4
ESG_composite,120,CHRD,271,54.2
ESG_composite,171,CUBE,196,39.2
ESG_composite,277,NAVINFLUOR.NS,137,27.4
ESG_composite,264,GODREJCP.NS,81,16.2
ESG_composite,263,MARICO.NS,48,9.6
ESG_composite,117,CTRA,38,7.6
ESG_composite,133,NGVT,16,3.2
ESG_composite,140,CELH,7,1.4
ESG_composite,53,GFF,4,0.8
financial_score,117,CTRA,424,84.8
financial_score,26,INCY,417,83.4
financial_score,82,GRMN,412,82.4
financial_score,171,CUBE,412,82.4
financial_score,13,CDNS,406,81.2
financial_score,33,VEEV,405,81.0
financial_score,116,SM,405,81.0
financial_score,95,PB,404,80.8
financial_score,266,COLPAL.NS,403,80.6
financial_score,303,MUTHOOTFIN.NS,403,80.6
financial_score,3,FTNT,402,80.4
financial_score,90,TROW,402,80.4
financial_score,60,GGG,398,79.6
financial_score,80,DECK,398,79.6
financial_score,97,EWBC,398,79.6
financial_score,173,LAMR,397,79.4
financial_score,169,NNN,392,78.4
financial_score,83,LULU,391,78.2
financial_score,105,HLNE,386,77.2
financial_score,101,IBKR,385,77.0
financial_score,77,WSM,365,73.0
financial_score,155,ATO,348,69.6
financial_score,170,STAG,273,54.6
financial_score,107,CBSH,198,39.6
financial_score,4,QLYS,110,22.0
financial_score,32,DXCM,68,13.6
financial_score,278,CLEAN.NS,50,10.0
financial_score,119,MTDR,27,5.4
