factor,horizon,ic_spearman,ic_pvalue,n,retention_12m_vs_1m,decay_class
ESG_composite,1m,-0.00877705647721738,0.8860636633889414,269,6.734002950059704,slow_decay
ESG_composite,3m,0.024033488073880907,0.6947629903235657,269,6.734002950059704,slow_decay
ESG_composite,6m,0.009054479769677017,0.8824879952747704,269,6.734002950059704,slow_decay
ESG_composite,12m,-0.059104724210422475,0.3341844001201498,269,6.734002950059704,slow_decay
financial_score,1m,0.07582780027988928,0.21510029341395073,269,0.3071350753670791,fast_decay
financial_score,3m,0.08220483702922808,0.17886523495031795,269,0.3071350753670791,fast_decay
financial_score,6m,0.07954835487987572,0.1933692308759166,269,0.3071350753670791,fast_decay
financial_score,12m,0.023289377153883618,0.7037620814897876,269,0.3071350753670791,fast_decay
market_score,1m,0.47139026059294603,2.7519036785091844e-16,269,0.8524131996212537,slow_decay
market_score,3m,0.5070027803978866,5.645238151517453e-19,269,0.8524131996212537,slow_decay
market_score,6m,0.48782728242307666,1.7291883996429182e-17,269,0.8524131996212537,slow_decay
market_score,12m,0.4018192803023297,7.357711762996135e-12,269,0.8524131996212537,slow_decay
operational_score,1m,0.044390192778363445,0.4684395365987548,269,0.8834231431587133,slow_decay
operational_score,3m,0.13436596447748864,0.02755918932156113,269,0.8834231431587133,slow_decay
operational_score,6m,0.06260950513849586,0.306263230255877,269,0.8834231431587133,slow_decay
operational_score,12m,0.03921532362968305,0.5218928417745063,269,0.8834231431587133,slow_decay
risk_adjusted_score,1m,0.18161238417577538,0.0027925611195441682,269,3.0631661846375278,slow_decay
risk_adjusted_score,3m,0.27981961321028065,3.139693655221207e-06,269,3.0631661846375278,slow_decay
risk_adjusted_score,6m,0.37272744086260146,2.72468588662988e-10,269,3.0631661846375278,slow_decay
risk_adjusted_score,12m,0.5563089139186348,2.9477769054948926e-23,269,3.0631661846375278,slow_decay
growth_score,1m,-0.004256289802536265,0.9446047073562596,269,73.13542873696407,slow_decay
growth_score,3m,0.08558878470103017,0.161575248263284,269,73.13542873696407,slow_decay
growth_score,6m,0.17880794293711125,0.0032529656144064997,269,73.13542873696407,slow_decay
growth_score,12m,0.3112855795372579,1.8707017287478713e-07,269,73.13542873696407,slow_decay
value_score,1m,0.04093843052396012,0.503754646879724,269,4.972170770273323,slow_decay
value_score,3m,-0.06306879481156794,0.30272163842315053,269,4.972170770273323,slow_decay
value_score,6m,-0.07248145887662061,0.23609362065372033,269,4.972170770273323,slow_decay
value_score,12m,-0.2035528676320997,0.000784532315701641,269,4.972170770273323,slow_decay
stability_score,1m,0.08568310862046644,0.16111195497901096,269,0.8532205145916076,slow_decay
stability_score,3m,0.07542769424254193,0.21753750633168495,269,0.8532205145916076,slow_decay
stability_score,6m,0.13718211914405667,0.024441030933103396,269,0.8532205145916076,slow_decay
stability_score,12m,0.07310658602896299,0.23206623332601475,269,0.8532205145916076,slow_decay
