score,horizon,kendall_tau,tau_pvalue,tau_significant,n
ESG_composite,1m,-0.003107140875547911,0.9394612363836381,False,269
ESG_composite,3m,0.016867336181545803,0.6801313448227675,False,269
ESG_composite,6m,0.0050491039227653555,0.9017793253922023,False,269
financial_score,1m,0.050213615935193925,0.21968793974232625,False,269
financial_score,3m,0.05898019197691838,0.14940467281232347,False,269
financial_score,6m,0.05692725961271709,0.16408653369773563,False,269
market_score,1m,0.3289685401986351,8.918659921260237e-16,True,269
market_score,3m,0.3513843422293736,8.788544935517028e-18,True,269
market_score,6m,0.3344615213893359,2.954837124504066e-16,True,269
operational_score,1m,0.02757587527048771,0.5002922820097857,False,269
operational_score,3m,0.09016257004938134,0.027536990577488086,True,269
operational_score,6m,0.03750762914054264,0.3592531088711234,False,269
risk_adjusted_score,1m,0.12384175775398104,0.002469679569679086,True,269
risk_adjusted_score,3m,0.18875880818953558,3.954064413959459e-06,True,269
risk_adjusted_score,6m,0.2540642512345337,5.297573214296887e-10,True,269
growth_score,1m,-0.003883926094434889,0.924367414213992,False,269
growth_score,3m,0.05925761526937802,0.14750005714265035,False,269
growth_score,6m,0.12345336514453753,0.0025483671557651293,True,269
value_score,1m,0.025966820174221826,0.5256239495525739,False,269
value_score,3m,-0.04028186206513899,0.3248210512657208,False,269
value_score,6m,-0.047550352327581424,0.24512951411079054,False,269
stability_score,1m,0.06053376241469234,0.13897709319932655,False,269
stability_score,3m,0.05298784885979027,0.19526221707626212,False,269
stability_score,6m,0.09310325694945348,0.022864051899756377,True,269
pref_balanced,1m,0.06916258618245953,0.09093233528440987,False,269
pref_balanced,3m,0.12642354802786526,0.0020009201498543726,True,269
pref_balanced,6m,0.1587715526362679,0.00010413108997133893,True,269
pref_esg_first,1m,0.03115506790329003,0.44635560074781244,False,269
pref_esg_first,3m,0.06416889764942996,0.11677795686004898,False,269
pref_esg_first,6m,0.06400244136499564,0.11772984259634076,False,269
pref_financial_first,1m,0.09479685398534465,0.02050028937468951,True,269
pref_financial_first,3m,0.15705150436377993,0.00012367906139557145,True,269
pref_financial_first,6m,0.20005271117597898,1.0095406987783283e-06,True,269
