ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,ESG_composite
ULTRACEMCO.NS,ULTRACEMCO.NS,Basic Materials,India,61.33524211040208,49.1934966104998,55.516486466693536,50.13087082545135,54.794653409390506,48.55115320834837,53.44329617864552,61.33524211040208
PG,PG,Consumer Defensive,US,59.37224110947549,48.22791605519221,59.9051856658489,48.739141698230455,61.165329187521074,53.27659361005093,45.94542399065322,59.37224110947549
KOTAKBANK.NS,KOTAKBANK.NS,Financial Services,India,57.93898370183216,45.29110858451055,44.049918943062345,45.08715117102565,47.66005751274141,55.18644510913468,53.61462190141668,57.93898370183216
CMCSA,CMCSA,Communication Services,US,57.30517412181509,47.40165522779081,45.91660807153243,49.34020570463345,42.62886917839542,57.97345623005416,47.12577058338345,57.30517412181509
GOOGL,GOOGL,Communication Services,US,56.46901321717234,60.3730357116393,73.22218919158787,56.6627417752868,57.62004625911791,49.31262972430896,59.45010951304212,56.46901321717234
WIPRO.NS,WIPRO.NS,Technology,India,56.34478817785094,52.56320841138678,41.69335468243037,44.60299944250976,44.638934161243725,55.61815430264436,56.709251760420855,56.34478817785094
JPM,JPM,Financial Services,US,56.121724651636605,43.95512000386982,50.5125768917792,44.437708342775046,51.90850302185629,56.59561634376609,49.19190881946381,56.121724651636605
NVDA,NVDA,Technology,US,55.89117214235359,58.56542652804883,58.52158514866783,53.36858572032291,45.34500250533969,35.72100679768831,52.38620832548905,55.89117214235359
V,V,Financial Services,US,55.60534365343124,54.40014815916928,47.47348143034286,56.38244043666191,53.71058801026246,47.43494288138666,45.726525271313584,55.60534365343124
UNH,UNH,Healthcare,US,55.13433946139787,44.73293062071186,28.759133201505023,45.9543552867078,36.53925087068873,56.63222051646862,47.735164769748245,55.13433946139787
NEE,NEE,Utilities,US,54.77746780579802,46.56709315931946,45.15318036714049,54.96849497118898,54.7059864618074,53.932556801146944,42.02866903250543,54.77746780579802
BHARTIARTL.NS,BHARTIARTL.NS,Communication Services,India,54.11115089146492,70.18831781505558,43.4511218000366,51.2687829008967,51.09569627997831,50.2746352467279,66.0079754279002,54.11115089146492
INFY.NS,INFY.NS,Technology,India,53.92861736465287,57.52080007092789,53.0158478550794,46.77921551338389,55.91734586449439,52.65657934082691,46.020109218040815,53.92861736465287
TSLA,TSLA,Consumer Cyclical,US,53.688982504932135,35.850122526003545,58.3474280482796,50.20918052071944,39.84050896419775,30.775391984483814,42.79042591684963,53.688982504932135
AMZN,AMZN,Consumer Cyclical,US,53.44599783600521,49.07489012642559,53.439858618058906,50.04357086689513,50.93198668145118,50.72105882419709,53.47536496313207,53.44599783600521
TCS.NS,TCS.NS,Technology,India,53.272178713113206,71.73667715850664,44.233112374837205,44.45139874695829,44.34821517124018,51.48503785509156,66.11357476006927,53.272178713113206
MA,MA,Financial Services,US,53.11325339769638,50.97331158171782,47.50806762886165,52.31484722835902,51.6202479277049,35.1095763802203,44.385064521829136,53.11325339769638
AVGO,AVGO,Technology,US,52.44606444905487,47.70356998343117,44.48947655518177,56.0582996929283,41.8686952228091,43.91199675828357,46.78795446405746,52.44606444905487
BAC,BAC,Financial Services,US,51.972799492392895,42.98706513396399,58.87673663094505,44.24601311587384,53.52070680426981,57.26478856423093,47.42327499852533,51.972799492392895
LT.NS,LT.NS,Industrials,India,51.92279216159079,53.39167849909421,46.523307072484,50.34728069800684,45.04901428648718,51.93378596029132,57.187182363266906,51.92279216159079
