ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,growth_score
PRESTIGE.NS,PRESTIGE ESTATE LTD,Real Estate,India,52.16390917686133,38.89703296858633,35.10605267875596,59.06692618108175,56.57573563530048,48.59926581044077,83.16164519798272,83.16164519798272
POONAWALLA.NS,POONAWALLA FINCORP LTD,Financial Services,India,37.23293585651819,47.19730929304121,35.019333917060216,34.16393673573937,44.9334495924734,34.26867756341172,80.57334456938466,80.57334456938466
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LTD,Consumer Cyclical,India,44.59022705784669,44.17902699323943,52.840039445535616,35.62915115827417,63.9060638844879,45.15130472844882,80.39747298733931,80.39747298733931
IIFL.NS,IIFL FINANCE LIMITED,Financial Services,India,58.558260794486536,48.49085885009912,36.406834104192114,35.4064023301636,53.341767290070734,52.370473243869455,79.19268971291906,79.19268971291906
OII,"Oceaneering International, Inc.",Energy,US,37.44932677420432,49.978440840715706,43.78876869354233,28.082768295061697,57.761524028551385,45.90554621513456,79.0685727218599,79.0685727218599
AARTIIND.NS,AARTI INDUSTRIES LTD,Basic Materials,India,40.58699508065324,43.42445641828899,55.528321058103685,30.752525653141213,54.09635990395768,41.91884121408136,78.84098554045705,78.84098554045705
RAJESHEXPO.NS,RAJESH EXPORTS LTD,Consumer Cyclical,India,33.749042081771464,33.56114104572248,34.32558382349426,45.65294723639163,33.28038365516222,67.13205662614749,78.61721606896518,78.61721606896518
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,Financial Services,India,66.6837397536008,63.25888295984351,44.655956310499775,48.39503137255856,57.33032824918742,37.93213621302819,78.05001353546882,78.05001353546882
GMED,"Globus Medical, Inc.",Healthcare,US,57.692697123742,59.3782342886698,60.12441542797812,57.19546533402156,48.16741793770314,56.14168067729814,77.83675605624357,77.83675605624357
DTE,DTE Energy Company,Utilities,US,50.07573682119014,45.68816814314032,48.3740232182048,70.07457462115374,45.47244431667836,52.58597081149397,77.77417964183883,77.77417964183883
USFD,US Foods Holding Corp.,Consumer Defensive,US,37.99030406841965,35.339771686677096,64.41699413191745,66.46982207300641,64.66065649837483,63.253100408906576,76.80838282715115,76.80838282715115
MSGS,Madison Square Garden Sports Co,Communication Services,US,35.39361305618607,38.35805398647887,66.68252178121875,28.79811063455776,62.50467760155502,40.194860673085394,76.62885787260169,76.62885787260169
EME,"EMCOR Group, Inc.",Industrials,US,43.18368609288683,46.65833031093375,58.6718761695744,46.22213570527904,55.92894196625453,56.46492702873488,76.48370130731516,76.48370130731516
RRC,Range Resources Corporation,Energy,US,62.65886868463874,61.10296703141367,36.19003719995276,45.71544260532309,41.91507913692564,38.03988499684043,76.04281181452393,76.04281181452393
ANANTRAJ.NS,ANANT RAJ LIMITED,Real Estate,India,40.91158145718244,40.08278672922274,34.97597453621234,39.68918442981568,46.44263482024728,43.64282175507732,75.92320456771596,75.92320456771596
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Basic Materials,India,60.11627540182669,62.93549557057904,60.08105604713025,62.17839894602714,66.64415708344907,32.97569215766476,75.69865128416609,75.69865128416609
INCY,Incyte Corporation,Healthcare,US,59.07759899693325,62.82769977415754,53.40371139655795,65.22062390228439,61.221870157947215,59.69739054310234,75.03477832309504,75.03477832309504
CMC,Commercial Metals Company,Industrials,US,45.02300889321896,37.60348341152843,44.22236250202105,56.084477775925336,45.58024326151935,67.23980540995973,74.46521996453353,74.46521996453353
SMCI,"Super Micro Computer, Inc.",Technology,US,35.069026679656865,40.406174118487215,35.452927725538935,48.68078260369549,45.90364009604232,66.48556392327404,73.84663050618877,73.84663050618877
WWD,"Woodward, Inc.",Industrials,US,46.86233169355108,54.74301504254565,63.007814254361605,42.460390402597376,60.61819606683766,36.53140202346893,73.62972276571669,73.62972276571669
